n_estimators,max_depth,learning_rate,subsample,colsample_bytree,avg AUC score
100,3,0.01,0.6,0.6,0.8632727272727274
100,3,0.01,0.6,0.8,0.8567272727272728
100,3,0.01,0.6,1.0,0.8570909090909091
100,3,0.01,0.8,0.6,0.8534545454545455
100,3,0.01,0.8,0.8,0.8392727272727273
100,3,0.01,0.8,1.0,0.8309090909090909
100,3,0.01,1.0,0.6,0.8130909090909091
100,3,0.01,1.0,0.8,0.7930909090909092
100,3,0.01,1.0,1.0,0.7752727272727273
100,3,0.1,0.6,0.6,0.8865454545454546
100,3,0.1,0.6,0.8,0.8792727272727272
100,3,0.1,0.6,1.0,0.8818181818181818
100,3,0.1,0.8,0.6,0.8683636363636363
100,3,0.1,0.8,0.8,0.8745454545454545
100,3,0.1,0.8,1.0,0.8723636363636363
100,3,0.1,1.0,0.6,0.8538181818181818
100,3,0.1,1.0,0.8,0.8578181818181819
100,3,0.1,1.0,1.0,0.8610909090909091
100,3,0.2,0.6,0.6,0.8716363636363637
100,3,0.2,0.6,0.8,0.8898181818181818
100,3,0.2,0.6,1.0,0.8625454545454545
100,3,0.2,0.8,0.6,0.8745454545454545
100,3,0.2,0.8,0.8,0.8752727272727272
100,3,0.2,0.8,1.0,0.8694545454545454
100,3,0.2,1.0,0.6,0.8505454545454546
100,3,0.2,1.0,0.8,0.8523636363636363
100,3,0.2,1.0,1.0,0.8552727272727273
100,5,0.01,0.6,0.6,0.8603636363636363
100,5,0.01,0.6,0.8,0.8574545454545455
100,5,0.01,0.6,1.0,0.8574545454545456
100,5,0.01,0.8,0.6,0.8560000000000001
100,5,0.01,0.8,0.8,0.8392727272727273
100,5,0.01,0.8,1.0,0.8323636363636364
100,5,0.01,1.0,0.6,0.8138181818181819
100,5,0.01,1.0,0.8,0.7825454545454545
100,5,0.01,1.0,1.0,0.7585454545454545
100,5,0.1,0.6,0.6,0.8785454545454545
100,5,0.1,0.6,0.8,0.8865454545454545
100,5,0.1,0.6,1.0,0.8698181818181818
100,5,0.1,0.8,0.6,0.8694545454545455
100,5,0.1,0.8,0.8,0.8669090909090909
100,5,0.1,0.8,1.0,0.8778181818181818
100,5,0.1,1.0,0.6,0.8567272727272727
100,5,0.1,1.0,0.8,0.8458181818181818
100,5,0.1,1.0,1.0,0.8443636363636363
100,5,0.2,0.6,0.6,0.8832727272727272
100,5,0.2,0.6,0.8,0.8905454545454544
100,5,0.2,0.6,1.0,0.8727272727272728
100,5,0.2,0.8,0.6,0.8738181818181818
