Task,Visits,Experiment,N,Class 0,Class 1,AUC,AUC CI,AUC Rng,Acc,Acc CI,Acc Rng,Prec,Prec CI,Prec Rng,Rec,Rec CI,Rec Rng,F1,F1 CI,F1 Rng
CN→MCI,2,Exp 1,225,209,16,0.759,"(0.604, 0.887)",0.283,0.907,"(0.867, 0.947)",0.080,0.626,"(0.507, 0.768)",0.261,0.603,"(0.506, 0.720)",0.214,0.613,"(0.505, 0.722)",0.217
CN→MCI,2,Exp 2,225,209,16,0.695,"(0.514, 0.852)",0.338,0.902,"(0.862, 0.942)",0.080,0.653,"(0.548, 0.764)",0.216,0.688,"(0.560, 0.822)",0.262,0.668,"(0.551, 0.772)",0.221
CN→MCI,2,Exp 3,225,209,16,0.695,"(0.514, 0.852)",0.338,0.902,"(0.862, 0.942)",0.080,0.653,"(0.548, 0.764)",0.216,0.688,"(0.560, 0.822)",0.262,0.668,"(0.551, 0.772)",0.221
CN→MCI,2,Exp 5,1078,998,80,0.875,"(0.827, 0.918)",0.091,0.926,"(0.910, 0.941)",0.031,0.717,"(0.601, 0.838)",0.237,0.557,"(0.523, 0.599)",0.076,0.581,"(0.528, 0.639)",0.111
CN→MCI,3,Exp 1,125,115,10,0.976,"(0.948, 0.996)",0.048,0.936,"(0.888, 0.976)",0.088,0.783,"(0.633, 0.928)",0.295,0.783,"(0.628, 0.944)",0.316,0.783,"(0.633, 0.908)",0.275
CN→MCI,3,Exp 2,125,115,10,0.933,"(0.867, 0.987)",0.120,0.920,"(0.864, 0.960)",0.096,0.728,"(0.566, 0.892)",0.326,0.728,"(0.561, 0.899)",0.338,0.728,"(0.565, 0.855)",0.290
CN→MCI,3,Exp 3,122,115,7,0.974,"(0.940, 0.995)",0.055,0.959,"(0.926, 0.992)",0.066,0.792,"(0.643, 0.938)",0.295,0.978,"(0.959, 0.996)",0.037,0.857,"(0.700, 0.962)",0.262
CN→MCI,3,Exp 5,592,556,36,0.888,"(0.809, 0.945)",0.136,0.938,"(0.917, 0.956)",0.039,0.701,"(0.549, 0.848)",0.299,0.564,"(0.512, 0.620)",0.108,0.590,"(0.513, 0.661)",0.148
CN→MCI,3,Exp 6,592,556,36,0.893,"(0.817, 0.947)",0.130,0.931,"(0.910, 0.951)",0.041,0.698,"(0.622, 0.779)",0.157,0.703,"(0.625, 0.786)",0.161,0.701,"(0.627, 0.775)",0.148
CN→MCI,4,Exp 1,118,111,7,0.946,"(0.888, 0.986)",0.098,0.907,"(0.856, 0.949)",0.093,0.653,"(0.527, 0.804)",0.277,0.750,"(0.543, 0.957)",0.414,0.685,"(0.531, 0.820)",0.289
CN→MCI,4,Exp 2,118,111,7,0.952,"(0.910, 0.985)",0.075,0.932,"(0.890, 0.975)",0.085,0.641,"(0.457, 0.978)",0.521,0.562,"(0.482, 0.737)",0.255,0.582,"(0.473, 0.762)",0.289
CN→MCI,4,Exp 3,115,111,4,0.991,"(0.972, 1.000)",0.028,0.991,"(0.974, 1.000)",0.026,0.900,"(0.700, 1.000)",0.300,0.995,"(0.986, 1.000)",0.014,0.942,"(0.779, 1.000)",0.221
CN→MCI,4,Exp 4,114,110,4,0.977,"(0.941, 1.000)",0.059,0.965,"(0.930, 0.991)",0.061,0.741,"(0.487, 0.996)",0.509,0.741,"(0.487, 0.996)",0.509,0.741,"(0.489, 0.942)",0.453
CN→MCI,4,Exp 5,566,545,21,0.954,"(0.916, 0.984)",0.068,0.961,"(0.945, 0.977)",0.032,0.707,"(0.533, 0.878)",0.345,0.591,"(0.515, 0.685)",0.170,0.623,"(0.519, 0.727)",0.208
CN→MCI,4,Exp 6,566,545,21,0.962,"(0.933, 0.985)",0.052,0.966,"(0.952, 0.981)",0.029,0.770,"(0.638, 0.895)",0.257,0.708,"(0.596, 0.822)",0.226,0.735,"(0.617, 0.832)",0.215
CN→MCI,5,Exp 1,90,86,4,0.811,"(0.496, 1.000)",0.504,0.967,"(0.922, 1.000)",0.078,0.983,"(0.467, 1.000)",0.533,0.625,"(0.500, 1.000)",0.500,0.691,"(0.483, 1.000)",0.517
CN→MCI,5,Exp 2,95,75,20,0.885,"(0.769, 0.968)",0.199,0.895,"(0.832, 0.947)",0.115,0.850,"(0.737, 0.938)",0.201,0.823,"(0.710, 0.923)",0.213,0.836,"(0.723, 0.916)",0.193
CN→MCI,5,Exp 3,92,75,17,0.894,"(0.764, 0.981)",0.217,0.891,"(0.826, 0.946)",0.120,0.820,"(0.697, 0.927)",0.230,0.820,"(0.693, 0.928)",0.235,0.820,"(0.693, 0.904)",0.211
CN→MCI,5,Exp 4,87,74,13,0.943,"(0.877, 0.991)",0.114,0.920,"(0.851, 0.966)",0.115,0.848,"(0.719, 0.974)",0.255,0.826,"(0.695, 0.945)",0.250,0.837,"(0.707, 0.938)",0.231
CN→MCI,5,Exp 5,433,370,63,0.903,"(0.850, 0.946)",0.096,0.917,"(0.891, 0.942)",0.051,0.878,"(0.812, 0.934)",0.122,0.760,"(0.697, 0.824)",0.127,0.803,"(0.740, 0.860)",0.120
CN→MCI,5,Exp 6,383,370,13,0.766,"(0.598, 0.903)",0.305,0.963,"(0.943, 0.979)",0.036,0.685,"(0.482, 0.984)",0.502,0.573,"(0.493, 0.686)",0.193,0.602,"(0.489, 0.731)",0.242
MCI→AD,2,Exp 1,89,45,44,0.726,"(0.612, 0.830)",0.218,0.652,"(0.551, 0.753)",0.202,0.655,"(0.556, 0.757)",0.201,0.651,"(0.554, 0.752)",0.198,0.649,"(0.549, 0.746)",0.197
MCI→AD,2,Exp 2,89,45,44,0.724,"(0.609, 0.828)",0.219,0.652,"(0.551, 0.742)",0.191,0.655,"(0.555, 0.753)",0.198,0.651,"(0.554, 0.743)",0.189,0.649,"(0.549, 0.741)",0.192
MCI→AD,2,Exp 3,89,45,44,0.724,"(0.609, 0.828)",0.219,0.652,"(0.551, 0.742)",0.191,0.655,"(0.555, 0.753)",0.198,0.651,"(0.554, 0.743)",0.189,0.649,"(0.549, 0.741)",0.192
MCI→AD,2,Exp 5,435,217,218,0.737,"(0.690, 0.781)",0.091,0.651,"(0.605, 0.697)",0.092,0.653,"(0.607, 0.699)",0.092,0.651,"(0.605, 0.696)",0.091,0.649,"(0.603, 0.694)",0.091
MCI→AD,3,Exp 1,60,17,43,0.733,"(0.594, 0.865)",0.271,0.683,"(0.567, 0.800)",0.233,0.635,"(0.512, 0.757)",0.245,0.655,"(0.514, 0.789)",0.275,0.639,"(0.508, 0.764)",0.256
