n_estimators,max_depth,learning_rate,subsample,colsample_bytree,avg AUC score
100,3,0.001,0.4,0.4,0.9378951410983728
100,3,0.001,0.4,0.6,0.9384609756267087
100,3,0.001,0.4,0.8,0.9399080818150836
100,3,0.001,0.6,0.4,0.9378730887866011
100,3,0.001,0.6,0.6,0.9387695519696193
100,3,0.001,0.6,0.8,0.939439292904189
100,3,0.001,0.8,0.4,0.9378495675730608
100,3,0.001,0.8,0.6,0.9372150896735569
100,3,0.001,0.8,0.8,0.9375867353881009
100,3,0.01,0.4,0.4,0.9393024136972988
100,3,0.01,0.4,0.6,0.9395729457453121
100,3,0.01,0.4,0.8,0.9406175937216205
100,3,0.01,0.6,0.4,0.9400746380558207
100,3,0.01,0.6,0.6,0.939929216780742
100,3,0.01,0.6,0.8,0.9402304590510575
100,3,0.01,0.8,0.4,0.9390476299460426
100,3,0.01,0.8,0.6,0.9393255143300838
100,3,0.01,0.8,0.8,0.9393019524151802
100,3,0.05,0.4,0.4,0.9409580063578871
100,3,0.05,0.4,0.6,0.9415259876222353
100,3,0.05,0.4,0.8,0.9417656664713627
100,3,0.05,0.6,0.4,0.9419845751016652
100,3,0.05,0.6,0.6,0.9410648808327741
100,3,0.05,0.6,0.8,0.9412691881098668
100,3,0.05,0.8,0.4,0.9409123441244753
100,3,0.05,0.8,0.6,0.9413505350027238
100,3,0.05,0.8,0.8,0.9406025123010477
100,5,0.001,0.4,0.4,0.9383017779837475
100,5,0.001,0.4,0.6,0.9389748997405404
100,5,0.001,0.4,0.8,0.9384785074780823
100,5,0.001,0.6,0.4,0.9394372223527796
100,5,0.001,0.6,0.6,0.9401243051990275
100,5,0.001,0.6,0.8,0.9393067718740553
100,5,0.001,0.8,0.4,0.9397898469634999
100,5,0.001,0.8,0.6,0.9400685939033574
100,5,0.001,0.8,0.8,0.9400121515485835
100,5,0.01,0.4,0.4,0.9396213621043131
100,5,0.01,0.4,0.6,0.9390837132701243
100,5,0.01,0.4,0.8,0.9390984873432222
100,5,0.01,0.6,0.4,0.9402352524193149
100,5,0.01,0.6,0.6,0.9406394127832713
100,5,0.01,0.6,0.8,0.9406404167502348
100,5,0.01,0.8,0.4,0.940808062535161
100,5,0.01,0.8,0.6,0.9407338195956527
100,5,0.01,0.8,0.8,0.9405126139473804
100,5,0.05,0.4,0.4,0.9401897900400341
100,5,0.05,0.4,0.6,0.9402196637971372
100,5,0.05,0.4,0.8,0.9396190014252366
100,5,0.05,0.6,0.4,0.9412408463938269
100,5,0.05,0.6,0.6,0.9411956083938569
100,5,0.05,0.6,0.8,0.9400657641149772
100,5,0.05,0.8,0.4,0.9407700119785156
100,5,0.05,0.8,0.6,0.9402819306213743
100,5,0.05,0.8,0.8,0.9407783672378821
100,7,0.001,0.4,0.4,0.9385535988844736
100,7,0.001,0.4,0.6,0.93938385921269
100,7,0.001,0.4,0.8,0.9385017943978768
100,7,0.001,0.6,0.4,0.9389344055366544
100,7,0.001,0.6,0.6,0.938948269569012
100,7,0.001,0.6,0.8,0.9385324383500102
100,7,0.001,0.8,0.4,0.9391965348403776
100,7,0.001,0.8,0.6,0.940021322400655
100,7,0.001,0.8,0.8,0.9393160533503453
100,7,0.01,0.4,0.4,0.938871196319311
100,7,0.01,0.4,0.6,0.9390626685780026
100,7,0.01,0.4,0.8,0.938275788075974
100,7,0.01,0.6,0.4,0.9392792504470314
100,7,0.01,0.6,0.6,0.9403377556721368
100,7,0.01,0.6,0.8,0.9390651962370317
100,7,0.01,0.8,0.4,0.9394558682735232
100,7,0.01,0.8,0.6,0.9387695222263155
100,7,0.01,0.8,0.8,0.9390695674590972
100,7,0.05,0.4,0.4,0.9393604872374823
100,7,0.05,0.4,0.6,0.9369047736082674
100,7,0.05,0.4,0.8,0.9399508328573882
100,7,0.05,0.6,0.4,0.9390699974324745
100,7,0.05,0.6,0.6,0.9387639231797875
100,7,0.05,0.6,0.8,0.9384508128093577
100,7,0.05,0.8,0.4,0.9386003475312004
100,7,0.05,0.8,0.6,0.9401558033579793
100,7,0.05,0.8,0.8,0.9413776478506767
300,3,0.001,0.4,0.4,0.9389983520748502
300,3,0.001,0.4,0.6,0.9390496530125281
300,3,0.001,0.4,0.8,0.9392100111661581
300,3,0.001,0.6,0.4,0.9390700365684008
300,3,0.001,0.6,0.6,0.938980828572474
300,3,0.001,0.6,0.8,0.9391146598734214
300,3,0.001,0.8,0.4,0.9390432420259819
300,3,0.001,0.8,0.6,0.9388514942503688
300,3,0.001,0.8,0.8,0.9389472859527302
300,3,0.01,0.4,0.4,0.9410938737706284
300,3,0.01,0.4,0.6,0.9414086273281519
300,3,0.01,0.4,0.8,0.9419209014713292
300,3,0.01,0.6,0.4,0.9410459797457909
300,3,0.01,0.6,0.6,0.9413969883036597
300,3,0.01,0.6,0.8,0.9416000014861214
300,3,0.01,0.8,0.4,0.9412980745980015
300,3,0.01,0.8,0.6,0.9413556007570285
300,3,0.01,0.8,0.8,0.9411829236574129
300,3,0.05,0.4,0.4,0.940358407439558
300,3,0.05,0.4,0.6,0.9397220948478273
300,3,0.05,0.4,0.8,0.9398052790419724
300,3,0.05,0.6,0.4,0.9405032990751001
300,3,0.05,0.6,0.6,0.9404196901257011
300,3,0.05,0.6,0.8,0.9401434050965161
300,3,0.05,0.8,0.4,0.9397152591060273
300,3,0.05,0.8,0.6,0.9394194687311567
300,3,0.05,0.8,0.8,0.9389153828673935
300,5,0.001,0.4,0.4,0.9393828453312917
300,5,0.001,0.4,0.6,0.9397551271350919
300,5,0.001,0.4,0.8,0.9395754614026572
300,5,0.001,0.6,0.4,0.9399505996072675
300,5,0.001,0.6,0.6,0.9404707212863936
300,5,0.001,0.6,0.8,0.9398031296968983
300,5,0.001,0.8,0.4,0.9403244797222989
300,5,0.001,0.8,0.6,0.9401680633391694
300,5,0.001,0.8,0.8,0.940121182673918
300,5,0.01,0.4,0.4,0.9412108974957454
300,5,0.01,0.4,0.6,0.940820580813465
300,5,0.01,0.4,0.8,0.9417006643067808
300,5,0.01,0.6,0.4,0.9413409988820065
300,5,0.01,0.6,0.6,0.9412874160589171
300,5,0.01,0.6,0.8,0.9413524912772283
300,5,0.01,0.8,0.4,0.9409430105145397
300,5,0.01,0.8,0.6,0.9410298640931382
300,5,0.01,0.8,0.8,0.9405607506149611
300,5,0.05,0.4,0.4,0.9378754771217324
300,5,0.05,0.4,0.6,0.9358116090849868
300,5,0.05,0.4,0.8,0.9364731346059001
300,5,0.05,0.6,0.4,0.9369728753382154
300,5,0.05,0.6,0.6,0.938318567817958
300,5,0.05,0.6,0.8,0.9361869194876731
300,5,0.05,0.8,0.4,0.9383241908678539
300,5,0.05,0.8,0.6,0.9373848660183126
300,5,0.05,0.8,0.8,0.9370226614546379
300,7,0.001,0.4,0.4,0.9399008818482626
300,7,0.001,0.4,0.6,0.9400944757959742
300,7,0.001,0.4,0.8,0.9393691362772024
300,7,0.001,0.6,0.4,0.9401070472991379
300,7,0.001,0.6,0.6,0.9399048711036873
300,7,0.001,0.6,0.8,0.9391312206320095
300,7,0.001,0.8,0.4,0.9396132677511222
300,7,0.001,0.8,0.6,0.9397076349057647
300,7,0.001,0.8,0.8,0.9398833374733926
300,7,0.01,0.4,0.4,0.9410411060184313
300,7,0.01,0.4,0.6,0.9409934478527766
300,7,0.01,0.4,0.8,0.9412811981429409
300,7,0.01,0.6,0.4,0.9413305595041097
300,7,0.01,0.6,0.6,0.9412621937371121
300,7,0.01,0.6,0.8,0.9404127416724333
300,7,0.01,0.8,0.4,0.9404559169481793
300,7,0.01,0.8,0.6,0.9403813911863764
