n_estimators,max_depth,learning_rate,subsample,colsample_bytree,avg AUC score
100,3,0.001,0.4,0.4,0.9390860316824003
100,3,0.001,0.4,0.6,0.9391944136731702
100,3,0.001,0.4,0.8,0.9395279848277006
100,3,0.001,0.6,0.4,0.9394832295041553
100,3,0.001,0.6,0.6,0.939300049887348
100,3,0.001,0.6,0.8,0.9384348651802821
100,3,0.001,0.8,0.4,0.9392281958047832
100,3,0.001,0.8,0.6,0.9382213656568117
100,3,0.001,0.8,0.8,0.938285811047615
100,3,0.01,0.4,0.4,0.9397691461457176
100,3,0.01,0.4,0.6,0.9404080150961567
100,3,0.01,0.4,0.8,0.9403995220783294
100,3,0.01,0.6,0.4,0.9405933711922805
100,3,0.01,0.6,0.6,0.9404350408014469
100,3,0.01,0.6,0.8,0.9394920857033788
100,3,0.01,0.8,0.4,0.940842155145123
100,3,0.01,0.8,0.6,0.9389060309464362
100,3,0.01,0.8,0.8,0.9395560494613822
100,3,0.05,0.4,0.4,0.9396182750624437
100,3,0.05,0.4,0.6,0.9401206770377497
100,3,0.05,0.4,0.8,0.9407044926978937
100,3,0.05,0.6,0.4,0.9410922363234706
100,3,0.05,0.6,0.6,0.9415836875447754
100,3,0.05,0.6,0.8,0.9422976312036105
100,3,0.05,0.8,0.4,0.9421641656931214
100,3,0.05,0.8,0.6,0.9409463574189599
100,3,0.05,0.8,0.8,0.9406310804836483
100,5,0.001,0.4,0.4,0.9401203451650945
100,5,0.001,0.4,0.6,0.9394445945176766
100,5,0.001,0.4,0.8,0.9386707859368565
100,5,0.001,0.6,0.4,0.9404988553211178
100,5,0.001,0.6,0.6,0.9398632883992368
100,5,0.001,0.6,0.8,0.9391494271867531
100,5,0.001,0.8,0.4,0.9403018215863878
100,5,0.001,0.8,0.6,0.9399381439464456
100,5,0.001,0.8,0.8,0.9404992586820653
100,5,0.01,0.4,0.4,0.9398022154816591
100,5,0.01,0.4,0.6,0.9404265399564344
100,5,0.01,0.4,0.8,0.9388847483078827
100,5,0.01,0.6,0.4,0.941192046502748
100,5,0.01,0.6,0.6,0.9415877665519243
100,5,0.01,0.6,0.8,0.9397108466607861
100,5,0.01,0.8,0.4,0.9407408202301555
100,5,0.01,0.8,0.6,0.9403635665982737
100,5,0.01,0.8,0.8,0.9409244679126418
100,5,0.05,0.4,0.4,0.9401172988245884
100,5,0.05,0.4,0.6,0.940433524936567
100,5,0.05,0.4,0.8,0.9408562033772403
100,5,0.05,0.6,0.4,0.9406703802590624
100,5,0.05,0.6,0.6,0.9395769360443614
100,5,0.05,0.6,0.8,0.9397059698025524
100,5,0.05,0.8,0.4,0.9413578335920793
100,5,0.05,0.8,0.6,0.941040466276489
100,5,0.05,0.8,0.8,0.9408229237509216
100,7,0.001,0.4,0.4,0.9389576689748932
100,7,0.001,0.4,0.6,0.9385345386447235
100,7,0.001,0.4,0.8,0.9373211480339269
100,7,0.001,0.6,0.4,0.9400240869624913
100,7,0.001,0.6,0.6,0.9402101469834768
100,7,0.001,0.6,0.8,0.938700244331328
100,7,0.001,0.8,0.4,0.9393121721100774
100,7,0.001,0.8,0.6,0.9391284931188502
100,7,0.001,0.8,0.8,0.9400120550132985
100,7,0.01,0.4,0.4,0.9383803258751529
100,7,0.01,0.4,0.6,0.9385108671492264
100,7,0.01,0.4,0.8,0.9381586751209451
100,7,0.01,0.6,0.4,0.9401156290250647
100,7,0.01,0.6,0.6,0.9406943189224833
100,7,0.01,0.6,0.8,0.9396020456546985
100,7,0.01,0.8,0.4,0.9399758323653191
100,7,0.01,0.8,0.6,0.9392648974765008
100,7,0.01,0.8,0.8,0.9385153609971942
100,7,0.05,0.4,0.4,0.9387023211444856
100,7,0.05,0.4,0.6,0.9400703628472277
100,7,0.05,0.4,0.8,0.9399264355209105
100,7,0.05,0.6,0.4,0.940365351718327
100,7,0.05,0.6,0.6,0.9397405993574235
100,7,0.05,0.6,0.8,0.9394294217799425
100,7,0.05,0.8,0.4,0.9410997055454647
100,7,0.05,0.8,0.6,0.9396795567049621
100,7,0.05,0.8,0.8,0.9390942011765698
300,3,0.001,0.4,0.4,0.9384961880459762
300,3,0.001,0.4,0.6,0.9389430764924935
300,3,0.001,0.4,0.8,0.9390742068927113
300,3,0.001,0.6,0.4,0.9396273269412989
300,3,0.001,0.6,0.6,0.9392593866162606
300,3,0.001,0.6,0.8,0.9391369370863163
300,3,0.001,0.8,0.4,0.9391117732074947
300,3,0.001,0.8,0.6,0.9387398138837277
300,3,0.001,0.8,0.8,0.938515647472175
300,3,0.01,0.4,0.4,0.9413794710630319
300,3,0.01,0.4,0.6,0.9412026716458419
300,3,0.01,0.4,0.8,0.9414631791567777
300,3,0.01,0.6,0.4,0.9411659725831859
300,3,0.01,0.6,0.6,0.9417605375777635
300,3,0.01,0.6,0.8,0.9414066313959089
300,3,0.01,0.8,0.4,0.9417291443030938
300,3,0.01,0.8,0.6,0.9412101126899692
300,3,0.01,0.8,0.8,0.9408179769698327
300,3,0.05,0.4,0.4,0.9388728567262123
300,3,0.05,0.4,0.6,0.9392764211804636
300,3,0.05,0.4,0.8,0.9395379013496218
300,3,0.05,0.6,0.4,0.9389673047617693
300,3,0.05,0.6,0.6,0.9405118818446517
300,3,0.05,0.6,0.8,0.9404229024025346
300,3,0.05,0.8,0.4,0.9399935353711442
300,3,0.05,0.8,0.6,0.9391288432549377
300,3,0.05,0.8,0.8,0.9397987104680965
300,5,0.001,0.4,0.4,0.9394845314259713
300,5,0.001,0.4,0.6,0.9397824831476006
300,5,0.001,0.4,0.8,0.9391592612623227
300,5,0.001,0.6,0.4,0.940012390016828
300,5,0.001,0.6,0.6,0.9400028210219327
300,5,0.001,0.6,0.8,0.9399967878275287
300,5,0.001,0.8,0.4,0.9402746482082017
300,5,0.001,0.8,0.6,0.9405421161740893
300,5,0.001,0.8,0.8,0.9408453225460944
300,5,0.01,0.4,0.4,0.9409290593395194
300,5,0.01,0.4,0.6,0.9411545219329523
300,5,0.01,0.4,0.8,0.9416026736871718
300,5,0.01,0.6,0.4,0.9417525595887268
300,5,0.01,0.6,0.6,0.9419049423623818
300,5,0.01,0.6,0.8,0.9409059983644731
300,5,0.01,0.8,0.4,0.9415407048177868
300,5,0.01,0.8,0.6,0.9413297726110841
300,5,0.01,0.8,0.8,0.9406962089268193
300,5,0.05,0.4,0.4,0.9367915288481974
300,5,0.05,0.4,0.6,0.9374399078287363
300,5,0.05,0.4,0.8,0.9372053176936571
300,5,0.05,0.6,0.4,0.9373574249503906
300,5,0.05,0.6,0.6,0.9370542404945045
300,5,0.05,0.6,0.8,0.9362232564125572
300,5,0.05,0.8,0.4,0.9378292539400434
300,5,0.05,0.8,0.6,0.9377380463591868
300,5,0.05,0.8,0.8,0.9368901534698132
300,7,0.001,0.4,0.4,0.9388711034367125
300,7,0.001,0.4,0.6,0.9392264211209769
300,7,0.001,0.4,0.8,0.9385945418469817
300,7,0.001,0.6,0.4,0.9399780636349326
300,7,0.001,0.6,0.6,0.9399074243315214
300,7,0.001,0.6,0.8,0.9389470443536115
300,7,0.001,0.8,0.4,0.9392903488739279
300,7,0.001,0.8,0.6,0.9392553086527362
300,7,0.001,0.8,0.8,0.9394288978803418
300,7,0.01,0.4,0.4,0.9409208893235377
300,7,0.01,0.4,0.6,0.9410397388700712
