n_estimators,max_depth,learning_rate,subsample,colsample_bytree,avg AUC score
100,3,0.001,0.4,0.4,0.8660171092002855
100,3,0.001,0.4,0.6,0.8663707038813049
100,3,0.001,0.4,0.8,0.8661568254757483
100,3,0.001,0.6,0.4,0.8654742996791563
100,3,0.001,0.6,0.6,0.864050755671051
100,3,0.001,0.6,0.8,0.8634895820768971
100,3,0.001,0.8,0.4,0.8643688680324185
100,3,0.001,0.8,0.6,0.8611958369853749
100,3,0.001,0.8,0.8,0.860849353175422
100,3,0.01,0.4,0.4,0.8724854856478119
100,3,0.01,0.4,0.6,0.8736854861838914
100,3,0.01,0.4,0.8,0.874733810846139
100,3,0.01,0.6,0.4,0.8733667846935009
100,3,0.01,0.6,0.6,0.8737946933938032
100,3,0.01,0.6,0.8,0.8729715667905904
100,3,0.01,0.8,0.4,0.8711856034512797
100,3,0.01,0.8,0.6,0.8718453185071617
100,3,0.01,0.8,0.8,0.871805535824852
100,3,0.05,0.4,0.4,0.8869321767865073
100,3,0.05,0.4,0.6,0.8848011547152211
100,3,0.05,0.4,0.8,0.8867806427503737
100,3,0.05,0.6,0.4,0.8877640359012433
100,3,0.05,0.6,0.6,0.887856136591267
100,3,0.05,0.6,0.8,0.8871742356623307
100,3,0.05,0.8,0.4,0.8870279451537074
100,3,0.05,0.8,0.6,0.8863301874401938
100,3,0.05,0.8,0.8,0.887596292161535
100,5,0.001,0.4,0.4,0.8748305921802084
100,5,0.001,0.4,0.6,0.8761221472753314
100,5,0.001,0.4,0.8,0.8752380360459849
100,5,0.001,0.6,0.4,0.8778240343644821
100,5,0.001,0.6,0.6,0.8767563605831473
100,5,0.001,0.6,0.8,0.8760046224570847
100,5,0.001,0.8,0.4,0.8753943222034296
100,5,0.001,0.8,0.6,0.8751099889925011
100,5,0.001,0.8,0.8,0.8748184857183958
100,5,0.01,0.4,0.4,0.8794175697372406
100,5,0.01,0.4,0.6,0.8801045422015177
100,5,0.01,0.4,0.8,0.8792412252722167
100,5,0.01,0.6,0.4,0.8810519085770038
100,5,0.01,0.6,0.6,0.8805662585314817
100,5,0.01,0.6,0.8,0.8804882288112348
100,5,0.01,0.8,0.4,0.8806356383857932
100,5,0.01,0.8,0.6,0.8796465426893502
100,5,0.01,0.8,0.8,0.8794437270658493
100,5,0.05,0.4,0.4,0.8853894148424327
100,5,0.05,0.4,0.6,0.8862438496046859
100,5,0.05,0.4,0.8,0.8859774259160481
100,5,0.05,0.6,0.4,0.888550753772436
100,5,0.05,0.6,0.6,0.8886302666459382
100,5,0.05,0.6,0.8,0.8882678087840199
100,5,0.05,0.8,0.4,0.8861422670086855
100,5,0.05,0.8,0.6,0.8884534050875731
100,5,0.05,0.8,0.8,0.8874240732749186
100,7,0.001,0.4,0.4,0.8767309213776885
100,7,0.001,0.4,0.6,0.8770035205903663
100,7,0.001,0.4,0.8,0.8755976080133161
100,7,0.001,0.6,0.4,0.8786605942262453
100,7,0.001,0.6,0.6,0.87791048053272
100,7,0.001,0.6,0.8,0.877222731870015
100,7,0.001,0.8,0.4,0.8769384612016937
100,7,0.001,0.8,0.6,0.8774546711286352
100,7,0.001,0.8,0.8,0.8751158769322315
100,7,0.01,0.4,0.4,0.8802695050288722
100,7,0.01,0.4,0.6,0.8789576928300262
100,7,0.01,0.4,0.8,0.8794011031622435
100,7,0.01,0.6,0.4,0.8811482219583521
100,7,0.01,0.6,0.6,0.8819083826749831
100,7,0.01,0.6,0.8,0.8809523709008905
100,7,0.01,0.8,0.4,0.8803654342199195
100,7,0.01,0.8,0.6,0.8801748322741296
100,7,0.01,0.8,0.8,0.8789689091765194
100,7,0.05,0.4,0.4,0.8824542880551661
100,7,0.05,0.4,0.6,0.8841589314863608
100,7,0.05,0.4,0.8,0.8839879746202101
100,7,0.05,0.6,0.4,0.8869265200310569
100,7,0.05,0.6,0.6,0.8859775923240566
100,7,0.05,0.6,0.8,0.8889226321145566
100,7,0.05,0.8,0.4,0.8850680954972002
100,7,0.05,0.8,0.6,0.8849783256361254
100,7,0.05,0.8,0.8,0.8850599917622451
300,3,0.001,0.4,0.4,0.8678339339657285
300,3,0.001,0.4,0.6,0.8682901264432823
300,3,0.001,0.4,0.8,0.8682177512448213
300,3,0.001,0.6,0.4,0.8669681951856489
300,3,0.001,0.6,0.6,0.8662209645946302
300,3,0.001,0.6,0.8,0.8659954013314428
300,3,0.001,0.8,0.4,0.8658154757437433
300,3,0.001,0.8,0.6,0.8645603768460122
300,3,0.001,0.8,0.8,0.8643547267022086
300,3,0.01,0.4,0.4,0.8834368212451876
300,3,0.01,0.4,0.6,0.8846585240659485
300,3,0.01,0.4,0.8,0.8851969366184284
300,3,0.01,0.6,0.4,0.8839371721538869
300,3,0.01,0.6,0.6,0.8845705623563195
300,3,0.01,0.6,0.8,0.8845023406570725
300,3,0.01,0.8,0.4,0.8837247070995687
300,3,0.01,0.8,0.6,0.8841009176340668
300,3,0.01,0.8,0.8,0.8846658616539662
300,3,0.05,0.4,0.4,0.8876826724366689
300,3,0.05,0.4,0.6,0.88402558841425
300,3,0.05,0.4,0.8,0.8850163359056212
300,3,0.05,0.6,0.4,0.8887881509903621
300,3,0.05,0.6,0.6,0.8895956352407935
300,3,0.05,0.6,0.8,0.8874280860532666
300,3,0.05,0.8,0.4,0.8882471931771375
300,3,0.05,0.8,0.6,0.8891168001057863
300,3,0.05,0.8,0.8,0.8885391308989965
300,5,0.001,0.4,0.4,0.876460879152494
300,5,0.001,0.4,0.6,0.8772139798139268
300,5,0.001,0.4,0.8,0.8769308477561053
300,5,0.001,0.6,0.4,0.8777593429720426
300,5,0.001,0.6,0.6,0.8771163357269283
