n_estimators,max_depth,learning_rate,subsample,colsample_bytree,avg AUC score
100,3,0.001,0.4,0.4,0.8264791954672013
100,3,0.001,0.4,0.6,0.82371483089624
100,3,0.001,0.4,0.8,0.823501747502872
100,3,0.001,0.4,1.0,0.8224101666699118
100,3,0.001,0.6,0.4,0.8284765815144375
100,3,0.001,0.6,0.6,0.8220559931073425
100,3,0.001,0.6,0.8,0.821301062131272
100,3,0.001,0.6,1.0,0.8185547567125528
100,3,0.001,0.8,0.4,0.822126112268541
100,3,0.001,0.8,0.6,0.8164299830604179
100,3,0.001,0.8,0.8,0.8132155269767714
100,3,0.001,0.8,1.0,0.8102132537627289
100,3,0.001,1.0,0.4,0.8150422516014719
100,3,0.001,1.0,0.6,0.803901178469207
100,3,0.001,1.0,0.8,0.7938285159368368
100,3,0.001,1.0,1.0,0.7805677072178197
100,3,0.005,0.4,0.4,0.8298275375299363
100,3,0.005,0.4,0.6,0.8315709758756984
100,3,0.005,0.4,0.8,0.8301276066512198
100,3,0.005,0.4,1.0,0.8300395013532196
100,3,0.005,0.6,0.4,0.832503310033295
100,3,0.005,0.6,0.6,0.8309442600128507
100,3,0.005,0.6,0.8,0.828941908915672
100,3,0.005,0.6,1.0,0.82641944449853
100,3,0.005,0.8,0.4,0.8286013649019646
100,3,0.005,0.8,0.6,0.8264244338869526
100,3,0.005,0.8,0.8,0.8245917950115851
100,3,0.005,0.8,1.0,0.8225405965848245
100,3,0.005,1.0,0.4,0.8222635273272456
100,3,0.005,1.0,0.6,0.8166951386319827
100,3,0.005,1.0,0.8,0.812773759224284
100,3,0.005,1.0,1.0,0.8099862730972177
100,3,0.01,0.4,0.4,0.835848366401215
100,3,0.01,0.4,0.6,0.8366429934383458
100,3,0.01,0.4,0.8,0.8382707753266224
100,3,0.01,0.4,1.0,0.8359058782297163
100,3,0.01,0.6,0.4,0.8387705903541736
100,3,0.01,0.6,0.6,0.8383759662376604
100,3,0.01,0.6,0.8,0.8368589000954069
100,3,0.01,0.6,1.0,0.8345188039097335
