n_estimators,max_depth,learning_rate,subsample,colsample_bytree,avg AUC score
100,3,0.001,0.4,0.4,0.7004535864978902
100,3,0.001,0.4,0.6,0.6947995780590719
100,3,0.001,0.4,0.8,0.6958649789029536
100,3,0.001,0.4,1.0,0.6868037974683544
100,3,0.001,0.6,0.4,0.7045886075949367
100,3,0.001,0.6,0.6,0.7034915611814345
100,3,0.001,0.6,0.8,0.6985021097046413
100,3,0.001,0.6,1.0,0.6955274261603376
100,3,0.001,0.8,0.4,0.6964451476793249
100,3,0.001,0.8,0.6,0.6965084388185655
100,3,0.001,0.8,0.8,0.6939451476793248
100,3,0.001,0.8,1.0,0.6958016877637132
100,3,0.001,1.0,0.4,0.6986919831223629
100,3,0.001,1.0,0.6,0.7004535864978904
100,3,0.001,1.0,0.8,0.6964662447257384
100,3,0.001,1.0,1.0,0.6699367088607595
100,3,0.005,0.4,0.4,0.6988502109704642
100,3,0.005,0.4,0.6,0.6949472573839662
100,3,0.005,0.4,0.8,0.6951582278481012
100,3,0.005,0.4,1.0,0.6883016877637129
100,3,0.005,0.6,0.4,0.7020042194092827
100,3,0.005,0.6,0.6,0.702668776371308
100,3,0.005,0.6,0.8,0.702457805907173
100,3,0.005,0.6,1.0,0.6976265822784811
100,3,0.005,0.8,0.4,0.6975632911392405
100,3,0.005,0.8,0.6,0.6958544303797469
100,3,0.005,0.8,0.8,0.6958966244725738
100,3,0.005,0.8,1.0,0.6967510548523207
100,3,0.005,1.0,0.4,0.6941666666666667
100,3,0.005,1.0,0.6,0.6963502109704642
100,3,0.005,1.0,0.8,0.6981540084388186
100,3,0.005,1.0,1.0,0.6981540084388185
100,3,0.01,0.4,0.4,0.697162447257384
100,3,0.01,0.4,0.6,0.6918248945147679
100,3,0.01,0.4,0.8,0.6932805907172994
100,3,0.01,0.4,1.0,0.6901160337552742
100,3,0.01,0.6,0.4,0.699662447257384
100,3,0.01,0.6,0.6,0.7003902953586498
100,3,0.01,0.6,0.8,0.694103375527426
100,3,0.01,0.6,1.0,0.6952848101265823
100,3,0.01,0.8,0.4,0.6963818565400844
100,3,0.01,0.8,0.6,0.6989978902953586
100,3,0.01,0.8,0.8,0.693987341772152
100,3,0.01,0.8,1.0,0.6925105485232067
100,3,0.01,1.0,0.4,0.692626582278481
100,3,0.01,1.0,0.6,0.68834388185654
100,3,0.01,1.0,0.8,0.6956118143459916
100,3,0.01,1.0,1.0,0.705210970464135
100,3,0.1,0.4,0.4,0.6556645569620253
100,3,0.1,0.4,0.6,0.6545675105485232
100,3,0.1,0.4,0.8,0.6394409282700422
100,3,0.1,0.4,1.0,0.6438291139240506
100,3,0.1,0.6,0.4,0.6523523206751054
100,3,0.1,0.6,0.6,0.6417194092827004
100,3,0.1,0.6,0.8,0.6494620253164557
100,3,0.1,0.6,1.0,0.6466350210970464
100,3,0.1,0.8,0.4,0.6567827004219409
100,3,0.1,0.8,0.6,0.6400949367088608
100,3,0.1,0.8,0.8,0.6506434599156118
100,3,0.1,0.8,1.0,0.6395886075949367
100,3,0.1,1.0,0.4,0.652331223628692
100,3,0.1,1.0,0.6,0.6404746835443038
100,3,0.1,1.0,0.8,0.6447046413502109
100,3,0.1,1.0,1.0,0.6382172995780591
100,3,0.2,0.4,0.4,0.638006329113924
100,3,0.2,0.4,0.6,0.6302426160337553
100,3,0.2,0.4,0.8,0.627204641350211
100,3,0.2,0.4,1.0,0.6331118143459915
100,3,0.2,0.6,0.4,0.6255379746835443
100,3,0.2,0.6,0.6,0.6451582278481013
100,3,0.2,0.6,0.8,0.6370569620253164
100,3,0.2,0.6,1.0,0.6256012658227847
100,3,0.2,0.8,0.4,0.6478164556962025
100,3,0.2,0.8,0.6,0.6282383966244727
100,3,0.2,0.8,0.8,0.6148417721518988
100,3,0.2,0.8,1.0,0.626782700421941
100,3,0.2,1.0,0.4,0.6218670886075949
100,3,0.2,1.0,0.6,0.617626582278481
100,3,0.2,1.0,0.8,0.6152215189873418
100,3,0.2,1.0,1.0,0.6096518987341772
100,4,0.001,0.4,0.4,0.6860021097046414
100,4,0.001,0.4,0.6,0.688976793248945
100,4,0.001,0.4,0.8,0.6889345991561182
100,4,0.001,0.4,1.0,0.6795042194092826
100,4,0.001,0.6,0.4,0.6925632911392404
100,4,0.001,0.6,0.6,0.69792194092827
100,4,0.001,0.6,0.8,0.6939240506329114
100,4,0.001,0.6,1.0,0.6893881856540084
100,4,0.001,0.8,0.4,0.6996729957805907
100,4,0.001,0.8,0.6,0.6920147679324895
100,4,0.001,0.8,0.8,0.6917194092827004
100,4,0.001,0.8,1.0,0.6892510548523207
100,4,0.001,1.0,0.4,0.6888713080168776
100,4,0.001,1.0,0.6,0.6862130801687764
100,4,0.001,1.0,0.8,0.6920253164556962
100,4,0.001,1.0,1.0,0.672373417721519
100,4,0.005,0.4,0.4,0.6843987341772151
100,4,0.005,0.4,0.6,0.6854746835443037
100,4,0.005,0.4,0.8,0.6830274261603376
100,4,0.005,0.4,1.0,0.6827320675105485
100,4,0.005,0.6,0.4,0.6895253164556963
100,4,0.005,0.6,0.6,0.6943987341772153
100,4,0.005,0.6,0.8,0.6911497890295358
100,4,0.005,0.6,1.0,0.6897573839662448
100,4,0.005,0.8,0.4,0.693723628691983
100,4,0.005,0.8,0.6,0.6890822784810127
100,4,0.005,0.8,0.8,0.686698312236287
100,4,0.005,0.8,1.0,0.6842088607594936
100,4,0.005,1.0,0.4,0.6809388185654008
100,4,0.005,1.0,0.6,0.6865717299578058
100,4,0.005,1.0,0.8,0.6913607594936708
100,4,0.005,1.0,1.0,0.6866877637130802
100,4,0.01,0.4,0.4,0.6860864978902954
100,4,0.01,0.4,0.6,0.6821413502109704
100,4,0.01,0.4,0.8,0.6789345991561182
100,4,0.01,0.4,1.0,0.6782172995780591
100,4,0.01,0.6,0.4,0.6891877637130801
100,4,0.01,0.6,0.6,0.6931751054852321
100,4,0.01,0.6,0.8,0.6926054852320677
100,4,0.01,0.6,1.0,0.6860864978902953
100,4,0.01,0.8,0.4,0.6898417721518987
100,4,0.01,0.8,0.6,0.6897151898734177
100,4,0.01,0.8,0.8,0.6856434599156118
100,4,0.01,0.8,1.0,0.6804324894514767
100,4,0.01,1.0,0.4,0.6770991561181434
100,4,0.01,1.0,0.6,0.6824367088607596
100,4,0.01,1.0,0.8,0.6821097046413501
100,4,0.01,1.0,1.0,0.6894092827004219
100,4,0.1,0.4,0.4,0.6373945147679324
100,4,0.1,0.4,0.6,0.6303902953586498
100,4,0.1,0.4,0.8,0.6237025316455697
100,4,0.1,0.4,1.0,0.6252004219409282
100,4,0.1,0.6,0.4,0.6364240506329114
100,4,0.1,0.6,0.6,0.6360864978902954
100,4,0.1,0.6,0.8,0.6444409282700422
100,4,0.1,0.6,1.0,0.6391033755274262
100,4,0.1,0.8,0.4,0.6487025316455695
100,4,0.1,0.8,0.6,0.6384282700421942
100,4,0.1,0.8,0.8,0.6354746835443038
100,4,0.1,0.8,1.0,0.6377320675105487
100,4,0.1,1.0,0.4,0.6319725738396624
100,4,0.1,1.0,0.6,0.6166033755274263
100,4,0.1,1.0,0.8,0.6233122362869199
100,4,0.1,1.0,1.0,0.6279957805907174
100,4,0.2,0.4,0.4,0.6119303797468355
100,4,0.2,0.4,0.6,0.6206223628691984
100,4,0.2,0.4,0.8,0.6279852320675106
100,4,0.2,0.4,1.0,0.6250949367088607
100,4,0.2,0.6,0.4,0.6208755274261604
100,4,0.2,0.6,0.6,0.6380274261603376
100,4,0.2,0.6,0.8,0.6304957805907172
100,4,0.2,0.6,1.0,0.632331223628692
100,4,0.2,0.8,0.4,0.6295464135021097
100,4,0.2,0.8,0.6,0.632964135021097
100,4,0.2,0.8,0.8,0.6277320675105484
100,4,0.2,0.8,1.0,0.6314240506329114
100,4,0.2,1.0,0.4,0.6046308016877637
100,4,0.2,1.0,0.6,0.5922257383966245
100,4,0.2,1.0,0.8,0.602542194092827
100,4,0.2,1.0,1.0,0.6084282700421941
100,5,0.001,0.4,0.4,0.6818037974683544
100,5,0.001,0.4,0.6,0.678048523206751
100,5,0.001,0.4,0.8,0.6749472573839663
100,5,0.001,0.4,1.0,0.6685548523206751
100,5,0.001,0.6,0.4,0.6845464135021097
100,5,0.001,0.6,0.6,0.6830907172995782
100,5,0.001,0.6,0.8,0.6803902953586498
100,5,0.001,0.6,1.0,0.66957805907173
100,5,0.001,0.8,0.4,0.6816561181434599
100,5,0.001,0.8,0.6,0.6851371308016878
100,5,0.001,0.8,0.8,0.677162447257384
100,5,0.001,0.8,1.0,0.672710970464135
100,5,0.001,1.0,0.4,0.6789978902953587
100,5,0.001,1.0,0.6,0.6789029535864979
100,5,0.001,1.0,0.8,0.6761497890295359
100,5,0.001,1.0,1.0,0.6524472573839663
100,5,0.005,0.4,0.4,0.6777531645569621
100,5,0.005,0.4,0.6,0.6702848101265823
100,5,0.005,0.4,0.8,0.6726898734177216
100,5,0.005,0.4,1.0,0.6650527426160338
100,5,0.005,0.6,0.4,0.6813185654008439
100,5,0.005,0.6,0.6,0.6803902953586498
100,5,0.005,0.6,0.8,0.676487341772152
100,5,0.005,0.6,1.0,0.668808016877637
100,5,0.005,0.8,0.4,0.6786814345991561
100,5,0.005,0.8,0.6,0.6804535864978903
100,5,0.005,0.8,0.8,0.6745464135021096
100,5,0.005,0.8,1.0,0.6672151898734178
100,5,0.005,1.0,0.4,0.671782700421941
100,5,0.005,1.0,0.6,0.6764978902953587
100,5,0.005,1.0,0.8,0.6705801687763713
100,5,0.005,1.0,1.0,0.6780801687763713
100,5,0.01,0.4,0.4,0.6697573839662447
100,5,0.01,0.4,0.6,0.6728586497890295
100,5,0.01,0.4,0.8,0.6641877637130802
100,5,0.01,0.4,1.0,0.6656434599156118
100,5,0.01,0.6,0.4,0.67334388185654
100,5,0.01,0.6,0.6,0.6809599156118143
100,5,0.01,0.6,0.8,0.6700316455696202
100,5,0.01,0.6,1.0,0.6682172995780591
100,5,0.01,0.8,0.4,0.6759177215189873
100,5,0.01,0.8,0.6,0.6761286919831224
100,5,0.01,0.8,0.8,0.6762341772151899
100,5,0.01,0.8,1.0,0.6664662447257385
100,5,0.01,1.0,0.4,0.6695464135021097
100,5,0.01,1.0,0.6,0.6717721518987341
100,5,0.01,1.0,0.8,0.6706856540084388
100,5,0.01,1.0,1.0,0.6756962025316456
100,5,0.1,0.4,0.4,0.631867088607595
100,5,0.1,0.4,0.6,0.6257278481012658
100,5,0.1,0.4,0.8,0.6153059071729958
100,5,0.1,0.4,1.0,0.6254324894514769
100,5,0.1,0.6,0.4,0.6270569620253165
100,5,0.1,0.6,0.6,0.6337025316455696
100,5,0.1,0.6,0.8,0.6325843881856541
100,5,0.1,0.6,1.0,0.6303059071729958
100,5,0.1,0.8,0.4,0.6254957805907172
100,5,0.1,0.8,0.6,0.6264873417721519
100,5,0.1,0.8,0.8,0.6262130801687764
100,5,0.1,0.8,1.0,0.6240611814345992
100,5,0.1,1.0,0.4,0.6040822784810127
100,5,0.1,1.0,0.6,0.5920569620253164
100,5,0.1,1.0,0.8,0.6206012658227849
100,5,0.1,1.0,1.0,0.618217299578059
100,5,0.2,0.4,0.4,0.622584388185654
100,5,0.2,0.4,0.6,0.6050949367088607
100,5,0.2,0.4,0.8,0.5969936708860759
100,5,0.2,0.4,1.0,0.626065400843882
100,5,0.2,0.6,0.4,0.6105379746835442
100,5,0.2,0.6,0.6,0.627162447257384
100,5,0.2,0.6,0.8,0.627837552742616
100,5,0.2,0.6,1.0,0.6285337552742616
100,5,0.2,0.8,0.4,0.6196518987341773
100,5,0.2,0.8,0.6,0.6252848101265823
100,5,0.2,0.8,0.8,0.6191666666666668
100,5,0.2,0.8,1.0,0.6233227848101266
100,5,0.2,1.0,0.4,0.5976898734177215
100,5,0.2,1.0,0.6,0.5996308016877638
100,5,0.2,1.0,0.8,0.6147573839662447
100,5,0.2,1.0,1.0,0.6061708860759494
100,6,0.001,0.4,0.4,0.6674789029535866
100,6,0.001,0.4,0.6,0.6646308016877638
100,6,0.001,0.4,0.8,0.6681118143459917
100,6,0.001,0.4,1.0,0.6565506329113924
100,6,0.001,0.6,0.4,0.6731540084388186
100,6,0.001,0.6,0.6,0.6723101265822786
100,6,0.001,0.6,0.8,0.6674578059071731
100,6,0.001,0.6,1.0,0.6615928270042193
100,6,0.001,0.8,0.4,0.6727742616033756
100,6,0.001,0.8,0.6,0.6724789029535865
100,6,0.001,0.8,0.8,0.6648206751054851
100,6,0.001,0.8,1.0,0.6591666666666667
100,6,0.001,1.0,0.4,0.6678375527426159
100,6,0.001,1.0,0.6,0.6661181434599157
100,6,0.001,1.0,0.8,0.6582700421940928
100,6,0.001,1.0,1.0,0.6467721518987342
100,6,0.005,0.4,0.4,0.667626582278481
100,6,0.005,0.4,0.6,0.6592510548523206
100,6,0.005,0.4,0.8,0.6634282700421941
100,6,0.005,0.4,1.0,0.6545042194092827
100,6,0.005,0.6,0.4,0.6673101265822785
100,6,0.005,0.6,0.6,0.6651793248945148
100,6,0.005,0.6,0.8,0.66623417721519
100,6,0.005,0.6,1.0,0.6604957805907172
100,6,0.005,0.8,0.4,0.6697995780590718
100,6,0.005,0.8,0.6,0.6721835443037975
100,6,0.005,0.8,0.8,0.6606012658227847
100,6,0.005,0.8,1.0,0.6558333333333334
100,6,0.005,1.0,0.4,0.6604324894514768
100,6,0.005,1.0,0.6,0.6622679324894515
100,6,0.005,1.0,0.8,0.6534915611814346
100,6,0.005,1.0,1.0,0.6547257383966245
100,6,0.01,0.4,0.4,0.66081223628692
100,6,0.01,0.4,0.6,0.6597573839662447
100,6,0.01,0.4,0.8,0.6575632911392406
100,6,0.01,0.4,1.0,0.6556012658227848
100,6,0.01,0.6,0.4,0.6646729957805907
100,6,0.01,0.6,0.6,0.6662130801687765
100,6,0.01,0.6,0.8,0.6646518987341772
100,6,0.01,0.6,1.0,0.6609599156118143
100,6,0.01,0.8,0.4,0.662753164556962
