n_estimators,max_depth,learning_rate,subsample,colsample_bytree,avg AUC score
100,3,0.001,0.4,0.4,0.7567931131836679
100,3,0.001,0.4,0.6,0.7603191504896902
100,3,0.001,0.4,0.8,0.7632919741427987
100,3,0.001,0.4,1.0,0.7659112083568606
100,3,0.001,0.6,0.4,0.756793137522148
100,3,0.001,0.6,0.6,0.7586593148231079
100,3,0.001,0.6,0.8,0.7616472770108452
100,3,0.001,0.6,1.0,0.7634776037306021
100,3,0.001,0.8,0.4,0.7550650445880954
100,3,0.001,0.8,0.6,0.7544969966315543
100,3,0.001,0.8,0.8,0.7573441120348916
100,3,0.001,0.8,1.0,0.7607985820401487
100,3,0.001,1.0,0.4,0.7529207271364318
100,3,0.001,1.0,0.6,0.7499541463034717
100,3,0.001,1.0,0.8,0.7514139074943048
100,3,0.001,1.0,1.0,0.7283497293561012
100,3,0.005,0.4,0.4,0.7590478543195934
100,3,0.005,0.4,0.6,0.7625889814832842
100,3,0.005,0.4,0.8,0.7662008119316965
100,3,0.005,0.4,1.0,0.7670033246363832
100,3,0.005,0.6,0.4,0.7566180951731927
100,3,0.005,0.6,0.6,0.7592633472224927
100,3,0.005,0.6,0.8,0.7644048998228159
100,3,0.005,0.6,1.0,0.7657087730485406
100,3,0.005,0.8,0.4,0.7556938292217528
100,3,0.005,0.8,0.6,0.7561231356724235
100,3,0.005,0.8,0.8,0.7595678337779163
100,3,0.005,0.8,1.0,0.762479105414825
100,3,0.005,1.0,0.4,0.7549207660779998
100,3,0.005,1.0,0.6,0.7543576710021613
100,3,0.005,1.0,0.8,0.7568216013746374
100,3,0.005,1.0,1.0,0.7506723626822953
100,3,0.01,0.4,0.4,0.7592350902470842
100,3,0.01,0.4,0.6,0.763558310130649
100,3,0.01,0.4,0.8,0.766531036429837
100,3,0.01,0.4,1.0,0.7680014457057185
100,3,0.01,0.6,0.4,0.7587793522070133
100,3,0.01,0.6,0.6,0.7614435882707997
100,3,0.01,0.6,0.8,0.7647278957923636
100,3,0.01,0.6,1.0,0.7680689849880254
100,3,0.01,0.8,0.4,0.7571150139216106
100,3,0.01,0.8,0.6,0.7600583880137852
100,3,0.01,0.8,0.8,0.7606942551451547
100,3,0.01,0.8,1.0,0.7647282243618451
100,3,0.01,1.0,0.4,0.755780802780428
100,3,0.01,1.0,0.6,0.7549419162172161
100,3,0.01,1.0,0.8,0.7602949823789403
100,3,0.01,1.0,1.0,0.7568890311337838
100,3,0.1,0.4,0.4,0.7422113943028485
100,3,0.1,0.4,0.6,0.7427840057244104
100,3,0.1,0.4,0.8,0.7492878073950038
100,3,0.1,0.4,1.0,0.7457753266224032
100,3,0.1,0.6,0.4,0.744174974201211
100,3,0.1,0.6,0.6,0.7405364201016376
100,3,0.1,0.6,0.8,0.7453440244163633
100,3,0.1,0.6,1.0,0.7457595552872914
100,3,0.1,0.8,0.4,0.7435742274966413
100,3,0.1,0.8,0.6,0.7455788177339902
100,3,0.1,0.8,0.8,0.7469719036585604
100,3,0.1,0.8,1.0,0.7441910619365641
100,3,0.1,1.0,0.4,0.7505474454331276
100,3,0.1,1.0,0.6,0.7483053603068595
100,3,0.1,1.0,0.8,0.7452077045892638
100,3,0.1,1.0,1.0,0.7462449132576569
100,3,0.2,0.4,0.4,0.723969630444518
100,3,0.2,0.4,0.6,0.7255518263595475
100,3,0.2,0.4,0.8,0.7229765474405655
100,3,0.2,0.4,1.0,0.7266966111100294
100,3,0.2,0.6,0.4,0.7244009083120776
100,3,0.2,0.6,0.6,0.7277758036566133
100,3,0.2,0.6,0.8,0.7157534463287837
100,3,0.2,0.6,1.0,0.7265111518915865
100,3,0.2,0.8,0.4,0.7235405430401682
100,3,0.2,0.8,0.6,0.7254848468622832
100,3,0.2,0.8,0.8,0.7271363344301875
100,3,0.2,0.8,1.0,0.7195918680270255
100,3,0.2,1.0,0.4,0.7330687172647443
100,3,0.2,1.0,0.6,0.7307009482271851
100,3,0.2,1.0,0.8,0.7350394770147394
100,3,0.2,1.0,1.0,0.7341385394964857
100,4,0.001,0.4,0.4,0.7578914114371386
100,4,0.001,0.4,0.6,0.7622134874121382
100,4,0.001,0.4,0.8,0.7642033528690201
100,4,0.001,0.4,1.0,0.7677382980587628
100,4,0.001,0.6,0.4,0.7587110584318231
100,4,0.001,0.6,0.6,0.7601994781829864
100,4,0.001,0.6,0.8,0.7645152991685975
100,4,0.001,0.6,1.0,0.7668157236316906
100,4,0.001,0.8,0.4,0.757504819019062
100,4,0.001,0.8,0.6,0.7573775287680835
100,4,0.001,0.8,0.8,0.7613882912439884
100,4,0.001,0.8,1.0,0.7644025876672054
100,4,0.001,1.0,0.4,0.758016949317549
100,4,0.001,1.0,0.6,0.7569446688993166
100,4,0.001,1.0,0.8,0.7573517299791661
100,4,0.001,1.0,1.0,0.7324793609688662
100,4,0.005,0.4,0.4,0.758265420860998
100,4,0.005,0.4,0.6,0.762153127981464
100,4,0.005,0.4,0.8,0.7650686101754317
100,4,0.005,0.4,1.0,0.7667096078584085
100,4,0.005,0.6,0.4,0.7584894565704161
100,4,0.005,0.6,0.6,0.7610716719562296
100,4,0.005,0.6,0.8,0.7656976868708503
100,4,0.005,0.6,1.0,0.7675369458128077
100,4,0.005,0.8,0.4,0.7573679394069199
100,4,0.005,0.8,0.6,0.7595896288868553
100,4,0.005,0.8,0.8,0.7626841449405167
100,4,0.005,0.8,1.0,0.7658705265873558
100,4,0.005,1.0,0.4,0.7586396736696587
100,4,0.005,1.0,0.6,0.7571402772639655
100,4,0.005,1.0,0.8,0.7560077834459393
100,4,0.005,1.0,1.0,0.7514287539671722
100,4,0.01,0.4,0.4,0.7578512286064759
100,4,0.01,0.4,0.6,0.761218530345217
100,4,0.01,0.4,0.8,0.7635504974785334
100,4,0.01,0.4,1.0,0.7667509102591561
100,4,0.01,0.6,0.4,0.7584181935006524
100,4,0.01,0.6,0.6,0.7619125907825308
100,4,0.01,0.6,0.8,0.7641990692965205
100,4,0.01,0.6,1.0,0.7693050877158824
100,4,0.01,0.8,0.4,0.7576446435872972
100,4,0.01,0.8,0.6,0.7610953289588972
100,4,0.01,0.8,0.8,0.7644583227866587
100,4,0.01,0.8,1.0,0.7671295318249965
100,4,0.01,1.0,0.4,0.758710839385502
100,4,0.01,1.0,0.6,0.7582869117389357
100,4,0.01,1.0,0.8,0.758351883311591
100,4,0.01,1.0,1.0,0.7551455806187815
100,4,0.1,0.4,0.4,0.7401315981619581
100,4,0.1,0.4,0.6,0.7414455596876887
100,4,0.1,0.4,0.8,0.7416789413734691
100,4,0.1,0.4,1.0,0.740404043108316
100,4,0.1,0.6,0.4,0.7404450534473023
100,4,0.1,0.6,0.6,0.732430440623844
100,4,0.1,0.6,0.8,0.7376462986039447
100,4,0.1,0.6,1.0,0.7381555569617789
100,4,0.1,0.8,0.4,0.7383176755777955
100,4,0.1,0.8,0.6,0.7330273418485563
100,4,0.1,0.8,0.8,0.73261446387196
100,4,0.1,0.8,1.0,0.7321995658015148
100,4,0.1,1.0,0.4,0.7386893485075644
100,4,0.1,1.0,0.6,0.7369970939854747
100,4,0.1,1.0,0.8,0.7407070571856929
100,4,0.1,1.0,1.0,0.7360276436457095
100,4,0.2,0.4,0.4,0.7179644512159504
100,4,0.2,0.4,0.6,0.722372807102942
100,4,0.2,0.4,0.8,0.7181568225627446
100,4,0.2,0.4,1.0,0.7230379047489242
100,4,0.2,0.6,0.4,0.7223319914717965
100,4,0.2,0.6,0.6,0.7152267129422302
100,4,0.2,0.6,0.8,0.7179472682489924
100,4,0.2,0.6,1.0,0.720891956619093
100,4,0.2,0.8,0.4,0.7180969742401526
100,4,0.2,0.8,0.6,0.720010538561888
100,4,0.2,0.8,0.8,0.7165856276407251
100,4,0.2,0.8,1.0,0.7157088582332211
100,4,0.2,1.0,0.4,0.7264476771354582
