n_estimators,max_depth,learning_rate,subsample,colsample_bytree,avg AUC score
100,3,0.01,0.6,0.6,0.8656688376753506
100,3,0.01,0.6,0.8,0.8603957915831663
100,3,0.01,0.6,1.0,0.8612975951903808
100,3,0.01,0.8,0.6,0.8615919338677355
100,3,0.01,0.8,0.8,0.8591933867735471
100,3,0.01,0.8,1.0,0.8580285571142285
100,3,0.01,1.0,0.6,0.8588176352705412
100,3,0.01,1.0,0.8,0.8339178356713428
100,3,0.01,1.0,1.0,0.829308617234469
100,3,0.1,0.6,0.6,0.85499749498998
100,3,0.1,0.6,0.8,0.8620490981963927
100,3,0.1,0.6,1.0,0.8603957915831665
100,3,0.1,0.8,0.6,0.8469689378757514
100,3,0.1,0.8,0.8,0.8542960921843687
100,3,0.1,0.8,1.0,0.847933366733467
100,3,0.1,1.0,0.6,0.8526427855711423
100,3,0.1,1.0,0.8,0.852129258517034
100,3,0.1,1.0,1.0,0.8462424849699399
100,3,0.2,0.6,0.6,0.8392409819639278
100,3,0.2,0.6,0.8,0.8333542084168337
100,3,0.2,0.6,1.0,0.8340305611222444
100,3,0.2,0.8,0.6,0.839879759519038
100,3,0.2,0.8,0.8,0.8391407815631262
100,3,0.2,0.8,1.0,0.8408942885771542
100,3,0.2,1.0,0.6,0.8314879759519037
100,3,0.2,1.0,0.8,0.831312625250501
100,3,0.2,1.0,1.0,0.8305736472945892
100,5,0.01,0.6,0.6,0.8666207414829659
100,5,0.01,0.6,0.8,0.8644413827655312
100,5,0.01,0.6,1.0,0.862813126252505
100,5,0.01,0.8,0.6,0.8565255511022044
100,5,0.01,0.8,0.8,0.8470065130260521
100,5,0.01,0.8,1.0,0.8387650300601203
100,5,0.01,1.0,0.6,0.8409569138276554
100,5,0.01,1.0,0.8,0.8267535070140279
100,5,0.01,1.0,1.0,0.8293211422845692
100,5,0.1,0.6,0.6,0.8435871743486973
100,5,0.1,0.6,0.8,0.8595816633266533
100,5,0.1,0.6,1.0,0.8559619238476953
100,5,0.1,0.8,0.6,0.8463927855711424
100,5,0.1,0.8,0.8,0.843436873747495
100,5,0.1,0.8,1.0,0.8497870741482967
100,5,0.1,1.0,0.6,0.8536072144288577
100,5,0.1,1.0,0.8,0.8408567134268536
100,5,0.1,1.0,1.0,0.832189378757515
100,5,0.2,0.6,0.6,0.8462550100200401
100,5,0.2,0.6,0.8,0.8528306613226453
100,5,0.2,0.6,1.0,0.8522795591182364
100,5,0.2,0.8,0.6,0.8509769539078156
100,5,0.2,0.8,0.8,0.8510395791583166
100,5,0.2,0.8,1.0,0.8401803607214429
100,5,0.2,1.0,0.6,0.8460170340681363
100,5,0.2,1.0,0.8,0.8368111222444892
