n_estimators,max_depth,learning_rate,subsample,colsample_bytree,avg AUC score
100,3,0.01,0.6,0.6,0.7315351118251384
100,3,0.01,0.6,0.8,0.7316830845981483
100,3,0.01,0.6,1.0,0.7347693738637805
100,3,0.01,0.8,0.6,0.7224664947363971
100,3,0.01,0.8,0.8,0.7230372468608633
100,3,0.01,0.8,1.0,0.723100663763582
100,3,0.01,1.0,0.6,0.6814357586775461
100,3,0.01,1.0,0.8,0.6767006299412337
100,3,0.01,1.0,1.0,0.6787299708282248
100,3,0.1,0.6,0.6,0.7070984653109543
100,3,0.1,0.6,0.8,0.704117870883186
100,3,0.1,0.6,1.0,0.7073732718894009
100,3,0.1,0.8,0.6,0.710607533928043
100,3,0.1,0.8,0.8,0.720077791400668
100,3,0.1,0.8,1.0,0.7180061725785312
100,3,0.1,1.0,0.6,0.7324863653659156
100,3,0.1,1.0,0.8,0.7288716019109627
100,3,0.1,1.0,1.0,0.724030778336786
100,3,0.2,0.6,0.6,0.6973322622923097
100,3,0.2,0.6,0.8,0.6818796769965754
100,3,0.2,0.6,1.0,0.6867205005707521
100,3,0.2,0.8,0.6,0.677863273157739
100,3,0.2,0.8,0.8,0.6998689384010486
100,3,0.2,0.8,1.0,0.6942036950915317
100,3,0.2,1.0,0.6,0.7104172832198876
100,3,0.2,1.0,0.8,0.7051748192618272
100,3,0.2,1.0,1.0,0.7200143744979495
100,5,0.01,0.6,0.6,0.7172451697459095
100,5,0.01,0.6,0.8,0.7236291379529024
100,5,0.01,0.6,1.0,0.7254259501965924
100,5,0.01,0.8,0.6,0.7193167885680463
100,5,0.01,0.8,0.8,0.7180695894812498
100,5,0.01,0.8,1.0,0.7269902337969812
100,5,0.01,1.0,0.6,0.7016446116771656
100,5,0.01,1.0,0.8,0.6842261023971589
100,5,0.01,1.0,1.0,0.6962330359785228
100,5,0.1,0.6,0.6,0.7009893036824082
100,5,0.1,0.6,0.8,0.6898913457066758
100,5,0.1,0.6,1.0,0.6866570836680337
100,5,0.1,0.8,0.6,0.6936329429670653
100,5,0.1,0.8,0.8,0.6923857438802689
100,5,0.1,0.8,1.0,0.6850293831649262
100,5,0.1,1.0,0.6,0.6926605504587156
100,5,0.1,1.0,0.8,0.6932947194859004
100,5,0.1,1.0,1.0,0.6944573627024058
100,5,0.2,0.6,0.6,0.6933369974210459
100,5,0.2,0.6,0.8,0.6710988035344354
100,5,0.2,0.6,1.0,0.6763835454276412
100,5,0.2,0.8,0.6,0.6667653151820065
100,5,0.2,0.8,0.8,0.6932735805183277
100,5,0.2,0.8,1.0,0.6811186741639539
100,5,0.2,1.0,0.6,0.6807381727476429
100,5,0.2,1.0,0.8,0.6817845516424977
100,5,0.2,1.0,1.0,0.6729590326808438
100,7,0.01,0.6,0.6,0.7114319536633831
100,7,0.01,0.6,0.8,0.7125734579123155
100,7,0.01,0.6,1.0,0.7151312729886272
100,7,0.01,0.8,0.6,0.7109034794740625
100,7,0.01,0.8,0.8,0.7070773263433813
100,7,0.01,0.8,1.0,0.7164418889781421
100,7,0.01,1.0,0.6,0.6892783156470638
100,7,0.01,1.0,0.8,0.6803365323637592
100,7,0.01,1.0,1.0,0.6759607660761848
100,7,0.1,0.6,0.6,0.6955988669513381
100,7,0.1,0.6,0.8,0.6783283304443412
100,7,0.1,0.6,1.0,0.6688157950365704
100,7,0.1,0.8,0.6,0.6995095759523104
100,7,0.1,0.8,0.8,0.6964021477191054
100,7,0.1,0.8,1.0,0.6869953071491989
100,7,0.1,1.0,0.6,0.6877351710142476
100,7,0.1,1.0,0.8,0.6747558449245339
100,7,0.1,1.0,1.0,0.6801885595907495
100,7,0.2,0.6,0.6,0.6771656872278358
100,7,0.2,0.6,0.8,0.6593455375639453
100,7,0.2,0.6,1.0,0.6692597133555998
100,7,0.2,0.8,0.6,0.6886230076523062
100,7,0.2,0.8,0.8,0.6817951211262843
100,7,0.2,0.8,1.0,0.7003551346552235
100,7,0.2,1.0,0.6,0.6883059231387139
100,7,0.2,1.0,0.8,0.6915613241449288
100,7,0.2,1.0,1.0,0.6798926140447301
200,3,0.01,0.6,0.6,0.7412167589734917
200,3,0.01,0.6,0.8,0.7423371242548513
200,3,0.01,0.6,1.0,0.7434363505686383
200,3,0.01,0.8,0.6,0.7291464084894093
200,3,0.01,0.8,0.8,0.7274341521160106
200,3,0.01,0.8,1.0,0.7260389802562042
200,3,0.01,1.0,0.6,0.7115587874688198
200,3,0.01,1.0,0.8,0.7070350484082358
200,3,0.01,1.0,1.0,0.7062529066080412
200,3,0.1,0.6,0.6,0.7010949985202724
200,3,0.1,0.6,0.8,0.6914767682746374
200,3,0.1,0.6,1.0,0.6988331289899801
200,3,0.1,0.8,0.6,0.6987697120872617
200,3,0.1,0.8,0.8,0.6936329429670653
200,3,0.1,0.8,1.0,0.6957045617892024
200,3,0.1,1.0,0.6,0.7184500908975606
200,3,0.1,1.0,0.8,0.7134401555828014
200,3,0.1,1.0,1.0,0.7066756859594977
200,3,0.2,0.6,0.6,0.6860017756732761
200,3,0.2,0.6,0.8,0.672578531264533
200,3,0.2,0.6,1.0,0.679660085401429
200,3,0.2,0.8,0.6,0.6726630871348243
200,3,0.2,0.8,0.8,0.6757282374328839
200,3,0.2,0.8,1.0,0.679406417790555
200,3,0.2,1.0,0.6,0.6923223269775505
200,3,0.2,1.0,0.8,0.6857903859975478
200,3,0.2,1.0,1.0,0.7038430643047395
200,5,0.01,0.6,0.6,0.7270536506996997
200,5,0.01,0.6,0.8,0.7309220817655266
200,5,0.01,0.6,1.0,0.729082991586691
200,5,0.01,0.8,0.6,0.7186826195408615
200,5,0.01,0.8,0.8,0.7157865809833848
200,5,0.01,0.8,1.0,0.7243055849152327
200,5,0.01,1.0,0.6,0.7086204709761975
200,5,0.01,1.0,0.8,0.6989176848602715
200,5,0.01,1.0,1.0,0.6973111233247368
200,5,0.1,0.6,0.6,0.6973745402274554
200,5,0.1,0.6,0.8,0.6829366253752167
200,5,0.1,0.6,1.0,0.6820910666723038
200,5,0.1,0.8,0.6,0.6853887456136643
200,5,0.1,0.8,0.8,0.683845600980848
200,5,0.1,0.8,1.0,0.6729801716484165
200,5,0.1,1.0,0.6,0.6839090178835665
200,5,0.1,1.0,0.8,0.6856846911596838
200,5,0.1,1.0,1.0,0.6846488817486155
200,5,0.2,0.6,0.6,0.6954931721134741
200,5,0.2,0.6,0.8,0.6721346129455037
200,5,0.2,0.6,1.0,0.6808861455206527
200,5,0.2,0.8,0.6,0.6676108738849195
200,5,0.2,0.8,0.8,0.6849236883270621
200,5,0.2,0.8,1.0,0.6737834524161841
200,5,0.2,1.0,0.6,0.6764046843952142
200,5,0.2,1.0,0.8,0.6804845051367691
200,5,0.2,1.0,1.0,0.6660888682196761
200,7,0.01,0.6,0.6,0.7214518242929016
200,7,0.01,0.6,0.8,0.7223185219633874
200,7,0.01,0.6,1.0,0.7224664947363972
200,7,0.01,0.8,0.6,0.7134612945503742
200,7,0.01,0.8,0.8,0.7026170041855156
200,7,0.01,0.8,1.0,0.71253117997717
200,7,0.01,1.0,0.6,0.6866993616031793
200,7,0.01,1.0,0.8,0.679300722952691
200,7,0.01,1.0,1.0,0.6831057371157994
200,7,0.1,0.6,0.6,0.6996575487253202
200,7,0.1,0.6,0.8,0.6844797700080327
200,7,0.1,0.6,1.0,0.6733606730647276
200,7,0.1,0.8,0.6,0.6898067898363843
200,7,0.1,0.8,0.8,0.6935483870967742
200,7,0.1,0.8,1.0,0.678455164249778
200,7,0.1,1.0,0.6,0.6873123916627912
200,7,0.1,1.0,0.8,0.6767217689088065
200,7,0.1,1.0,1.0,0.6773347989684184
200,7,0.2,0.6,0.6,0.6845854648458969
200,7,0.2,0.6,0.8,0.6626220775377331
200,7,0.2,0.6,1.0,0.6655392550627827
200,7,0.2,0.8,0.6,0.6890457870037626
200,7,0.2,0.8,0.8,0.682175622542595
200,7,0.2,0.8,1.0,0.689975901576967
