n_estimators,max_depth,learning_rate,subsample,colsample_bytree,avg AUC score
100,3,0.01,0.6,0.6,0.653014553014553
100,3,0.01,0.6,0.8,0.6343035343035343
100,3,0.01,0.6,1.0,0.6442827442827443
100,3,0.01,0.8,0.6,0.671933471933472
100,3,0.01,0.8,0.8,0.6469854469854469
100,3,0.01,0.8,1.0,0.6276507276507277
100,3,0.01,1.0,0.6,0.6496881496881497
100,3,0.01,1.0,0.8,0.6563409563409563
100,3,0.01,1.0,1.0,0.6442827442827443
100,3,0.1,0.6,0.6,0.7185031185031185
100,3,0.1,0.6,0.8,0.7002079002079001
100,3,0.1,0.6,1.0,0.6742203742203743
100,3,0.1,0.8,0.6,0.6536382536382537
100,3,0.1,0.8,0.8,0.6704781704781704
100,3,0.1,0.8,1.0,0.6727650727650728
100,3,0.1,1.0,0.6,0.6810810810810811
100,3,0.1,1.0,0.8,0.6856548856548856
100,3,0.1,1.0,1.0,0.7016632016632016
100,3,0.2,0.6,0.6,0.7158004158004159
100,3,0.2,0.6,0.8,0.7201663201663201
100,3,0.2,0.6,1.0,0.7068607068607069
100,3,0.2,0.8,0.6,0.7257796257796258
100,3,0.2,0.8,0.8,0.6952182952182953
100,3,0.2,0.8,1.0,0.6968814968814969
100,3,0.2,1.0,0.6,0.7106029106029106
100,3,0.2,1.0,0.8,0.7232848232848234
100,3,0.2,1.0,1.0,0.7151767151767152
100,5,0.01,0.6,0.6,0.6708939708939708
100,5,0.01,0.6,0.8,0.6453222453222454
100,5,0.01,0.6,1.0,0.6355509355509356
100,5,0.01,0.8,0.6,0.6515592515592515
100,5,0.01,0.8,0.8,0.6434511434511435
100,5,0.01,0.8,1.0,0.6328482328482329
100,5,0.01,1.0,0.6,0.6985446985446986
100,5,0.01,1.0,0.8,0.704989604989605
100,5,0.01,1.0,1.0,0.591060291060291
100,5,0.1,0.6,0.6,0.7299376299376299
100,5,0.1,0.6,0.8,0.6923076923076923
100,5,0.1,0.6,1.0,0.6771309771309771
100,5,0.1,0.8,0.6,0.6844074844074844
100,5,0.1,0.8,0.8,0.696049896049896
100,5,0.1,0.8,1.0,0.6877338877338878
100,5,0.1,1.0,0.6,0.6956340956340956
100,5,0.1,1.0,0.8,0.6968814968814968
100,5,0.1,1.0,1.0,0.7145530145530146
100,5,0.2,0.6,0.6,0.6904365904365904
100,5,0.2,0.6,0.8,0.7097713097713099
100,5,0.2,0.6,1.0,0.673180873180873
100,5,0.2,0.8,0.6,0.7158004158004159
100,5,0.2,0.8,0.8,0.7199584199584199
100,5,0.2,0.8,1.0,0.7045738045738045
100,5,0.2,1.0,0.6,0.7424116424116424
100,5,0.2,1.0,0.8,0.722037422037422
100,5,0.2,1.0,1.0,0.71995841995842
100,7,0.01,0.6,0.6,0.6636174636174635
100,7,0.01,0.6,0.8,0.6463617463617464
100,7,0.01,0.6,1.0,0.6559251559251559
100,7,0.01,0.8,0.6,0.658004158004158
100,7,0.01,0.8,0.8,0.6565488565488565
100,7,0.01,0.8,1.0,0.6434511434511435
100,7,0.01,1.0,0.6,0.7135135135135136
100,7,0.01,1.0,0.8,0.7141372141372142
100,7,0.01,1.0,1.0,0.6428274428274428
100,7,0.1,0.6,0.6,0.7180873180873181
100,7,0.1,0.6,0.8,0.7222453222453222
100,7,0.1,0.6,1.0,0.6933471933471933
100,7,0.1,0.8,0.6,0.7081081081081081
100,7,0.1,0.8,0.8,0.6935550935550935
100,7,0.1,0.8,1.0,0.6767151767151767
100,7,0.1,1.0,0.6,0.7103950103950104
100,7,0.1,1.0,0.8,0.7153846153846154
100,7,0.1,1.0,1.0,0.7097713097713099
100,7,0.2,0.6,0.6,0.6958419958419959
100,7,0.2,0.6,0.8,0.7426195426195425
100,7,0.2,0.6,1.0,0.6931392931392931
100,7,0.2,0.8,0.6,0.7070686070686072
100,7,0.2,0.8,0.8,0.6970893970893971
100,7,0.2,0.8,1.0,0.7116424116424116
100,7,0.2,1.0,0.6,0.7476091476091477
100,7,0.2,1.0,0.8,0.7403326403326403
100,7,0.2,1.0,1.0,0.7424116424116425
200,3,0.01,0.6,0.6,0.6875259875259876
200,3,0.01,0.6,0.8,0.6652806652806652
200,3,0.01,0.6,1.0,0.6652806652806653
200,3,0.01,0.8,0.6,0.6812889812889813
200,3,0.01,0.8,0.8,0.654054054054054
200,3,0.01,0.8,1.0,0.6349272349272349
200,3,0.01,1.0,0.6,0.6160083160083162
200,3,0.01,1.0,0.8,0.6114345114345116
200,3,0.01,1.0,1.0,0.5910602910602911
200,3,0.1,0.6,0.6,0.7365904365904367
200,3,0.1,0.6,0.8,0.7313929313929314
200,3,0.1,0.6,1.0,0.7278586278586279
200,3,0.1,0.8,0.6,0.6945945945945946
200,3,0.1,0.8,0.8,0.7272349272349272
200,3,0.1,0.8,1.0,0.7122661122661123
200,3,0.1,1.0,0.6,0.7130977130977131
200,3,0.1,1.0,0.8,0.7185031185031185
200,3,0.1,1.0,1.0,0.7332640332640332
200,3,0.2,0.6,0.6,0.7128898128898129
200,3,0.2,0.6,0.8,0.7270270270270272
200,3,0.2,0.6,1.0,0.7029106029106029
200,3,0.2,0.8,0.6,0.7176715176715176
200,3,0.2,0.8,0.8,0.7012474012474013
200,3,0.2,0.8,1.0,0.7047817047817048
200,3,0.2,1.0,0.6,0.7232848232848234
200,3,0.2,1.0,0.8,0.7478170478170479
200,3,0.2,1.0,1.0,0.7351351351351352
200,5,0.01,0.6,0.6,0.7085239085239086
200,5,0.01,0.6,0.8,0.6902286902286902
200,5,0.01,0.6,1.0,0.6821205821205822
200,5,0.01,0.8,0.6,0.6852390852390853
200,5,0.01,0.8,0.8,0.6525987525987527
200,5,0.01,0.8,1.0,0.6474012474012474
200,5,0.01,1.0,0.6,0.685031185031185
200,5,0.01,1.0,0.8,0.703950103950104
200,5,0.01,1.0,1.0,0.6746361746361746
200,5,0.1,0.6,0.6,0.7567567567567568
200,5,0.1,0.6,0.8,0.7112266112266112
200,5,0.1,0.6,1.0,0.7232848232848232
200,5,0.1,0.8,0.6,0.7072765072765074
200,5,0.1,0.8,0.8,0.734095634095634
200,5,0.1,0.8,1.0,0.7180873180873181
200,5,0.1,1.0,0.6,0.7207900207900207
200,5,0.1,1.0,0.8,0.7286902286902287
200,5,0.1,1.0,1.0,0.7403326403326403
200,5,0.2,0.6,0.6,0.6958419958419959
200,5,0.2,0.6,0.8,0.7118503118503119
200,5,0.2,0.6,1.0,0.6725571725571724
200,5,0.2,0.8,0.6,0.7153846153846154
200,5,0.2,0.8,0.8,0.7218295218295218
200,5,0.2,0.8,1.0,0.7035343035343035
200,5,0.2,1.0,0.6,0.7532224532224532
200,5,0.2,1.0,0.8,0.7311850311850311
200,5,0.2,1.0,1.0,0.7286902286902287
200,7,0.01,0.6,0.6,0.6981288981288981
200,7,0.01,0.6,0.8,0.6912681912681913
200,7,0.01,0.6,1.0,0.6835758835758836
200,7,0.01,0.8,0.6,0.6916839916839916
200,7,0.01,0.8,0.8,0.6698544698544698
200,7,0.01,0.8,1.0,0.651975051975052
200,7,0.01,1.0,0.6,0.7012474012474013
200,7,0.01,1.0,0.8,0.7047817047817048
200,7,0.01,1.0,1.0,0.6638253638253638
200,7,0.1,0.6,0.6,0.741995841995842
200,7,0.1,0.6,0.8,0.7386694386694387
200,7,0.1,0.6,1.0,0.7255717255717256
200,7,0.1,0.8,0.6,0.7338877338877339
200,7,0.1,0.8,0.8,0.727027027027027
200,7,0.1,0.8,1.0,0.7124740124740124
200,7,0.1,1.0,0.6,0.7417879417879418
200,7,0.1,1.0,0.8,0.7386694386694387
200,7,0.1,1.0,1.0,0.7363825363825364
200,7,0.2,0.6,0.6,0.6929313929313929
200,7,0.2,0.6,0.8,0.7386694386694387
200,7,0.2,0.6,1.0,0.7014553014553014
200,7,0.2,0.8,0.6,0.7153846153846154
200,7,0.2,0.8,0.8,0.6925155925155925
200,7,0.2,0.8,1.0,0.7218295218295219
200,7,0.2,1.0,0.6,0.7567567567567568
200,7,0.2,1.0,0.8,0.754054054054054
200,7,0.2,1.0,1.0,0.7528066528066528
300,3,0.01,0.6,0.6,0.676091476091476
300,3,0.01,0.6,0.8,0.6683991683991684
300,3,0.01,0.6,1.0,0.6596673596673597
300,3,0.01,0.8,0.6,0.6787941787941788
300,3,0.01,0.8,0.8,0.6621621621621621
300,3,0.01,0.8,1.0,0.6332640332640332
300,3,0.01,1.0,0.6,0.6170478170478171
300,3,0.01,1.0,0.8,0.6145530145530146
300,3,0.01,1.0,1.0,0.5956340956340956
300,3,0.1,0.6,0.6,0.7465696465696465
300,3,0.1,0.6,0.8,0.7382536382536382
300,3,0.1,0.6,1.0,0.7395010395010395
300,3,0.1,0.8,0.6,0.7018711018711019
300,3,0.1,0.8,0.8,0.740956340956341
300,3,0.1,0.8,1.0,0.720997920997921
300,3,0.1,1.0,0.6,0.7224532224532224
300,3,0.1,1.0,0.8,0.7278586278586279
300,3,0.1,1.0,1.0,0.740956340956341
300,3,0.2,0.6,0.6,0.7230769230769232
300,3,0.2,0.6,0.8,0.7286902286902287
300,3,0.2,0.6,1.0,0.7155925155925156
300,3,0.2,0.8,0.6,0.7230769230769231
300,3,0.2,0.8,0.8,0.7068607068607068
300,3,0.2,0.8,1.0,0.7062370062370062
300,3,0.2,1.0,0.6,0.7145530145530147
300,3,0.2,1.0,0.8,0.738045738045738
300,3,0.2,1.0,1.0,0.7257796257796257
300,5,0.01,0.6,0.6,0.7031185031185032
300,5,0.01,0.6,0.8,0.6948024948024949
300,5,0.01,0.6,1.0,0.685031185031185
300,5,0.01,0.8,0.6,0.693970893970894
300,5,0.01,0.8,0.8,0.6573804573804574
300,5,0.01,0.8,1.0,0.6422037422037422
300,5,0.01,1.0,0.6,0.6891891891891893
300,5,0.01,1.0,0.8,0.6636174636174638
300,5,0.01,1.0,1.0,0.6505197505197506
300,5,0.1,0.6,0.6,0.766112266112266
300,5,0.1,0.6,0.8,0.7261954261954261
300,5,0.1,0.6,1.0,0.7351351351351352
300,5,0.1,0.8,0.6,0.7108108108108109
300,5,0.1,0.8,0.8,0.738045738045738
300,5,0.1,0.8,1.0,0.7268191268191269
300,5,0.1,1.0,0.6,0.728066528066528
300,5,0.1,1.0,0.8,0.7295218295218295
300,5,0.1,1.0,1.0,0.7528066528066528
300,5,0.2,0.6,0.6,0.6977130977130976
300,5,0.2,0.6,0.8,0.7153846153846154
300,5,0.2,0.6,1.0,0.6858627858627859
300,5,0.2,0.8,0.6,0.7158004158004159
300,5,0.2,0.8,0.8,0.7253638253638254
300,5,0.2,0.8,1.0,0.7066528066528067
300,5,0.2,1.0,0.6,0.7334719334719335
300,5,0.2,1.0,0.8,0.7058212058212058
300,5,0.2,1.0,1.0,0.7041580041580042
300,7,0.01,0.6,0.6,0.7054054054054054
300,7,0.01,0.6,0.8,0.6941787941787941
300,7,0.01,0.6,1.0,0.6902286902286903
300,7,0.01,0.8,0.6,0.7006237006237006
300,7,0.01,0.8,0.8,0.676923076923077
300,7,0.01,0.8,1.0,0.6496881496881497
300,7,0.01,1.0,0.6,0.7049896049896051
300,7,0.01,1.0,0.8,0.6754677754677755
300,7,0.01,1.0,1.0,0.6515592515592517
300,7,0.1,0.6,0.6,0.7471933471933472
300,7,0.1,0.6,0.8,0.7478170478170478
300,7,0.1,0.6,1.0,0.7322245322245322
300,7,0.1,0.8,0.6,0.7386694386694387
300,7,0.1,0.8,0.8,0.7326403326403327
300,7,0.1,0.8,1.0,0.7232848232848234
300,7,0.1,1.0,0.6,0.745945945945946
300,7,0.1,1.0,0.8,0.7451143451143452
300,7,0.1,1.0,1.0,0.7405405405405406
300,7,0.2,0.6,0.6,0.7010395010395011
300,7,0.2,0.6,0.8,0.7397089397089397
300,7,0.2,0.6,1.0,0.7093555093555094
300,7,0.2,0.8,0.6,0.7151767151767152
300,7,0.2,0.8,0.8,0.6952182952182953
300,7,0.2,0.8,1.0,0.7253638253638254
300,7,0.2,1.0,0.6,0.7326403326403326
300,7,0.2,1.0,0.8,0.7303534303534304
300,7,0.2,1.0,1.0,0.7374220374220374
