dataset,metric,mean,std,ci_lower,ci_upper
pooled_CN_variant0,base_auc,,,,
pooled_CN_variant0,base_avg_precision,,,,
pooled_CN_variant0,accuracy,,,,
pooled_CN_variant0,precision_macro,,,,
pooled_CN_variant0,recall_macro,,,,
pooled_CN_variant0,f1_macro,,,,
pooled_CN_variant1,base_auc,,,,
pooled_CN_variant1,base_avg_precision,,,,
pooled_CN_variant1,accuracy,,,,
pooled_CN_variant1,precision_macro,,,,
pooled_CN_variant1,recall_macro,,,,
pooled_CN_variant1,f1_macro,,,,
pooled_CN_variant2,base_auc,,,,
pooled_CN_variant2,base_avg_precision,,,,
pooled_CN_variant2,accuracy,,,,
pooled_CN_variant2,precision_macro,,,,
pooled_CN_variant2,recall_macro,,,,
pooled_CN_variant2,f1_macro,,,,
pooled_CN_variant3,base_auc,,,,
pooled_CN_variant3,base_avg_precision,,,,
pooled_CN_variant3,accuracy,,,,
pooled_CN_variant3,precision_macro,,,,
pooled_CN_variant3,recall_macro,,,,
pooled_CN_variant3,f1_macro,,,,
pooled_CN_variant4,base_auc,,,,
pooled_CN_variant4,base_avg_precision,,,,
pooled_CN_variant4,accuracy,,,,
pooled_CN_variant4,precision_macro,,,,
pooled_CN_variant4,recall_macro,,,,
pooled_CN_variant4,f1_macro,,,,
pooled_CN_variant5,base_auc,,,,
pooled_CN_variant5,base_avg_precision,,,,
pooled_CN_variant5,accuracy,,,,
pooled_CN_variant5,precision_macro,,,,
pooled_CN_variant5,recall_macro,,,,
pooled_CN_variant5,f1_macro,,,,
pooled_CN_variant6,base_auc,,,,
pooled_CN_variant6,base_avg_precision,,,,
pooled_CN_variant6,accuracy,,,,
pooled_CN_variant6,precision_macro,,,,
pooled_CN_variant6,recall_macro,,,,
pooled_CN_variant6,f1_macro,,,,
pooled_CN_variant7,base_auc,,,,
pooled_CN_variant7,base_avg_precision,,,,
pooled_CN_variant7,accuracy,,,,
pooled_CN_variant7,precision_macro,,,,
pooled_CN_variant7,recall_macro,,,,
pooled_CN_variant7,f1_macro,,,,
pooled_CN_variant8,base_auc,,,,
pooled_CN_variant8,base_avg_precision,,,,
pooled_CN_variant8,accuracy,,,,
pooled_CN_variant8,precision_macro,,,,
pooled_CN_variant8,recall_macro,,,,
pooled_CN_variant8,f1_macro,,,,
pooled_CN_variant9,base_auc,,,,
pooled_CN_variant9,base_avg_precision,,,,
pooled_CN_variant9,accuracy,,,,
pooled_CN_variant9,precision_macro,,,,
pooled_CN_variant9,recall_macro,,,,
pooled_CN_variant9,f1_macro,,,,
pooled_MCI_AD_variant0,base_auc,,,,
pooled_MCI_AD_variant0,base_avg_precision,,,,
pooled_MCI_AD_variant0,accuracy,,,,
pooled_MCI_AD_variant0,precision_macro,,,,
pooled_MCI_AD_variant0,recall_macro,,,,
pooled_MCI_AD_variant0,f1_macro,,,,
pooled_MCI_AD_variant1,base_auc,,,,
pooled_MCI_AD_variant1,base_avg_precision,,,,
pooled_MCI_AD_variant1,accuracy,,,,
pooled_MCI_AD_variant1,precision_macro,,,,
pooled_MCI_AD_variant1,recall_macro,,,,
pooled_MCI_AD_variant1,f1_macro,,,,
pooled_MCI_AD_variant2,base_auc,,,,
pooled_MCI_AD_variant2,base_avg_precision,,,,
pooled_MCI_AD_variant2,accuracy,,,,
pooled_MCI_AD_variant2,precision_macro,,,,
pooled_MCI_AD_variant2,recall_macro,,,,
pooled_MCI_AD_variant2,f1_macro,,,,
pooled_MCI_AD_variant3,base_auc,,,,
pooled_MCI_AD_variant3,base_avg_precision,,,,
pooled_MCI_AD_variant3,accuracy,,,,
pooled_MCI_AD_variant3,precision_macro,,,,
pooled_MCI_AD_variant3,recall_macro,,,,
pooled_MCI_AD_variant3,f1_macro,,,,
pooled_MCI_AD_variant4,base_auc,,,,
pooled_MCI_AD_variant4,base_avg_precision,,,,
pooled_MCI_AD_variant4,accuracy,,,,
pooled_MCI_AD_variant4,precision_macro,,,,
pooled_MCI_AD_variant4,recall_macro,,,,
pooled_MCI_AD_variant4,f1_macro,,,,
pooled_MCI_AD_variant5,base_auc,,,,
pooled_MCI_AD_variant5,base_avg_precision,,,,
pooled_MCI_AD_variant5,accuracy,,,,
pooled_MCI_AD_variant5,precision_macro,,,,
pooled_MCI_AD_variant5,recall_macro,,,,
pooled_MCI_AD_variant5,f1_macro,,,,
pooled_MCI_AD_variant6,base_auc,,,,
pooled_MCI_AD_variant6,base_avg_precision,,,,
pooled_MCI_AD_variant6,accuracy,,,,
pooled_MCI_AD_variant6,precision_macro,,,,
pooled_MCI_AD_variant6,recall_macro,,,,
pooled_MCI_AD_variant6,f1_macro,,,,
pooled_MCI_AD_variant7,base_auc,,,,
pooled_MCI_AD_variant7,base_avg_precision,,,,
pooled_MCI_AD_variant7,accuracy,,,,
pooled_MCI_AD_variant7,precision_macro,,,,
pooled_MCI_AD_variant7,recall_macro,,,,
pooled_MCI_AD_variant7,f1_macro,,,,
pooled_MCI_AD_variant8,base_auc,,,,
pooled_MCI_AD_variant8,base_avg_precision,,,,
pooled_MCI_AD_variant8,accuracy,,,,
pooled_MCI_AD_variant8,precision_macro,,,,
pooled_MCI_AD_variant8,recall_macro,,,,
pooled_MCI_AD_variant8,f1_macro,,,,
pooled_MCI_AD_variant9,base_auc,,,,
pooled_MCI_AD_variant9,base_avg_precision,,,,
pooled_MCI_AD_variant9,accuracy,,,,
pooled_MCI_AD_variant9,precision_macro,,,,
pooled_MCI_AD_variant9,recall_macro,,,,
pooled_MCI_AD_variant9,f1_macro,,,,
