dataset,metric,mean,std,ci_lower,ci_upper
CN_MCI,base_auc,0.9397102104189841,0.004731181729034119,0.9363257268957172,0.9430946939422509
CN_MCI,base_avg_precision,0.8438453888055613,0.006685314986707689,0.8390630025612307,0.8486277750498918
CN_MCI,accuracy,0.8986771393137662,0.007059911522727094,0.8936267828504415,0.903727495777091
CN_MCI,precision_macro,0.8193230091265615,0.011426294879254343,0.8111491301750297,0.8274968880780934
CN_MCI,recall_macro,0.8832196653689286,0.005860296078908444,0.8790274620978487,0.8874118686400085
CN_MCI,f1_macro,0.8447527954697964,0.007834424564685145,0.8391483857531427,0.8503572051864502
MCI_AD,base_auc,0.9033315909996018,0.01012970454378326,0.8960852368987641,0.9105779451004395
MCI_AD,base_avg_precision,0.9196657465486682,0.0070599683816156495,0.9146153494109449,0.9247161436863914
MCI_AD,accuracy,0.8156966490299823,0.007401339395657944,0.8104020497798656,0.820991248280099
MCI_AD,precision_macro,0.8170845566610787,0.0077202294773619845,0.8115618371887695,0.8226072761333879
MCI_AD,recall_macro,0.8161066308243727,0.007419914853416946,0.8107987434922667,0.8214145181564788
MCI_AD,f1_macro,0.815593952815383,0.007386318777793179,0.8103100986679879,0.8208778069627782
