trial,score,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,min_child_weight,gamma,reg_alpha,reg_lambda
0,0.8873357314231078,185,8,0.24747324850368388,0.5822514853932166,0.3043893174585797,0.2342931854825282,0.31288059312990674,2,4.480483198040909,0.012855702885324194,0.0010019063984918952
2,0.8997136940089788,387,10,0.1944680451812276,0.7467213211847968,0.5713464308631409,0.36513054689218105,0.9541015630693701,7,4.496817469742923,1.5847210917527939,0.13357577800416248
9,0.8904112672676877,214,3,0.011931677888305504,0.2785523776893801,0.9450803845419045,0.8590081661705238,0.5804717951160394,10,0.7662467191087269,0.13095590746545885,0.5062894075647979
4,0.8982821857948886,241,3,0.009972583209798734,0.9807937942354515,0.9800740712535932,0.40222103093491146,0.7700565518593656,2,1.6539990068220534,0.4886253156861996,0.056743397830819164
5,0.8936701533073041,412,5,0.052875377773453434,0.2793156752555456,0.6012900222805657,0.9291154460772426,0.8066287296646231,2,4.901049476920526,0.02595622205463726,0.0025560342256307463
7,0.8972636422440766,904,6,0.08671270838803735,0.6706753054702861,0.9426298270439966,0.28692799472338154,0.6697576216734497,4,4.375101592247926,6.98386441151077,7.027350613812468
12,0.8979281332026725,287,5,0.21466823011673922,0.8707323928326692,0.3348249695852058,0.91757202954537,0.8725726471554633,9,4.990952268560553,0.38005032923079907,0.007707117226955674
6,0.8998376642450114,297,5,0.01181916353660032,0.5873807060120745,0.5477614327981999,0.48637603407359675,0.750616158802399,1,0.6563764892511115,0.5042525598370362,4.379267548217552
3,0.901881207516079,308,10,0.03341972184124782,0.9987071875554235,0.9472301356670275,0.9730464262467953,0.526888681680325,9,1.1738407280121104,0.0015373575432629163,4.80643021825699
8,0.8993483077340729,777,10,0.01602660525468525,0.44103826520077255,0.5170761219388987,0.8074182233454111,0.5309742709531412,10,3.6094968028964143,0.020771395315189015,0.000200976527790592
10,0.8881788405610604,472,8,0.04371817554809327,0.2660829512206833,0.8626463121934818,0.7358619142536752,0.995132394889705,6,3.1875484161706953,0.0005487336878996323,0.001382515261028558
16,0.8831102012859248,172,9,0.0072386499339924006,0.5791000435451935,0.6747337508605297,0.35919319632027735,0.23446638838840705,8,1.7444383220760433,0.11445681094563663,3.75919969839939
15,0.8920340849410232,138,6,0.13240697409101435,0.7208801774812046,0.9688459541773619,0.4705087685091887,0.7787799939960776,3,0.946073331529636,0.0011381463944186514,0.332074233507955
