n_estimators,max_depth,learning_rate,subsample,colsample_bytree,avg AUC score
100,3,0.01,0.6,0.6,0.7291414141414142
100,3,0.01,0.6,0.8,0.7218371212121213
100,3,0.01,0.6,1.0,0.7282386363636364
100,3,0.01,0.8,0.6,0.7104292929292928
100,3,0.01,0.8,0.8,0.6884659090909091
100,3,0.01,0.8,1.0,0.694715909090909
100,3,0.01,1.0,0.6,0.6885037878787879
100,3,0.01,1.0,0.8,0.6745454545454546
100,3,0.01,1.0,1.0,0.6707828282828283
100,3,0.1,0.6,0.6,0.6958143939393939
100,3,0.1,0.6,0.8,0.7271780303030303
100,3,0.1,0.6,1.0,0.72427398989899
100,3,0.1,0.8,0.6,0.7098800505050505
100,3,0.1,0.8,0.8,0.7166414141414142
100,3,0.1,0.8,1.0,0.7079987373737374
100,3,0.1,1.0,0.6,0.6861363636363637
100,3,0.1,1.0,0.8,0.7119949494949495
100,3,0.1,1.0,1.0,0.7174368686868686
100,3,0.2,0.6,0.6,0.7373611111111111
100,3,0.2,0.6,0.8,0.7343497474747475
100,3,0.2,0.6,1.0,0.703844696969697
100,3,0.2,0.8,0.6,0.6905366161616162
100,3,0.2,0.8,0.8,0.7003345959595959
100,3,0.2,0.8,1.0,0.7073926767676768
100,3,0.2,1.0,0.6,0.6858838383838384
100,3,0.2,1.0,0.8,0.7164898989898989
100,3,0.2,1.0,1.0,0.7149494949494948
100,5,0.01,0.6,0.6,0.728844696969697
100,5,0.01,0.6,0.8,0.717935606060606
100,5,0.01,0.6,1.0,0.731780303030303
100,5,0.01,0.8,0.6,0.7099494949494949
100,5,0.01,0.8,0.8,0.686010101010101
100,5,0.01,0.8,1.0,0.6814646464646466
100,5,0.01,1.0,0.6,0.6782133838383838
100,5,0.01,1.0,0.8,0.6531439393939393
100,5,0.01,1.0,1.0,0.6600757575757575
100,5,0.1,0.6,0.6,0.7155429292929293
100,5,0.1,0.6,0.8,0.7335542929292931
100,5,0.1,0.6,1.0,0.7231060606060608
100,5,0.1,0.8,0.6,0.7159406565656565
100,5,0.1,0.8,0.8,0.7161616161616162
100,5,0.1,0.8,1.0,0.7202020202020202
100,5,0.1,1.0,0.6,0.6863699494949496
100,5,0.1,1.0,0.8,0.6946401515151515
100,5,0.1,1.0,1.0,0.687739898989899
100,5,0.2,0.6,0.6,0.7078030303030303
100,5,0.2,0.6,0.8,0.7159722222222222
100,5,0.2,0.6,1.0,0.7104229797979797
100,5,0.2,0.8,0.6,0.7114520202020203
100,5,0.2,0.8,0.8,0.7293813131313132
100,5,0.2,0.8,1.0,0.6924368686868687
100,5,0.2,1.0,0.6,0.6855618686868687
100,5,0.2,1.0,0.8,0.6969886363636364
100,5,0.2,1.0,1.0,0.6982891414141414
100,7,0.01,0.6,0.6,0.7305871212121212
100,7,0.01,0.6,0.8,0.7079419191919192
100,7,0.01,0.6,1.0,0.7338636363636363
100,7,0.01,0.8,0.6,0.7036994949494948
100,7,0.01,0.8,0.8,0.6855303030303032
100,7,0.01,0.8,1.0,0.6874810606060606
100,7,0.01,1.0,0.6,0.6703787878787878
100,7,0.01,1.0,0.8,0.6622032828282828
100,7,0.01,1.0,1.0,0.6583648989898989
100,7,0.1,0.6,0.6,0.7163762626262626
100,7,0.1,0.6,0.8,0.7088068181818181
100,7,0.1,0.6,1.0,0.7225189393939393
100,7,0.1,0.8,0.6,0.7116982323232323
100,7,0.1,0.8,0.8,0.7056376262626263
100,7,0.1,0.8,1.0,0.7148232323232323
100,7,0.1,1.0,0.6,0.7172348484848484
100,7,0.1,1.0,0.8,0.7059217171717173
100,7,0.1,1.0,1.0,0.6885606060606061
100,7,0.2,0.6,0.6,0.7268686868686869
100,7,0.2,0.6,0.8,0.7093813131313131
100,7,0.2,0.6,1.0,0.729614898989899
100,7,0.2,0.8,0.6,0.7072032828282829
100,7,0.2,0.8,0.8,0.6961868686868687
100,7,0.2,0.8,1.0,0.7149936868686868
100,7,0.2,1.0,0.6,0.6910795454545455
100,7,0.2,1.0,0.8,0.7030492424242424
100,7,0.2,1.0,1.0,0.6833396464646466
200,3,0.01,0.6,0.6,0.7311931818181818
200,3,0.01,0.6,0.8,0.7310542929292929
200,3,0.01,0.6,1.0,0.7326704545454545
200,3,0.01,0.8,0.6,0.7184343434343434
200,3,0.01,0.8,0.8,0.7009974747474748
200,3,0.01,0.8,1.0,0.706205808080808
200,3,0.01,1.0,0.6,0.6974242424242424
200,3,0.01,1.0,0.8,0.6797032828282827
200,3,0.01,1.0,1.0,0.6768750000000001
200,3,0.1,0.6,0.6,0.6955934343434343
200,3,0.1,0.6,0.8,0.7071906565656565
200,3,0.1,0.6,1.0,0.7153030303030302
200,3,0.1,0.8,0.6,0.7090719696969697
200,3,0.1,0.8,0.8,0.7088383838383837
200,3,0.1,0.8,1.0,0.7092108585858586
200,3,0.1,1.0,0.6,0.6904545454545457
200,3,0.1,1.0,0.8,0.703945707070707
200,3,0.1,1.0,1.0,0.7099305555555555
200,3,0.2,0.6,0.6,0.7324936868686869
200,3,0.2,0.6,0.8,0.7228914141414141
200,3,0.2,0.6,1.0,0.6901010101010102
200,3,0.2,0.8,0.6,0.678409090909091
200,3,0.2,0.8,0.8,0.6763510101010101
200,3,0.2,0.8,1.0,0.690959595959596
200,3,0.2,1.0,0.6,0.6751893939393939
200,3,0.2,1.0,0.8,0.7058901515151517
200,3,0.2,1.0,1.0,0.6926767676767677
200,5,0.01,0.6,0.6,0.7346590909090909
200,5,0.01,0.6,0.8,0.7313510101010101
200,5,0.01,0.6,1.0,0.7234217171717171
200,5,0.01,0.8,0.6,0.7112247474747475
200,5,0.01,0.8,0.8,0.6986489898989899
200,5,0.01,0.8,1.0,0.6980429292929292
200,5,0.01,1.0,0.6,0.693415404040404
200,5,0.01,1.0,0.8,0.653409090909091
200,5,0.01,1.0,1.0,0.6584343434343434
200,5,0.1,0.6,0.6,0.7147601010101011
200,5,0.1,0.6,0.8,0.720574494949495
200,5,0.1,0.6,1.0,0.7061616161616162
200,5,0.1,0.8,0.6,0.7111237373737374
200,5,0.1,0.8,0.8,0.7016919191919191
200,5,0.1,0.8,1.0,0.713080808080808
200,5,0.1,1.0,0.6,0.6991603535353536
200,5,0.1,1.0,0.8,0.6751199494949495
200,5,0.1,1.0,1.0,0.6897159090909091
200,5,0.2,0.6,0.6,0.6945580808080808
200,5,0.2,0.6,0.8,0.7108270202020202
200,5,0.2,0.6,1.0,0.6992929292929293
200,5,0.2,0.8,0.6,0.6972727272727273
200,5,0.2,0.8,0.8,0.7194191919191919
200,5,0.2,0.8,1.0,0.6894065656565657
200,5,0.2,1.0,0.6,0.6819886363636363
200,5,0.2,1.0,0.8,0.6884532828282828
200,5,0.2,1.0,1.0,0.692739898989899
200,7,0.01,0.6,0.6,0.7290025252525253
200,7,0.01,0.6,0.8,0.7315214646464646
200,7,0.01,0.6,1.0,0.7244002525252524
200,7,0.01,0.8,0.6,0.7089709595959597
200,7,0.01,0.8,0.8,0.701199494949495
200,7,0.01,0.8,1.0,0.6941729797979798
