n_estimators,max_depth,learning_rate,subsample,colsample_bytree,avg AUC score
100,3,0.01,0.6,0.6,0.9254761904761905
100,3,0.01,0.6,0.8,0.9254761904761905
100,3,0.01,0.6,1.0,0.9254761904761905
100,3,0.01,0.8,0.6,0.9400000000000001
100,3,0.01,0.8,0.8,0.9325000000000001
100,3,0.01,0.8,1.0,0.9079761904761906
100,3,0.01,1.0,0.6,0.9154761904761906
100,3,0.01,1.0,0.8,0.9254761904761905
100,3,0.01,1.0,1.0,0.8954761904761904
100,3,0.1,0.6,0.6,0.9459523809523809
100,3,0.1,0.6,0.8,0.9754761904761905
100,3,0.1,0.6,1.0,0.9754761904761905
100,3,0.1,0.8,0.6,0.9454761904761904
100,3,0.1,0.8,0.8,0.9304761904761903
100,3,0.1,0.8,1.0,0.9329761904761904
100,3,0.1,1.0,0.6,0.9354761904761905
100,3,0.1,1.0,0.8,0.9204761904761904
100,3,0.1,1.0,1.0,0.9104761904761904
100,3,0.2,0.6,0.6,0.9354761904761905
100,3,0.2,0.6,0.8,0.950952380952381
100,3,0.2,0.6,1.0,0.9454761904761904
100,3,0.2,0.8,0.6,0.9454761904761904
100,3,0.2,0.8,0.8,0.9504761904761905
100,3,0.2,0.8,1.0,0.9454761904761904
100,3,0.2,1.0,0.6,0.9454761904761904
100,3,0.2,1.0,0.8,0.9054761904761903
100,3,0.2,1.0,1.0,0.9125
100,5,0.01,0.6,0.6,0.9254761904761905
100,5,0.01,0.6,0.8,0.9254761904761905
100,5,0.01,0.6,1.0,0.9254761904761905
100,5,0.01,0.8,0.6,0.9400000000000001
100,5,0.01,0.8,0.8,0.9325000000000001
100,5,0.01,0.8,1.0,0.9079761904761906
100,5,0.01,1.0,0.6,0.9154761904761906
100,5,0.01,1.0,0.8,0.9254761904761905
100,5,0.01,1.0,1.0,0.8954761904761904
100,5,0.1,0.6,0.6,0.9459523809523809
100,5,0.1,0.6,0.8,0.9754761904761905
100,5,0.1,0.6,1.0,0.9754761904761905
100,5,0.1,0.8,0.6,0.9454761904761904
100,5,0.1,0.8,0.8,0.9304761904761903
100,5,0.1,0.8,1.0,0.9329761904761904
100,5,0.1,1.0,0.6,0.9354761904761905
100,5,0.1,1.0,0.8,0.9204761904761904
100,5,0.1,1.0,1.0,0.9104761904761904
100,5,0.2,0.6,0.6,0.9354761904761905
100,5,0.2,0.6,0.8,0.950952380952381
100,5,0.2,0.6,1.0,0.9454761904761904
100,5,0.2,0.8,0.6,0.9454761904761904
100,5,0.2,0.8,0.8,0.9504761904761905
100,5,0.2,0.8,1.0,0.9454761904761904
100,5,0.2,1.0,0.6,0.9454761904761904
100,5,0.2,1.0,0.8,0.9054761904761903
100,5,0.2,1.0,1.0,0.9125
100,7,0.01,0.6,0.6,0.9254761904761905
100,7,0.01,0.6,0.8,0.9254761904761905
100,7,0.01,0.6,1.0,0.9254761904761905
100,7,0.01,0.8,0.6,0.9400000000000001
100,7,0.01,0.8,0.8,0.9325000000000001
100,7,0.01,0.8,1.0,0.9079761904761906
100,7,0.01,1.0,0.6,0.9154761904761906
100,7,0.01,1.0,0.8,0.9254761904761905
100,7,0.01,1.0,1.0,0.8954761904761904
100,7,0.1,0.6,0.6,0.9459523809523809
100,7,0.1,0.6,0.8,0.9754761904761905
100,7,0.1,0.6,1.0,0.9754761904761905
100,7,0.1,0.8,0.6,0.9454761904761904
100,7,0.1,0.8,0.8,0.9304761904761903
100,7,0.1,0.8,1.0,0.9329761904761904
100,7,0.1,1.0,0.6,0.9354761904761905
100,7,0.1,1.0,0.8,0.9204761904761904
100,7,0.1,1.0,1.0,0.9104761904761904
100,7,0.2,0.6,0.6,0.9354761904761905
100,7,0.2,0.6,0.8,0.950952380952381
100,7,0.2,0.6,1.0,0.9454761904761904
100,7,0.2,0.8,0.6,0.9454761904761904
