model_key,threshold,mask_length,n_prog,n_detected,n_early,n_at_conv,n_late,n_missed,sensitivity,specificity,mean_lead_time,median_lead_time,mean_net_lead_time,median_net_lead_time,false_alarm_rate,n_ctrl,n_false_alarm
pooled_CN_variant0,0.3,1,119,110,32,74,4,9,0.9243697478991597,0.828042328042328,33.416562500000005,28.040000000000003,9.298545454545454,0.0,0.17195767195767195,378,65
pooled_CN_variant0,0.4,1,119,109,32,72,5,10,0.9159663865546218,0.8386243386243386,33.416562500000005,28.040000000000003,9.031926605504587,0.0,0.16137566137566137,378,61
pooled_CN_variant0,0.5,1,119,108,30,73,5,11,0.907563025210084,0.8465608465608465,33.405,28.450000000000003,8.493518518518519,0.0,0.15343915343915343,378,58
pooled_CN_variant0,0.6,1,119,106,26,75,5,13,0.8907563025210085,0.8597883597883598,34.49615384615385,28.450000000000003,7.438018867924529,0.0,0.1402116402116402,378,53
pooled_CN_variant0,0.7,1,119,102,22,71,9,17,0.8571428571428571,0.8941798941798942,30.79045454545455,26.665,4.854901960784313,0.0,0.10582010582010581,378,40
pooled_CN_variant1,0.3,1,119,110,32,75,3,9,0.9243697478991597,0.828042328042328,33.416562500000005,28.040000000000003,9.426363636363638,0.0,0.17195767195767195,378,65
pooled_CN_variant1,0.4,1,119,109,32,72,5,10,0.9159663865546218,0.8386243386243386,33.416562500000005,28.040000000000003,9.031926605504587,0.0,0.16137566137566137,378,61
pooled_CN_variant1,0.5,1,119,108,30,73,5,11,0.907563025210084,0.8465608465608465,33.405,28.450000000000003,8.493518518518519,0.0,0.15343915343915343,378,58
pooled_CN_variant1,0.6,1,119,106,27,74,5,13,0.8907563025210085,0.8703703703703703,33.973333333333336,29.56,7.630283018867924,0.0,0.12962962962962962,378,49
pooled_CN_variant1,0.7,1,119,102,21,71,10,17,0.8571428571428571,0.8968253968253969,31.117619047619048,27.340000000000003,4.443627450980392,0.0,0.10317460317460317,378,39
pooled_CN_variant2,0.3,1,119,110,32,74,4,9,0.9243697478991597,0.8333333333333334,33.416562500000005,28.040000000000003,9.093727272727273,0.0,0.16666666666666666,378,63
pooled_CN_variant2,0.4,1,119,109,32,72,5,10,0.9159663865546218,0.8386243386243386,33.416562500000005,28.040000000000003,9.031926605504587,0.0,0.16137566137566137,378,61
pooled_CN_variant2,0.5,1,119,108,28,75,5,11,0.907563025210084,0.8492063492063492,34.915000000000006,30.175,8.266388888888887,0.0,0.15079365079365079,378,57
pooled_CN_variant2,0.6,1,119,105,26,74,5,14,0.8823529411764706,0.8703703703703703,30.543076923076924,28.450000000000003,6.530000000000001,0.0,0.12962962962962962,378,49
pooled_CN_variant2,0.7,1,119,100,22,68,10,19,0.8403361344537815,0.8994708994708995,30.48909090909091,27.435000000000002,4.4537,0.0,0.10052910052910052,378,38
pooled_CN_variant3,0.3,1,119,110,33,73,4,9,0.9243697478991597,0.8333333333333334,32.766363636363636,27.340000000000003,9.407272727272726,0.0,0.16666666666666666,378,63
pooled_CN_variant3,0.4,1,119,109,32,72,5,10,0.9159663865546218,0.8386243386243386,33.416562500000005,28.040000000000003,9.031926605504587,0.0,0.16137566137566137,378,61
pooled_CN_variant3,0.5,1,119,109,31,73,5,10,0.9159663865546218,0.8465608465608465,33.1741935483871,27.340000000000003,8.656422018348623,0.0,0.15343915343915343,378,58
pooled_CN_variant3,0.6,1,119,106,27,74,5,13,0.8907563025210085,0.8571428571428572,34.35888888888889,29.56,7.95132075471698,0.0,0.14285714285714285,378,54
pooled_CN_variant3,0.7,1,119,103,22,71,10,16,0.865546218487395,0.8915343915343915,31.626818181818184,28.835000000000004,4.811359223300971,0.0,0.10846560846560846,378,41
pooled_CN_variant4,0.3,1,119,110,32,73,5,9,0.9243697478991597,0.8333333333333334,33.416562500000005,28.040000000000003,8.949818181818182,0.0,0.16666666666666666,378,63
pooled_CN_variant4,0.4,1,119,109,31,73,5,10,0.9159663865546218,0.8386243386243386,33.68483870967742,28.740000000000002,8.80165137614679,0.0,0.16137566137566137,378,61
pooled_CN_variant4,0.5,1,119,107,29,73,5,12,0.8991596638655462,0.8518518518518519,34.550344827586216,29.56,8.571121495327102,0.0,0.14814814814814814,378,56
pooled_CN_variant4,0.6,1,119,105,26,74,5,14,0.8823529411764706,0.8703703703703703,30.543076923076924,28.450000000000003,6.530000000000001,0.0,0.12962962962962962,378,49
pooled_CN_variant4,0.7,1,119,101,22,69,10,18,0.8487394957983193,0.9047619047619048,30.48909090909091,27.435000000000002,4.620495049504951,0.0,0.09523809523809523,378,36
pooled_CN_variant5,0.3,1,119,111,32,75,4,8,0.9327731092436975,0.8253968253968254,33.416562500000005,28.040000000000003,9.214774774774774,0.0,0.1746031746031746,378,66
