model_key,threshold,mask_length,n_prog,n_detected,n_early,n_at_conv,n_missed,sensitivity,specificity,mean_lead_time,median_lead_time,false_alarm_rate,n_ctrl,n_false_alarm
pooled_MCI_AD_variant0,0.3,1,79,56,15,41,23,0.7088607594936709,0.6829268292682926,17.197333333333333,16.36,0.3170731707317073,41,13
pooled_MCI_AD_variant0,0.4,1,79,51,13,38,28,0.6455696202531646,0.8048780487804879,15.827692307692306,15.440000000000001,0.1951219512195122,41,8
pooled_MCI_AD_variant0,0.5,1,79,48,10,38,31,0.6075949367088608,0.8536585365853658,13.998000000000001,12.649999999999999,0.14634146341463414,41,6
pooled_MCI_AD_variant0,0.6,1,79,43,5,38,36,0.5443037974683544,0.926829268292683,11.241999999999999,11.4,0.07317073170731707,41,3
pooled_MCI_AD_variant0,0.7,0,79,46,0,46,33,0.5822784810126582,0.9615384615384616,,,0.038461538461538464,78,3
pooled_MCI_AD_variant1,0.3,1,79,55,15,40,24,0.6962025316455697,0.6829268292682926,17.197333333333333,16.36,0.3170731707317073,41,13
pooled_MCI_AD_variant1,0.4,1,79,50,12,38,29,0.6329113924050633,0.7804878048780488,15.350833333333336,14.160000000000002,0.21951219512195122,41,9
pooled_MCI_AD_variant1,0.5,1,79,47,8,39,32,0.5949367088607594,0.8536585365853658,12.46625,11.79,0.14634146341463414,41,6
pooled_MCI_AD_variant1,0.6,1,79,43,4,39,36,0.5443037974683544,0.926829268292683,10.8975,10.990000000000002,0.07317073170731707,41,3
pooled_MCI_AD_variant1,0.7,0,79,44,0,44,35,0.5569620253164557,0.9487179487179487,,,0.05128205128205128,78,4
pooled_MCI_AD_variant2,0.3,1,79,56,14,42,23,0.7088607594936709,0.7073170731707317,16.466428571428573,15.9,0.2926829268292683,41,12
pooled_MCI_AD_variant2,0.4,1,79,50,13,37,29,0.6329113924050633,0.8048780487804879,15.827692307692306,15.440000000000001,0.1951219512195122,41,8
pooled_MCI_AD_variant2,0.5,1,79,47,9,38,32,0.5949367088607594,0.8780487804878049,12.512222222222224,12.05,0.12195121951219512,41,5
pooled_MCI_AD_variant2,0.6,1,79,41,5,36,38,0.5189873417721519,0.926829268292683,11.241999999999999,11.4,0.07317073170731707,41,3
pooled_MCI_AD_variant2,0.7,0,79,42,0,42,37,0.5316455696202531,0.9743589743589743,,,0.02564102564102564,78,2
pooled_MCI_AD_variant3,0.3,1,79,55,16,39,24,0.6962025316455697,0.7073170731707317,17.01375,15.9,0.2926829268292683,41,12
pooled_MCI_AD_variant3,0.4,1,79,50,12,38,29,0.6329113924050633,0.7804878048780488,13.948333333333332,12.649999999999999,0.21951219512195122,41,9
pooled_MCI_AD_variant3,0.5,1,79,46,7,39,33,0.5822784810126582,0.8536585365853658,11.517142857142858,11.529999999999998,0.14634146341463414,41,6
pooled_MCI_AD_variant3,0.6,1,79,39,2,37,40,0.4936708860759494,0.8780487804878049,10.07,10.07,0.12195121951219512,41,5
pooled_MCI_AD_variant3,0.7,0,79,43,0,43,36,0.5443037974683544,0.9871794871794872,,,0.01282051282051282,78,1
pooled_MCI_AD_variant4,0.3,1,79,54,14,40,25,0.6835443037974683,0.7073170731707317,17.379285714285718,16.79,0.2926829268292683,41,12
pooled_MCI_AD_variant4,0.4,1,79,50,11,39,29,0.6329113924050633,0.7804878048780488,15.16818181818182,12.880000000000003,0.21951219512195122,41,9
pooled_MCI_AD_variant4,0.5,1,79,47,10,37,32,0.5949367088607594,0.8780487804878049,12.897,12.335,0.12195121951219512,41,5
pooled_MCI_AD_variant4,0.6,1,79,41,3,38,38,0.5189873417721519,0.9024390243902439,10.729999999999999,10.580000000000002,0.0975609756097561,41,4
pooled_MCI_AD_variant4,0.7,0,79,42,0,42,37,0.5316455696202531,0.9615384615384616,,,0.038461538461538464,78,3
