model_key,threshold,mask_length,n_prog,n_detected,n_early,n_at_conv,n_late,n_missed,sensitivity,specificity,mean_lead_time,median_lead_time,mean_net_lead_time,median_net_lead_time,false_alarm_rate,n_ctrl,n_false_alarm
CN_MCI_seed104,0.3,5,119,110,34,71,5,9,0.9243697478991597,0.9298245614035088,32.527058823529416,26.695,9.282454545454545,0.0,0.07017543859649122,114,8
CN_MCI_seed104,0.4,5,119,109,30,73,6,10,0.9159663865546218,0.9473684210526316,34.35666666666667,29.15,8.521100917431193,0.0,0.05263157894736842,114,6
CN_MCI_seed104,0.5,5,119,106,27,72,7,13,0.8907563025210085,0.956140350877193,34.54444444444445,27.340000000000003,7.499905660377358,0.0,0.043859649122807015,114,5
CN_MCI_seed104,0.6,5,119,103,25,71,7,16,0.865546218487395,0.9736842105263158,32.3016,26.839999999999996,6.577572815533981,0.0,0.02631578947368421,114,3
CN_MCI_seed104,0.7,5,119,100,23,63,14,19,0.8403361344537815,0.9824561403508771,31.72826086956522,26.839999999999996,4.4298,0.0,0.017543859649122806,114,2
CN_MCI_seed114,0.3,5,119,109,33,70,6,10,0.9159663865546218,0.9385964912280702,32.78212121212121,27.340000000000003,8.99,0.0,0.06140350877192982,114,7
CN_MCI_seed114,0.4,5,119,109,30,73,6,10,0.9159663865546218,0.9473684210526316,33.857,28.040000000000003,8.383577981651376,0.0,0.05263157894736842,114,6
CN_MCI_seed114,0.5,5,119,109,30,73,6,10,0.9159663865546218,0.956140350877193,33.32933333333333,26.695,8.238348623853211,0.0,0.043859649122807015,114,5
CN_MCI_seed114,0.6,5,119,105,25,72,8,14,0.8823529411764706,0.9649122807017544,34.312,27.990000000000002,6.850190476190476,0.0,0.03508771929824561,114,4
CN_MCI_seed114,0.7,4,119,100,23,65,12,19,0.8403361344537815,0.9753086419753086,29.16695652173913,25.989999999999995,4.4449000000000005,0.0,0.024691358024691357,162,4
CN_MCI_seed142,0.3,5,119,110,32,74,4,9,0.9243697478991597,0.9385964912280702,32.844375,26.695,8.927272727272728,0.0,0.06140350877192982,114,7
CN_MCI_seed142,0.4,5,119,109,30,73,6,10,0.9159663865546218,0.956140350877193,33.24666666666666,26.695,8.215596330275229,0.0,0.043859649122807015,114,5
CN_MCI_seed142,0.5,5,119,107,26,73,8,12,0.8991596638655462,0.956140350877193,35.35115384615385,28.450000000000003,7.295327102803738,0.0,0.043859649122807015,114,5
CN_MCI_seed142,0.6,5,119,105,25,71,9,14,0.8823529411764706,0.9736842105263158,32.3016,26.839999999999996,6.124666666666667,0.0,0.02631578947368421,114,3
CN_MCI_seed142,0.7,5,119,101,24,62,15,18,0.8487394957983193,0.9736842105263158,30.9525,26.414999999999996,4.430495049504951,0.0,0.02631578947368421,114,3
CN_MCI_seed228,0.3,5,119,108,30,72,6,11,0.907563025210084,0.9473684210526316,34.406,29.15,8.613703703703704,0.0,0.05263157894736842,114,6
CN_MCI_seed228,0.4,5,119,107,27,73,7,12,0.8991596638655462,0.956140350877193,34.504074074074076,27.340000000000003,7.524672897196263,0.0,0.043859649122807015,114,5
CN_MCI_seed228,0.5,5,119,103,26,68,9,16,0.865546218487395,0.9649122807017544,33.95769230769231,28.450000000000003,6.929223300970874,0.0,0.03508771929824561,114,4
CN_MCI_seed228,0.6,5,119,100,23,66,11,19,0.8403361344537815,0.9736842105263158,33.29478260869565,27.529999999999998,5.6873000000000005,0.0,0.02631578947368421,114,3
CN_MCI_seed228,0.7,5,119,98,20,59,19,21,0.8235294117647058,0.9824561403508771,31.583500000000004,25.854999999999997,2.5862244897959186,0.0,0.017543859649122806,114,2
CN_MCI_seed25,0.3,5,119,110,31,75,4,9,0.9243697478991597,0.9385964912280702,34.02612903225806,28.740000000000002,8.945636363636364,0.0,0.06140350877192982,114,7
CN_MCI_seed25,0.4,5,119,109,30,73,6,10,0.9159663865546218,0.9385964912280702,33.32933333333333,26.695,8.238348623853211,0.0,0.06140350877192982,114,7
CN_MCI_seed25,0.5,5,119,107,27,73,7,12,0.8991596638655462,0.956140350877193,34.25481481481482,27.340000000000003,7.450373831775702,0.0,0.043859649122807015,114,5
CN_MCI_seed25,0.6,5,119,102,25,68,9,17,0.8571428571428571,0.9649122807017544,33.7428,27.340000000000003,6.717058823529412,0.0,0.03508771929824561,114,4
CN_MCI_seed25,0.7,4,119,100,22,63,15,19,0.8403361344537815,0.9691358024691358,28.521818181818187,25.409999999999997,3.4484000000000004,0.0,0.030864197530864196,162,5
CN_MCI_seed250,0.3,5,119,110,33,72,5,9,0.9243697478991597,0.9298245614035088,33.13454545454545,27.340000000000003,9.168999999999999,0.0,0.07017543859649122,114,8
CN_MCI_seed250,0.4,5,119,109,32,72,5,10,0.9159663865546218,0.9385964912280702,33.416562500000005,28.040000000000003,9.031926605504587,0.0,0.06140350877192982,114,7
CN_MCI_seed250,0.5,5,119,108,28,74,6,11,0.907563025210084,0.9649122807017544,34.33714285714286,28.040000000000003,7.958703703703703,0.0,0.03508771929824561,114,4
CN_MCI_seed250,0.6,5,119,103,26,68,9,16,0.865546218487395,0.9649122807017544,34.410000000000004,27.665000000000003,7.163106796116504,0.0,0.03508771929824561,114,4
CN_MCI_seed250,0.7,4,119,99,23,63,13,20,0.8319327731092437,0.9691358024691358,29.129565217391306,25.989999999999995,3.965656565656566,0.0,0.030864197530864196,162,5
CN_MCI_seed281,0.3,5,119,110,32,73,5,9,0.9243697478991597,0.9473684210526316,33.38375,28.040000000000003,8.929181818181817,0.0,0.05263157894736842,114,6
CN_MCI_seed281,0.4,5,119,108,30,72,6,11,0.907563025210084,0.9473684210526316,32.461,26.665,8.073425925925925,0.0,0.05263157894736842,114,6
CN_MCI_seed281,0.5,5,119,107,27,73,7,12,0.8991596638655462,0.956140350877193,33.98703703703704,27.340000000000003,7.3942056074766365,0.0,0.043859649122807015,114,5
