threshold,mask_length_mean,mask_length_std,sensitivity_mean,sensitivity_ci_lower,sensitivity_ci_upper,specificity_mean,specificity_ci_lower,specificity_ci_upper,PPV_mean,PPV_ci_lower,PPV_ci_upper,NPV_mean,NPV_ci_lower,NPV_ci_upper,accuracy_mean,accuracy_ci_lower,accuracy_ci_upper,f1_mean,f1_ci_lower,f1_ci_upper,false_alarm_rate_mean,false_alarm_rate_ci_lower,false_alarm_rate_ci_upper,mean_lead_time_mean,mean_lead_time_ci_lower,mean_lead_time_ci_upper,mean_net_lead_time_mean,mean_net_lead_time_ci_lower,mean_net_lead_time_ci_upper
0.05,2.0,0.0,1.0,1.0,1.0,0.004347826086956519,-0.0054876398382530615,0.0141832920121661,0.77527664531159,0.773541929568423,0.777011361054757,1.0,,,0.7754901960784314,0.7732723949384331,0.7777079972184296,0.8734131368938,0.8723160809339409,0.874510192853659,0.9956521739130434,0.9858167079878338,1.005487639838253,19.59084556980057,19.431367778416774,19.750323361184368,6.180708860759493,5.913609145818479,6.447808575700507
0.1,2.0,0.0,0.9759493670886077,0.9730858770091163,0.9788128571680991,0.19130434782608696,0.15787019270747324,0.22473850294470069,0.8057427988173199,0.7993617871240504,0.8121238105105895,0.6956349206349206,0.6660114339792298,0.7252584072906114,0.7990196078431373,0.7922039024405878,0.8058353132456868,0.8826819711941427,0.8791721696386028,0.8861917727496826,0.808695652173913,0.7752614970552993,0.8421298072925267,19.147608695652174,19.03007487784592,19.26514251345843,5.360064269064269,5.296541120522779,5.423587417605759
0.15,2.0,0.0,0.9734177215189874,0.970554231439496,0.9762812115984788,0.3521739130434782,0.32494074105772375,0.3794070850292327,0.8377557918492238,0.8320742973454126,0.8434372863530349,0.7931818181818182,0.7714366995690544,0.8149269367945821,0.8333333333333333,0.8267211278538498,0.8399455388128167,0.9004862092895165,0.8968361275914153,0.9041362909876177,0.6478260869565218,0.6205929149707673,0.6750592589422763,17.59278809523809,17.450701493407312,17.73487469706887,3.7783257006151745,3.429206990689632,4.127444410540717
0.2,1.9,0.3,0.9443037974683544,0.9328498371503887,0.95575775778632,0.5251325556733828,0.4977277056271346,0.5525374057196311,0.8643437602836908,0.8446130628247309,0.8840744577426506,0.7460314360562038,0.7036814608497013,0.7883814112627063,0.8447058823529412,0.8304658258248616,0.8589459388810208,0.9022506112926669,0.890616091818096,0.9138851307672379,0.47486744432661715,0.44746259428036894,0.5022722943728654,17.754399999999997,17.432772896589352,18.07602710341064,2.746908165970585,2.520383585822983,2.9734327461181875
0.25,1.3,0.45825756949558394,0.9164556962025315,0.9050017358845659,0.9279096565204972,0.6015906680805939,0.5690720086629317,0.6341093274982561,0.8370543144687013,0.8080617157038235,0.8660469132335791,0.7566083334765566,0.7117674651262739,0.8014492018268394,0.818921568627451,0.8042659839817191,0.8335771532731829,0.8742985724233096,0.8602193248101112,0.8883778200365079,0.3984093319194061,0.36589067250174384,0.43092799133706833,17.046742690058476,16.640731660658727,17.452753719458226,2.013411915339998,1.7054493967340916,2.3213744339459046
0.3,1.1,0.3,0.8620253164556961,0.8568851944551442,0.867165438456248,0.7104984093319193,0.6968202711266189,0.7241765475372197,0.8571249265886243,0.8407760914393032,0.8734737617379453,0.7150958070598634,0.6867992381437091,0.7433923759760177,0.8116666666666665,0.8041261427906725,0.8192071905426606,0.8594200681626045,0.8510539428826853,0.8677861934425237,0.28950159066808057,0.2758234524627801,0.303179728873381,17.036767261904764,16.670793621438325,17.402740902371203,0.6098719446247026,0.40161224317318234,0.8181316460762229
0.35,1.0,0.0,0.8151898734177216,0.808858458628003,0.8215212882074403,0.7634146341463415,0.751638314343093,0.7751909539495899,0.8691396396396398,0.8632633586254045,0.8750159206538751,0.6819806763285025,0.6733157179018361,0.6906456347551688,0.7975,0.7911848894106807,0.8038151105893193,0.8412741134985,0.8362574835595056,0.8462907434374944,0.23658536585365858,0.2248090460504102,0.24836168565690697,16.59103534798535,16.21490381435651,16.96716688161419,0.14587211538461542,-0.32326886122338977,0.6150130919926207
0.4,1.0,0.0,0.7746835443037974,0.7635522957005433,0.7858147929070515,0.7804878048780488,0.7688559852687697,0.7921196244873279,0.8717693844224769,0.8648115439427296,0.8787272249022241,0.6428187274909964,0.6293808302533811,0.6562566247286118,0.7766666666666666,0.7666126348320079,0.7867206985013253,0.8203244148188368,0.8116450595426371,0.8290037700950365,0.21951219512195125,0.20788037551267216,0.23114401473123034,15.264095654345656,14.69980633156327,15.828384977128042,-1.1363788179128098,-1.5871012021852067,-0.685656433640413
0.45,1.0,0.0,0.7341772151898734,0.7246322482582355,0.7437221821215114,0.8170731707317074,0.8047357629468176,0.8294105785165972,0.8855776125030955,0.87889381342907,0.892261411577121,0.6148331560124014,0.6062145660774818,0.623451745947321,0.7625,0.7554745316780488,0.7695254683219511,0.8027259962147605,0.7962385091817686,0.8092134832477523,0.18292682926829268,0.1705894214834028,0.19526423705318255,14.172962121212123,13.601748480878307,14.74417576154594,-4.030448043142632,-4.63435468641749,-3.426541399867775
0.5,1.0,0.0,0.7088607594936709,0.7045921205132448,0.713129398474097,0.8658536585365854,0.8535162507516955,0.8781910663214753,0.9106736168819722,0.9030790670068106,0.9182681667571339,0.6068223671393562,0.6019758780155654,0.611668856263147,0.7625,0.7574338627462114,0.7675661372537885,0.7971591547345197,0.7930760930964081,0.8012422163726313,0.13414634146341461,0.12180893367852476,0.14648374924830448,13.084384920634923,12.472586326370807,13.696183514899039,-6.686143005240373,-7.307082252335239,-6.065203758145507
0.55,1.0,0.0,0.6822784810126583,0.6732737772187406,0.691283184806576,0.8902439024390244,0.8779064946541345,0.9025813102239143,0.9230105509243595,0.9146508055323572,0.9313702963163617,0.5926171589735842,0.5843201773313875,0.600914140615781,0.7533333333333334,0.7452861814677804,0.7613804851988865,0.7845356634213977,0.7770144475606224,0.7920568792821729,0.10975609756097562,0.09741868977608575,0.1220935053458655,12.059391666666667,11.59312596687129,12.525657366462044,-9.139820513309193,-9.756677273571283,-8.522963753047103
