model_key,threshold,mask_length,n_prog,n_detected,n_early,n_at_conv,n_late,n_missed,sensitivity,specificity,mean_lead_time,median_lead_time,mean_net_lead_time,median_net_lead_time,false_alarm_rate,n_ctrl,n_false_alarm
pooled_MCI_AD_variant0,0.3,0,79,69,15,45,9,10,0.8734177215189873,0.6538461538461539,17.197333333333333,16.36,0.6679710144927535,0.0,0.34615384615384615,78,27
pooled_MCI_AD_variant0,0.3,1,79,69,15,45,9,10,0.8734177215189873,0.6829268292682926,17.197333333333333,16.36,0.6679710144927535,0.0,0.3170731707317073,41,13
pooled_MCI_AD_variant0,0.3,2,79,69,15,45,9,10,0.8734177215189873,0.7391304347826086,17.197333333333333,16.36,0.6679710144927535,0.0,0.2608695652173913,23,6
pooled_MCI_AD_variant0,0.3,3,79,69,15,45,9,10,0.8734177215189873,0.7857142857142857,17.197333333333333,16.36,0.6679710144927535,0.0,0.21428571428571427,14,3
pooled_MCI_AD_variant0,0.4,0,79,62,13,34,15,17,0.7848101265822784,0.782051282051282,15.827692307692306,15.440000000000001,-0.6488709677419354,0.0,0.21794871794871795,78,17
pooled_MCI_AD_variant0,0.4,1,79,62,13,34,15,17,0.7848101265822784,0.8048780487804879,15.827692307692306,15.440000000000001,-0.6488709677419354,0.0,0.1951219512195122,41,8
pooled_MCI_AD_variant0,0.4,2,79,62,13,34,15,17,0.7848101265822784,0.8695652173913043,15.827692307692306,15.440000000000001,-0.6488709677419354,0.0,0.13043478260869565,23,3
pooled_MCI_AD_variant0,0.4,3,79,62,13,34,15,17,0.7848101265822784,0.9285714285714286,15.827692307692306,15.440000000000001,-0.6488709677419354,0.0,0.07142857142857142,14,1
pooled_MCI_AD_variant0,0.5,0,79,56,10,23,23,23,0.7088607594936709,0.8717948717948718,13.998000000000001,12.649999999999999,-5.588928571428572,0.0,0.1282051282051282,78,10
pooled_MCI_AD_variant0,0.5,1,79,56,10,23,23,23,0.7088607594936709,0.8536585365853658,13.998000000000001,12.649999999999999,-5.588928571428572,0.0,0.14634146341463414,41,6
pooled_MCI_AD_variant0,0.5,2,79,56,10,23,23,23,0.7088607594936709,0.8695652173913043,13.998000000000001,12.649999999999999,-5.588928571428572,0.0,0.13043478260869565,23,3
pooled_MCI_AD_variant0,0.5,3,79,56,10,23,23,23,0.7088607594936709,0.9285714285714286,13.998000000000001,12.649999999999999,-5.588928571428572,0.0,0.07142857142857142,14,1
pooled_MCI_AD_variant0,0.6,0,79,53,5,21,27,26,0.6708860759493671,0.9487179487179487,11.241999999999999,11.4,-10.530188679245283,-7.720000000000001,0.05128205128205128,78,4
pooled_MCI_AD_variant0,0.6,1,79,53,5,21,27,26,0.6708860759493671,0.926829268292683,11.241999999999999,11.4,-10.530188679245283,-7.720000000000001,0.07317073170731707,41,3
pooled_MCI_AD_variant0,0.6,2,79,53,5,21,27,26,0.6708860759493671,0.9565217391304348,11.241999999999999,11.4,-10.530188679245283,-7.720000000000001,0.043478260869565216,23,1
pooled_MCI_AD_variant0,0.6,3,79,53,5,21,27,26,0.6708860759493671,0.9285714285714286,11.241999999999999,11.4,-10.530188679245283,-7.720000000000001,0.07142857142857142,14,1
pooled_MCI_AD_variant0,0.7,0,79,46,0,21,25,33,0.5822784810126582,0.9615384615384616,,,-13.944782608695652,-9.264999999999997,0.038461538461538464,78,3
pooled_MCI_AD_variant0,0.7,1,79,46,0,21,25,33,0.5822784810126582,0.9512195121951219,,,-13.944782608695652,-9.264999999999997,0.04878048780487805,41,2
pooled_MCI_AD_variant0,0.7,2,79,46,0,21,25,33,0.5822784810126582,0.9565217391304348,,,-13.944782608695652,-9.264999999999997,0.043478260869565216,23,1
pooled_MCI_AD_variant0,0.7,3,79,46,0,21,25,33,0.5822784810126582,0.9285714285714286,,,-13.944782608695652,-9.264999999999997,0.07142857142857142,14,1
pooled_MCI_AD_variant1,0.3,0,79,68,15,45,8,11,0.8607594936708861,0.6666666666666667,17.197333333333333,16.36,0.6405882352941177,0.0,0.3333333333333333,78,26
pooled_MCI_AD_variant1,0.3,1,79,68,15,45,8,11,0.8607594936708861,0.6829268292682926,17.197333333333333,16.36,0.6405882352941177,0.0,0.3170731707317073,41,13
pooled_MCI_AD_variant1,0.3,2,79,68,15,45,8,11,0.8607594936708861,0.6956521739130435,17.197333333333333,16.36,0.6405882352941177,0.0,0.30434782608695654,23,7
pooled_MCI_AD_variant1,0.3,3,79,68,15,45,8,11,0.8607594936708861,0.7857142857142857,17.197333333333333,16.36,0.6405882352941177,0.0,0.21428571428571427,14,3
pooled_MCI_AD_variant1,0.4,0,79,60,12,33,15,19,0.759493670886076,0.7948717948717949,15.350833333333336,14.160000000000002,-1.0645,0.0,0.20512820512820512,78,16
pooled_MCI_AD_variant1,0.4,1,79,60,12,33,15,19,0.759493670886076,0.7804878048780488,15.350833333333336,14.160000000000002,-1.0645,0.0,0.21951219512195122,41,9
pooled_MCI_AD_variant1,0.4,2,79,60,12,33,15,19,0.759493670886076,0.8695652173913043,15.350833333333336,14.160000000000002,-1.0645,0.0,0.13043478260869565,23,3
pooled_MCI_AD_variant1,0.4,3,79,60,12,33,15,19,0.759493670886076,0.9285714285714286,15.350833333333336,14.160000000000002,-1.0645,0.0,0.07142857142857142,14,1
pooled_MCI_AD_variant1,0.5,0,79,56,8,23,25,23,0.7088607594936709,0.8717948717948718,12.46625,11.79,-7.389107142857142,0.0,0.1282051282051282,78,10
pooled_MCI_AD_variant1,0.5,1,79,56,8,23,25,23,0.7088607594936709,0.8536585365853658,12.46625,11.79,-7.389107142857142,0.0,0.14634146341463414,41,6
pooled_MCI_AD_variant1,0.5,2,79,56,8,23,25,23,0.7088607594936709,0.9130434782608696,12.46625,11.79,-7.389107142857142,0.0,0.08695652173913043,23,2
pooled_MCI_AD_variant1,0.5,3,79,56,8,23,25,23,0.7088607594936709,0.9285714285714286,12.46625,11.79,-7.389107142857142,0.0,0.07142857142857142,14,1
pooled_MCI_AD_variant1,0.6,0,79,53,4,22,27,26,0.6708860759493671,0.9487179487179487,10.8975,10.990000000000002,-11.703018867924529,-7.720000000000001,0.05128205128205128,78,4
pooled_MCI_AD_variant1,0.6,1,79,53,4,22,27,26,0.6708860759493671,0.926829268292683,10.8975,10.990000000000002,-11.703018867924529,-7.720000000000001,0.07317073170731707,41,3
pooled_MCI_AD_variant1,0.6,2,79,53,4,22,27,26,0.6708860759493671,0.9565217391304348,10.8975,10.990000000000002,-11.703018867924529,-7.720000000000001,0.043478260869565216,23,1
