model_key,threshold,mask_length,n_prog,n_detected,n_early,n_at_conv,n_late,n_missed,sensitivity,specificity,mean_lead_time,median_lead_time,mean_net_lead_time,median_net_lead_time,false_alarm_rate,n_ctrl,n_false_alarm
CN_MCI_seed104,0.3,0,119,110,34,71,5,9,0.9243697478991597,0.8136882129277566,32.527058823529416,26.695,9.282454545454545,0.0,0.18631178707224336,526,98
CN_MCI_seed104,0.3,1,119,110,34,71,5,9,0.9243697478991597,0.8412698412698413,32.527058823529416,26.695,9.282454545454545,0.0,0.15873015873015872,378,60
CN_MCI_seed104,0.3,2,119,110,34,71,5,9,0.9243697478991597,0.8741258741258742,32.527058823529416,26.695,9.282454545454545,0.0,0.1258741258741259,286,36
CN_MCI_seed104,0.3,3,119,110,34,71,5,9,0.9243697478991597,0.880184331797235,32.527058823529416,26.695,9.282454545454545,0.0,0.11981566820276497,217,26
CN_MCI_seed104,0.4,0,119,109,30,73,6,10,0.9159663865546218,0.8307984790874525,34.35666666666667,29.15,8.521100917431193,0.0,0.16920152091254753,526,89
CN_MCI_seed104,0.4,1,119,109,30,73,6,10,0.9159663865546218,0.8544973544973545,34.35666666666667,29.15,8.521100917431193,0.0,0.1455026455026455,378,55
CN_MCI_seed104,0.4,2,119,109,30,73,6,10,0.9159663865546218,0.8951048951048951,34.35666666666667,29.15,8.521100917431193,0.0,0.1048951048951049,286,30
CN_MCI_seed104,0.4,3,119,109,30,73,6,10,0.9159663865546218,0.9032258064516129,34.35666666666667,29.15,8.521100917431193,0.0,0.0967741935483871,217,21
CN_MCI_seed104,0.5,0,119,106,27,72,7,13,0.8907563025210085,0.8536121673003803,34.54444444444445,27.340000000000003,7.499905660377358,0.0,0.14638783269961977,526,77
CN_MCI_seed104,0.5,1,119,106,27,72,7,13,0.8907563025210085,0.8703703703703703,34.54444444444445,27.340000000000003,7.499905660377358,0.0,0.12962962962962962,378,49
CN_MCI_seed104,0.5,2,119,106,27,72,7,13,0.8907563025210085,0.8951048951048951,34.54444444444445,27.340000000000003,7.499905660377358,0.0,0.1048951048951049,286,30
CN_MCI_seed104,0.5,3,119,106,27,72,7,13,0.8907563025210085,0.9078341013824884,34.54444444444445,27.340000000000003,7.499905660377358,0.0,0.09216589861751152,217,20
CN_MCI_seed104,0.6,0,119,103,25,71,7,16,0.865546218487395,0.8783269961977186,32.3016,26.839999999999996,6.577572815533981,0.0,0.12167300380228137,526,64
CN_MCI_seed104,0.6,1,119,103,25,71,7,16,0.865546218487395,0.8888888888888888,32.3016,26.839999999999996,6.577572815533981,0.0,0.1111111111111111,378,42
CN_MCI_seed104,0.6,2,119,103,25,71,7,16,0.865546218487395,0.9125874125874126,32.3016,26.839999999999996,6.577572815533981,0.0,0.08741258741258741,286,25
CN_MCI_seed104,0.6,3,119,103,25,71,7,16,0.865546218487395,0.9400921658986175,32.3016,26.839999999999996,6.577572815533981,0.0,0.059907834101382486,217,13
CN_MCI_seed104,0.7,0,119,100,23,63,14,19,0.8403361344537815,0.9201520912547528,31.72826086956522,26.839999999999996,4.4298,0.0,0.07984790874524715,526,42
CN_MCI_seed104,0.7,1,119,100,23,63,14,19,0.8403361344537815,0.9285714285714286,31.72826086956522,26.839999999999996,4.4298,0.0,0.07142857142857142,378,27
CN_MCI_seed104,0.7,2,119,100,23,63,14,19,0.8403361344537815,0.9440559440559441,31.72826086956522,26.839999999999996,4.4298,0.0,0.055944055944055944,286,16
CN_MCI_seed104,0.7,3,119,100,23,63,14,19,0.8403361344537815,0.9631336405529954,31.72826086956522,26.839999999999996,4.4298,0.0,0.03686635944700461,217,8
CN_MCI_seed114,0.3,0,119,109,33,70,6,10,0.9159663865546218,0.8136882129277566,32.78212121212121,27.340000000000003,8.99,0.0,0.18631178707224336,526,98
CN_MCI_seed114,0.3,1,119,109,33,70,6,10,0.9159663865546218,0.8412698412698413,32.78212121212121,27.340000000000003,8.99,0.0,0.15873015873015872,378,60
CN_MCI_seed114,0.3,2,119,109,33,70,6,10,0.9159663865546218,0.8741258741258742,32.78212121212121,27.340000000000003,8.99,0.0,0.1258741258741259,286,36
CN_MCI_seed114,0.3,3,119,109,33,70,6,10,0.9159663865546218,0.8847926267281105,32.78212121212121,27.340000000000003,8.99,0.0,0.1152073732718894,217,25
CN_MCI_seed114,0.4,0,119,109,30,73,6,10,0.9159663865546218,0.8269961977186312,33.857,28.040000000000003,8.383577981651376,0.0,0.17300380228136883,526,91
CN_MCI_seed114,0.4,1,119,109,30,73,6,10,0.9159663865546218,0.8518518518518519,33.857,28.040000000000003,8.383577981651376,0.0,0.14814814814814814,378,56
CN_MCI_seed114,0.4,2,119,109,30,73,6,10,0.9159663865546218,0.8916083916083917,33.857,28.040000000000003,8.383577981651376,0.0,0.10839160839160839,286,31
CN_MCI_seed114,0.4,3,119,109,30,73,6,10,0.9159663865546218,0.9078341013824884,33.857,28.040000000000003,8.383577981651376,0.0,0.09216589861751152,217,20
CN_MCI_seed114,0.5,0,119,109,30,73,6,10,0.9159663865546218,0.844106463878327,33.32933333333333,26.695,8.238348623853211,0.0,0.155893536121673,526,82
CN_MCI_seed114,0.5,1,119,109,30,73,6,10,0.9159663865546218,0.8597883597883598,33.32933333333333,26.695,8.238348623853211,0.0,0.1402116402116402,378,53
CN_MCI_seed114,0.5,2,119,109,30,73,6,10,0.9159663865546218,0.8951048951048951,33.32933333333333,26.695,8.238348623853211,0.0,0.1048951048951049,286,30
CN_MCI_seed114,0.5,3,119,109,30,73,6,10,0.9159663865546218,0.9078341013824884,33.32933333333333,26.695,8.238348623853211,0.0,0.09216589861751152,217,20
CN_MCI_seed114,0.6,0,119,105,25,72,8,14,0.8823529411764706,0.876425855513308,34.312,27.990000000000002,6.850190476190476,0.0,0.12357414448669202,526,65
CN_MCI_seed114,0.6,1,119,105,25,72,8,14,0.8823529411764706,0.8915343915343915,34.312,27.990000000000002,6.850190476190476,0.0,0.10846560846560846,378,41
CN_MCI_seed114,0.6,2,119,105,25,72,8,14,0.8823529411764706,0.9125874125874126,34.312,27.990000000000002,6.850190476190476,0.0,0.08741258741258741,286,25
CN_MCI_seed114,0.6,3,119,105,25,72,8,14,0.8823529411764706,0.9262672811059908,34.312,27.990000000000002,6.850190476190476,0.0,0.07373271889400922,217,16
CN_MCI_seed114,0.7,0,119,100,23,65,12,19,0.8403361344537815,0.9220532319391634,29.16695652173913,25.989999999999995,4.4449000000000005,0.0,0.0779467680608365,526,41
CN_MCI_seed114,0.7,1,119,100,23,65,12,19,0.8403361344537815,0.9285714285714286,29.16695652173913,25.989999999999995,4.4449000000000005,0.0,0.07142857142857142,378,27
CN_MCI_seed114,0.7,2,119,100,23,65,12,19,0.8403361344537815,0.9440559440559441,29.16695652173913,25.989999999999995,4.4449000000000005,0.0,0.055944055944055944,286,16
CN_MCI_seed114,0.7,3,119,100,23,65,12,19,0.8403361344537815,0.967741935483871,29.16695652173913,25.989999999999995,4.4449000000000005,0.0,0.03225806451612903,217,7
CN_MCI_seed142,0.3,0,119,110,32,74,4,9,0.9243697478991597,0.8098859315589354,32.844375,26.695,8.927272727272728,0.0,0.19011406844106463,526,100
CN_MCI_seed142,0.3,1,119,110,32,74,4,9,0.9243697478991597,0.8333333333333334,32.844375,26.695,8.927272727272728,0.0,0.16666666666666666,378,63
CN_MCI_seed142,0.3,2,119,110,32,74,4,9,0.9243697478991597,0.8706293706293706,32.844375,26.695,8.927272727272728,0.0,0.12937062937062938,286,37
CN_MCI_seed142,0.3,3,119,110,32,74,4,9,0.9243697478991597,0.880184331797235,32.844375,26.695,8.927272727272728,0.0,0.11981566820276497,217,26
CN_MCI_seed142,0.4,0,119,109,30,73,6,10,0.9159663865546218,0.8346007604562737,33.24666666666666,26.695,8.215596330275229,0.0,0.16539923954372623,526,87
CN_MCI_seed142,0.4,1,119,109,30,73,6,10,0.9159663865546218,0.8624338624338624,33.24666666666666,26.695,8.215596330275229,0.0,0.13756613756613756,378,52
CN_MCI_seed142,0.4,2,119,109,30,73,6,10,0.9159663865546218,0.8916083916083917,33.24666666666666,26.695,8.215596330275229,0.0,0.10839160839160839,286,31
CN_MCI_seed142,0.4,3,119,109,30,73,6,10,0.9159663865546218,0.8986175115207373,33.24666666666666,26.695,8.215596330275229,0.0,0.10138248847926268,217,22
CN_MCI_seed142,0.5,0,119,107,26,73,8,12,0.8991596638655462,0.8403041825095057,35.35115384615385,28.450000000000003,7.295327102803738,0.0,0.1596958174904943,526,84
CN_MCI_seed142,0.5,1,119,107,26,73,8,12,0.8991596638655462,0.8703703703703703,35.35115384615385,28.450000000000003,7.295327102803738,0.0,0.12962962962962962,378,49
CN_MCI_seed142,0.5,2,119,107,26,73,8,12,0.8991596638655462,0.8951048951048951,35.35115384615385,28.450000000000003,7.295327102803738,0.0,0.1048951048951049,286,30
