model_key,threshold,mask_length,n_prog,n_detected,n_early,n_at_conv,n_missed,sensitivity,specificity,mean_lead_time,median_lead_time,false_alarm_rate,n_ctrl,n_false_alarm
MCI_AD_seed104,0.3,0,79,68,16,52,11,0.8607594936708861,0.7051282051282051,18.3925,16.33,0.2948717948717949,78,23
MCI_AD_seed104,0.3,1,79,55,16,39,24,0.6962025316455697,0.7317073170731707,18.3925,16.33,0.2682926829268293,41,11
MCI_AD_seed104,0.3,2,79,41,13,28,38,0.5189873417721519,0.8260869565217391,19.83692307692308,19.310000000000002,0.17391304347826086,23,4
MCI_AD_seed104,0.3,3,79,26,8,18,53,0.3291139240506329,0.8571428571428572,22.0225,22.78,0.14285714285714285,14,2
MCI_AD_seed104,0.4,0,79,66,13,53,13,0.8354430379746836,0.8333333333333334,18.21769230769231,15.440000000000001,0.16666666666666666,78,13
MCI_AD_seed104,0.4,1,79,52,13,39,27,0.6582278481012658,0.8536585365853658,18.21769230769231,15.440000000000001,0.14634146341463414,41,6
MCI_AD_seed104,0.4,2,79,38,10,28,41,0.4810126582278481,0.8695652173913043,20.043,18.265,0.13043478260869565,23,3
MCI_AD_seed104,0.4,3,79,25,6,19,54,0.31645569620253167,0.8571428571428572,21.645,20.995,0.14285714285714285,14,2
MCI_AD_seed104,0.5,0,79,61,10,51,18,0.7721518987341772,0.9102564102564102,16.866000000000003,16.79,0.08974358974358974,78,7
MCI_AD_seed104,0.5,1,79,49,10,39,30,0.620253164556962,0.9024390243902439,16.866000000000003,16.79,0.0975609756097561,41,4
MCI_AD_seed104,0.5,2,79,31,8,23,48,0.3924050632911392,0.9130434782608696,18.4625,18.265,0.08695652173913043,23,2
MCI_AD_seed104,0.5,3,79,23,5,18,56,0.2911392405063291,0.8571428571428572,16.216,16.36,0.14285714285714285,14,2
MCI_AD_seed104,0.6,0,79,58,6,52,21,0.7341772151898734,0.9615384615384616,15.281666666666666,11.725000000000001,0.038461538461538464,78,3
MCI_AD_seed104,0.6,1,79,48,6,42,31,0.6075949367088608,0.9512195121951219,15.281666666666666,11.725000000000001,0.04878048780487805,41,2
MCI_AD_seed104,0.6,2,79,27,3,24,52,0.34177215189873417,0.9565217391304348,19.560000000000002,23.330000000000002,0.043478260869565216,23,1
MCI_AD_seed104,0.6,3,79,19,2,17,60,0.24050632911392406,0.9285714285714286,17.675000000000004,17.675000000000004,0.07142857142857142,14,1
MCI_AD_seed104,0.7,0,79,53,4,49,26,0.6708860759493671,0.9871794871794872,12.047500000000001,12.365,0.01282051282051282,78,1
MCI_AD_seed104,0.7,1,79,38,4,34,41,0.4810126582278481,0.975609756097561,12.047500000000001,12.365,0.024390243902439025,41,1
MCI_AD_seed104,0.7,2,79,21,2,19,58,0.26582278481012656,0.9565217391304348,11.730000000000002,11.730000000000002,0.043478260869565216,23,1
MCI_AD_seed104,0.7,3,79,16,2,14,63,0.20253164556962025,0.9285714285714286,11.730000000000002,11.730000000000002,0.07142857142857142,14,1
MCI_AD_seed114,0.3,0,79,69,19,50,10,0.8734177215189873,0.717948717948718,18.118421052631575,15.440000000000001,0.28205128205128205,78,22
MCI_AD_seed114,0.3,1,79,56,19,37,23,0.7088607594936709,0.7317073170731707,18.118421052631575,15.440000000000001,0.2682926829268293,41,11
MCI_AD_seed114,0.3,2,79,42,16,26,37,0.5316455696202531,0.782608695652174,19.240625,18.265,0.21739130434782608,23,5
