threshold,mask_length,sensitivity_mean,sensitivity_ci_lower,sensitivity_ci_upper,specificity_mean,specificity_ci_lower,specificity_ci_upper,PPV_mean,PPV_ci_lower,PPV_ci_upper,NPV_mean,NPV_ci_lower,NPV_ci_upper,accuracy_mean,accuracy_ci_lower,accuracy_ci_upper,f1_mean,f1_ci_lower,f1_ci_upper,false_alarm_rate_mean,false_alarm_rate_ci_lower,false_alarm_rate_ci_upper,mean_lead_time_mean,mean_lead_time_ci_lower,mean_lead_time_ci_upper,mean_net_lead_time_mean,mean_net_lead_time_ci_lower,mean_net_lead_time_ci_upper
0.05,0,0.9680672268907562,0.9583327961501187,0.9778016576313937,0.18365019011406847,0.11121016304021604,0.2560902171879209,0.21340683318599218,0.19826183452513454,0.22855183184684982,0.9569639829466035,0.9411726292698808,0.9727553366233261,0.32837209302325576,0.27063406466631423,0.3861101213801973,0.3491725662361233,0.329740021510041,0.3686051109622056,0.8163498098859314,0.743909782812079,0.8887898369597839,42.88376127712405,42.27826027308692,43.48926228116118,27.08219358179832,25.967715751441816,28.196671412154828
0.05,1,0.9680672268907562,0.9583327961501187,0.9778016576313937,0.20661375661375664,0.13251141133667518,0.28071610189083807,0.27979647816230785,0.2609319021413402,0.2986610541832755,0.9497659209144993,0.9347109997728416,0.964820842056157,0.38893360160965795,0.334284408855996,0.44358279436331993,0.4333947929815567,0.4118594355147638,0.4549301504483496,0.7933862433862433,0.7192838981091618,0.8674885886633248,42.88376127712405,42.27826027308692,43.48926228116118,27.08219358179832,25.967715751441816,28.196671412154828
0.05,2,0.9680672268907562,0.9583327961501187,0.9778016576313937,0.23111888111888113,0.14514602573888338,0.3170917364988789,0.3472364424547397,0.3208992334063618,0.37357365150311767,0.9404463736420258,0.9218942006668049,0.9589985466172466,0.44765432098765434,0.3889479060653569,0.5063607359099518,0.5099690373253774,0.48321538608826947,0.5367226885624852,0.7688811188811189,0.6829082635011211,0.8548539742611166,42.88376127712405,42.27826027308692,43.48926228116118,27.08219358179832,25.967715751441816,28.196671412154828
0.05,3,0.9680672268907562,0.9583327961501187,0.9778016576313937,0.23225806451612901,0.1437170650405857,0.32079906399167235,0.4123540597392137,0.38350596792628433,0.44120215155214304,0.9225567165918065,0.8977714728395452,0.9473419603440678,0.4928571428571429,0.43802137157521603,0.5476929141390697,0.5771308261657554,0.5507240627431935,0.6035375895883173,0.7677419354838709,0.6792009360083275,0.8562829349594143,42.88376127712405,42.27826027308692,43.48926228116118,27.08219358179832,25.967715751441816,28.196671412154828
0.1,0,0.946218487394958,0.943114212455553,0.9493227623343629,0.5566539923954373,0.5173849227093652,0.5959230620815095,0.3278105041817671,0.30702120022709356,0.34859980813644065,0.9785010924747588,0.9770899826698156,0.979912202279702,0.6285271317829457,0.5967455303291392,0.6603087332367522,0.4862550616599486,0.46399344227006717,0.50851668104983,0.44334600760456266,0.4040769379184906,0.48261507729063474,39.21373595987433,37.516371033557846,40.91110088619081,17.904457648546146,15.92649563601316,19.882419661079133
0.1,1,0.946218487394958,0.943114212455553,0.9493227623343629,0.593915343915344,0.5528461845641217,0.6349845032665662,0.4258399276110122,0.39978031478512,0.4518995404369044,0.9721508539292246,0.9703573245678275,0.9739443832906217,0.6782696177062374,0.6473509431861563,0.7091882922263185,0.5864976334718179,0.5624739881449978,0.610521278798638,0.4060846560846561,0.3650154967334339,0.4471538154358783,39.21373595987433,37.516371033557846,40.91110088619081,17.904457648546146,15.92649563601316,19.882419661079133
0.1,2,0.946218487394958,0.943114212455553,0.9493227623343629,0.6451048951048951,0.6048036578771171,0.6854061323326731,0.5287259513419817,0.499423944575025,0.5580279581089385,0.9663492905388337,0.9642655022359767,0.9684330788416906,0.7335802469135803,0.7054859301522551,0.7616745636749054,0.677513167225374,0.6540710862505562,0.7009552482001918,0.3548951048951049,0.3145938676673269,0.3951963421228829,39.21373595987433,37.516371033557846,40.91110088619081,17.904457648546146,15.92649563601316,19.882419661079133
0.1,3,0.946218487394958,0.943114212455553,0.9493227623343629,0.6737327188940092,0.6323303890564298,0.7151350487315886,0.6166587967739631,0.5857364402832523,0.6475811532646738,0.9579038523748136,0.9552269927263275,0.9605807120232996,0.7702380952380953,0.743897607700451,0.7965785827757396,0.7458723455533256,0.7238532868884482,0.767891404218203,0.32626728110599074,0.28486495126841127,0.3676696109435702,39.21373595987433,37.516371033557846,40.91110088619081,17.904457648546146,15.92649563601316,19.882419661079133
0.15,0,0.9411764705882353,0.9383426682398852,0.9440102729365853,0.7085551330798479,0.6895795460525916,0.7275307201071041,0.42324554747653653,0.4068937590247388,0.4395973359283343,0.981548793709832,0.9806221923706901,0.9824753950489737,0.7514728682170542,0.7360601519138816,0.7668855845202267,0.58357732632891,0.5682309948664416,0.5989236577913785,0.2914448669201521,0.27246927989289593,0.31042045394740825,34.13691017126149,33.342543310406356,34.931277032116625,11.549110324056674,10.773355223134795,12.324865424978553
0.15,1,0.9411764705882353,0.9383426682398852,0.9440102729365853,0.7423280423280423,0.725116772954013,0.7595393117020716,0.5357795330325585,0.5191239536870718,0.5524351123780453,0.9756512056118034,0.9745112911794651,0.9767911200441417,0.7899396378269619,0.7769908206472215,0.8028884550067023,0.6825610362113292,0.6692175556209836,0.6959045168016749,0.25767195767195766,0.24046068829792835,0.27488322704598694,34.13691017126149,33.342543310406356,34.931277032116625,11.549110324056674,10.773355223134795,12.324865424978553
