threshold,mask_length,sensitivity_mean,sensitivity_std,sensitivity_ci_lower,sensitivity_ci_upper,specificity_mean,specificity_std,specificity_ci_lower,specificity_ci_upper,mean_lead_time_mean,mean_lead_time_std,mean_lead_time_ci_lower,mean_lead_time_ci_upper,median_lead_time_mean,median_lead_time_std,median_lead_time_ci_lower,median_lead_time_ci_upper,mean_net_lead_time_mean,mean_net_lead_time_std,mean_net_lead_time_ci_lower,mean_net_lead_time_ci_upper,median_net_lead_time_mean,median_net_lead_time_std,median_net_lead_time_ci_lower,median_net_lead_time_ci_upper,false_alarm_rate_mean,false_alarm_rate_std,false_alarm_rate_ci_lower,false_alarm_rate_ci_upper,n_early_mean,n_early_std,n_early_ci_lower,n_early_ci_upper,n_at_conv_mean,n_at_conv_std,n_at_conv_ci_lower,n_at_conv_ci_upper,n_late_mean,n_late_std,n_late_ci_lower,n_late_ci_upper,n_missed_mean,n_missed_std,n_missed_ci_lower,n_missed_ci_upper,n_false_alarm_mean,n_false_alarm_std,n_false_alarm_ci_lower,n_false_alarm_ci_upper
0.05,0,0.9949367088607595,0.006536680753092664,0.9902606491419091,0.9996127685796098,0.0858974358974359,0.03919062057473633,0.057862154820022244,0.11393271697484955,20.00339064102564,0.2679450942611694,19.81171426742495,20.19506701462633,14.115,0.10916348595875215,14.036909146439575,14.193090853560426,6.2371496267445625,0.2990717847257699,6.023206560160011,6.451092693329114,0.0,0.0,0.0,0.0,0.9141025641025641,0.03919062057473634,0.8860672830251504,0.9421378451799778,25.1,0.5676462121975466,24.693930361956397,25.506069638043606,53.0,0.6666666666666666,52.523095396019556,53.476904603980444,0.5,0.5270462766947299,0.12297380620029918,0.8770261937997008,0.4,0.5163977794943222,0.030591282210820137,0.76940871778918,71.3,3.0568684048294332,69.11324807596174,73.48675192403826
0.05,1,0.9949367088607595,0.006536680753092664,0.9902606491419091,0.9996127685796098,0.08292682926829267,0.04015963913895436,0.054198354068951876,0.11165530446763347,20.00339064102564,0.2679450942611694,19.81171426742495,20.19506701462633,14.115,0.10916348595875215,14.036909146439575,14.193090853560426,6.2371496267445625,0.2990717847257699,6.023206560160011,6.451092693329114,0.0,0.0,0.0,0.0,0.9170731707317072,0.04015963913895436,0.8883446955323664,0.9458016459310481,25.1,0.5676462121975466,24.693930361956397,25.506069638043606,53.0,0.6666666666666666,52.523095396019556,53.476904603980444,0.5,0.5270462766947299,0.12297380620029918,0.8770261937997008,0.4,0.5163977794943222,0.030591282210820137,0.76940871778918,37.6,1.6465452046971294,36.42213251682703,38.777867483172976
0.05,2,0.9949367088607595,0.006536680753092664,0.9902606491419091,0.9996127685796098,0.04347826086956521,0.040991697460089724,0.01415456700402987,0.07280195473510055,20.00339064102564,0.2679450942611694,19.81171426742495,20.19506701462633,14.115,0.10916348595875215,14.036909146439575,14.193090853560426,6.2371496267445625,0.2990717847257699,6.023206560160011,6.451092693329114,0.0,0.0,0.0,0.0,0.9565217391304349,0.040991697460089724,0.9271980452648996,0.9858454329959703,25.1,0.5676462121975466,24.693930361956397,25.506069638043606,53.0,0.6666666666666666,52.523095396019556,53.476904603980444,0.5,0.5270462766947299,0.12297380620029918,0.8770261937997008,0.4,0.5163977794943222,0.030591282210820137,0.76940871778918,22.0,0.9428090415820634,21.325555041092688,22.674444958907312
0.05,3,0.9949367088607595,0.006536680753092664,0.9902606491419091,0.9996127685796098,0.10714285714285714,0.0906639655459989,0.04228576326684043,0.17199995101887383,20.00339064102564,0.2679450942611694,19.81171426742495,20.19506701462633,14.115,0.10916348595875215,14.036909146439575,14.193090853560426,6.2371496267445625,0.2990717847257699,6.023206560160011,6.451092693329114,0.0,0.0,0.0,0.0,0.8928571428571427,0.09066396554599891,0.828000048981126,0.9577142367331594,25.1,0.5676462121975466,24.693930361956397,25.506069638043606,53.0,0.6666666666666666,52.523095396019556,53.476904603980444,0.5,0.5270462766947299,0.12297380620029918,0.8770261937997008,0.4,0.5163977794943222,0.030591282210820137,0.76940871778918,12.5,1.2692955176439846,11.592000685735766,13.407999314264234
0.1,0,0.9746835443037976,0.005967145832797875,0.9704149053233715,0.9789521832842236,0.2948717948717948,0.03676207379078045,0.26857379150775684,0.3211697982358328,17.10591304347826,0.1302710650580216,17.01272273744085,17.19910334951567,14.190000000000001,0.02581988897471648,14.171529564110543,14.20847043588946,4.436296037296036,0.11062104014864427,4.357162512280045,4.515429562312027,0.0,0.0,0.0,0.0,0.7051282051282051,0.036762073790780454,0.6788302017641671,0.731426208492243,22.4,0.5163977794943222,22.030591282210818,22.76940871778918,53.5,0.5270462766947299,53.1229738062003,53.8770261937997,1.1,0.31622776601683794,0.8737842837201796,1.3262157162798205,2.0,0.4714045207910317,1.6627775205463438,2.337222479453656,55.0,2.8674417556808756,52.94875573760504,57.05124426239496
0.1,1,0.9746835443037976,0.005967145832797875,0.9704149053233715,0.9789521832842236,0.27804878048780496,0.038478567694956854,0.25052287135535783,0.3055746896202521,17.10591304347826,0.1302710650580216,17.01272273744085,17.19910334951567,14.190000000000001,0.02581988897471648,14.171529564110543,14.20847043588946,4.436296037296036,0.11062104014864427,4.357162512280045,4.515429562312027,0.0,0.0,0.0,0.0,0.7219512195121951,0.038478567694956854,0.694425310379748,0.7494771286446422,22.4,0.5163977794943222,22.030591282210818,22.76940871778918,53.5,0.5270462766947299,53.1229738062003,53.8770261937997,1.1,0.31622776601683794,0.8737842837201796,1.3262157162798205,2.0,0.4714045207910317,1.6627775205463438,2.337222479453656,29.6,1.577621275493231,28.471437725569672,30.72856227443033
0.1,2,0.9746835443037976,0.005967145832797875,0.9704149053233715,0.9789521832842236,0.24347826086956523,0.06545849153992009,0.19665207689206107,0.2903044448470694,17.10591304347826,0.1302710650580216,17.01272273744085,17.19910334951567,14.190000000000001,0.02581988897471648,14.171529564110543,14.20847043588946,4.436296037296036,0.11062104014864427,4.357162512280045,4.515429562312027,0.0,0.0,0.0,0.0,0.7565217391304347,0.06545849153992009,0.7096955551529306,0.8033479231079389,22.4,0.5163977794943222,22.030591282210818,22.76940871778918,53.5,0.5270462766947299,53.1229738062003,53.8770261937997,1.1,0.31622776601683794,0.8737842837201796,1.3262157162798205,2.0,0.4714045207910317,1.6627775205463438,2.337222479453656,17.4,1.5055453054181622,16.322997768517403,18.477002231482594
0.1,3,0.9746835443037976,0.005967145832797875,0.9704149053233715,0.9789521832842236,0.3857142857142858,0.06900655593423544,0.33634996936947953,0.43507860205909205,17.10591304347826,0.1302710650580216,17.01272273744085,17.19910334951567,14.190000000000001,0.02581988897471648,14.171529564110543,14.20847043588946,4.436296037296036,0.11062104014864427,4.357162512280045,4.515429562312027,0.0,0.0,0.0,0.0,0.6142857142857142,0.06900655593423544,0.5649213979409079,0.6636500306305205,22.4,0.5163977794943222,22.030591282210818,22.76940871778918,53.5,0.5270462766947299,53.1229738062003,53.8770261937997,1.1,0.31622776601683794,0.8737842837201796,1.3262157162798205,2.0,0.4714045207910317,1.6627775205463438,2.337222479453656,8.6,0.9660917830792959,7.908899571172712,9.291100428827287
0.15,0,0.959493670886076,0.009984944781602733,0.9523508716808207,0.9666364700913312,0.4115384615384615,0.031082216317894325,0.38930358344258176,0.4337733396343413,17.514424458874455,0.16794632595027054,17.39428289477353,17.63456602297538,14.313999999999998,0.18898559615895527,14.178807848658707,14.44919215134129,4.107554370200686,0.23043018463754256,3.9427145462761244,4.272394194125247,0.0,0.0,0.0,0.0,0.5884615384615384,0.031082216317894328,0.5662266603656586,0.6106964165574181,21.0,0.4714045207910317,20.662777520546342,21.337222479453658,52.5,1.7795130420052185,51.2270130561367,53.7729869438633,2.3,1.3374935098492586,1.3432147810383896,3.25678521896161,3.2,0.7888106377466155,2.6357188627848345,3.764281137215166,45.9,2.4244128727957572,44.16567950852138,47.63432049147862
0.15,1,0.959493670886076,0.009984944781602733,0.9523508716808207,0.9666364700913312,0.41463414634146334,0.043020346521375444,0.38385924436014635,0.44540904832278033,17.514424458874455,0.16794632595027054,17.39428289477353,17.63456602297538,14.313999999999998,0.18898559615895527,14.178807848658707,14.44919215134129,4.107554370200686,0.23043018463754256,3.9427145462761244,4.272394194125247,0.0,0.0,0.0,0.0,0.5853658536585366,0.04302034652137544,0.5545909516772196,0.6161407556398535,21.0,0.4714045207910317,20.662777520546342,21.337222479453658,52.5,1.7795130420052185,51.2270130561367,53.7729869438633,2.3,1.3374935098492586,1.3432147810383896,3.25678521896161,3.2,0.7888106377466155,2.6357188627848345,3.764281137215166,24.0,1.7638342073763937,22.738229018766003,25.261770981233997
0.15,2,0.959493670886076,0.009984944781602733,0.9523508716808207,0.9666364700913312,0.40869565217391307,0.04200399056866506,0.3786478074422919,0.43874349690553427,17.514424458874455,0.16794632595027054,17.39428289477353,17.63456602297538,14.313999999999998,0.18898559615895527,14.178807848658707,14.44919215134129,4.107554370200686,0.23043018463754256,3.9427145462761244,4.272394194125247,0.0,0.0,0.0,0.0,0.5913043478260869,0.042003990568665064,0.5612565030944656,0.6213521925577081,21.0,0.4714045207910317,20.662777520546342,21.337222479453658,52.5,1.7795130420052185,51.2270130561367,53.7729869438633,2.3,1.3374935098492586,1.3432147810383896,3.25678521896161,3.2,0.7888106377466155,2.6357188627848345,3.764281137215166,13.6,0.9660917830792959,12.908899571172713,14.291100428827287
0.15,3,0.959493670886076,0.009984944781602733,0.9523508716808207,0.9666364700913312,0.55,0.04821061126503948,0.5155122062904869,0.5844877937095132,17.514424458874455,0.16794632595027054,17.39428289477353,17.63456602297538,14.313999999999998,0.18898559615895527,14.178807848658707,14.44919215134129,4.107554370200686,0.23043018463754256,3.9427145462761244,4.272394194125247,0.0,0.0,0.0,0.0,0.45,0.04821061126503949,0.4155122062904869,0.4844877937095131,21.0,0.4714045207910317,20.662777520546342,21.337222479453658,52.5,1.7795130420052185,51.2270130561367,53.7729869438633,2.3,1.3374935098492586,1.3432147810383896,3.25678521896161,3.2,0.7888106377466155,2.6357188627848345,3.764281137215166,6.3,0.6749485577105528,5.8171708880668165,6.782829111933183
