,mean,std,ci_lower,ci_upper
n_prog,119.0,0.0,119.0,119.0
n_detected,108.2,0.6324555320336759,107.74756856744037,108.65243143255964
n_early,78.0,0.816496580927726,77.41591353213191,78.58408646786809
n_at_conv,30.2,0.4216370213557839,29.89837904496024,30.50162095503976
n_missed,10.8,0.6324555320336759,10.34756856744036,11.252431432559641
sensitivity,0.9092436974789916,0.005314752370030871,0.905441752667566,0.9130456422904172
n_ctrl,526.0,0.0,526.0,526.0
n_false_alarm,90.9,1.286683937707919,89.97956175935911,91.8204382406409
specificity,0.8271863117870722,0.0024461671819541956,0.8254364292003025,0.828936194373842
mean_lead_time,44.16433790049613,0.3157548364328886,43.93846049766022,44.390215303332035
median_lead_time,37.220000000000006,1.0429125882194872,36.47394527769345,37.96605472230656
