,mean,std,ci_lower,ci_upper
n_prog,119.0,0.0,119.0,119.0
n_detected,107.1,1.728840330651992,105.86326213014749,108.3367378698525
n_early,75.9,1.5951314818673865,74.75891167851495,77.04108832148506
n_at_conv,31.2,0.7888106377466155,30.635718862784834,31.764281137215164
n_missed,11.9,1.7288403306519922,10.66326213014749,13.13673786985251
sensitivity,0.9,0.014528070005478903,0.8896072447911554,0.9103927552088447
n_ctrl,526.0,0.0,526.0,526.0
n_false_alarm,76.8,7.315128919650775,71.56707200926209,82.0329279907379
specificity,0.8539923954372624,0.013907089200856997,0.8440438631354793,0.8639409277390454
mean_lead_time,43.907463956089565,0.2604768322221152,43.72113005531411,44.09379785686502
median_lead_time,37.14399999999999,1.3064982884710499,36.20938742670337,38.07861257329661
