,mean,std,ci_lower,ci_upper
n_prog,79.0,0.0,79.0,79.0
n_detected,56.0,0.4714045207910317,55.66277752054634,56.33722247945366
n_early,46.8,0.6324555320336759,46.347568567440355,47.25243143255964
n_at_conv,9.2,0.9189365834726815,8.542632368863728,9.85736763113627
n_missed,23.0,0.4714045207910317,22.662777520546342,23.337222479453658
sensitivity,0.7088607594936709,0.005967145832797848,0.7045921205132448,0.713129398474097
n_ctrl,78.0,0.0,78.0,78.0
n_false_alarm,8.9,1.3703203194062978,7.919731896120778,9.880268103879223
specificity,0.885897435897436,0.017568209223157678,0.8733298961041126,0.8984649756907593
mean_lead_time,35.72698363783533,0.8685033995638034,35.10569373309836,36.3482735425723
median_lead_time,29.787,2.582095617473872,27.93988006816348,31.63411993183652
