,mean,std,ci_lower,ci_upper
n_prog,79.0,0.0,79.0,79.0
n_detected,59.6,1.3498971154211057,58.63434177613363,60.56565822386637
n_early,48.9,1.1005049346146119,48.11274619496864,49.687253805031354
n_at_conv,10.7,1.2516655570345725,9.804612399809699,11.5953876001903
n_missed,19.4,1.3498971154211057,18.434341776133632,20.365658223866365
sensitivity,0.7544303797468355,0.017087305258495004,0.7422068579257423,0.7666539015679287
n_ctrl,78.0,0.0,78.0,78.0
n_false_alarm,7.3,0.8232726023485646,6.7110662584135135,7.888933741586486
specificity,0.9064102564102564,0.010554776953186733,0.8988598238258143,0.9139606889946985
mean_lead_time,37.37858202876895,0.9471357985906835,36.701041894355065,38.05612216318284
median_lead_time,32.419,2.7707969170539264,30.436891290343244,34.401108709656754
