n_estimators,max_depth,learning_rate,subsample,colsample_bytree,avg AUC score
100,3,0.01,0.6,0.6,0.9362166885102664
100,3,0.01,0.6,0.8,0.9393621668851027
100,3,0.01,0.6,1.0,0.9323722149410222
100,3,0.01,0.8,0.6,0.9312363477501092
100,3,0.01,0.8,0.8,0.9252948885976408
100,3,0.01,0.8,1.0,0.927391874180865
100,3,0.01,1.0,0.6,0.8955002184359981
100,3,0.01,1.0,0.8,0.9155089558759283
100,3,0.01,1.0,1.0,0.9042376583660987
100,3,0.1,0.6,0.6,0.947575360419397
100,3,0.1,0.6,0.8,0.9411096548711227
100,3,0.1,0.6,1.0,0.9343818261249454
100,3,0.1,0.8,0.6,0.9442551332459589
100,3,0.1,0.8,0.8,0.9505460899956313
100,3,0.1,0.8,1.0,0.9477501092179992
100,3,0.1,1.0,0.6,0.9549148099606815
100,3,0.1,1.0,0.8,0.9581476627348187
100,3,0.1,1.0,1.0,0.9580602883355177
100,3,0.2,0.6,0.6,0.9401485364788117
100,3,0.2,0.6,0.8,0.9515072083879423
100,3,0.2,0.6,1.0,0.945915246832678
100,3,0.2,0.8,0.6,0.9385757972913937
100,3,0.2,0.8,0.8,0.9490607252075143
100,3,0.2,0.8,1.0,0.9428571428571428
100,3,0.2,1.0,0.6,0.9597204019222367
100,3,0.2,1.0,0.8,0.9595456531236347
100,3,0.2,1.0,1.0,0.9597204019222367
100,5,0.01,0.6,0.6,0.9353429445172564
100,5,0.01,0.6,0.8,0.9314984709480122
100,5,0.01,0.6,1.0,0.9360419397116645
100,5,0.01,0.8,0.6,0.9332459589340323
100,5,0.01,0.8,0.8,0.9264307557885539
100,5,0.01,0.8,1.0,0.9252075141983398
100,5,0.01,1.0,0.6,0.926780253385758
100,5,0.01,1.0,0.8,0.9176059414591524
100,5,0.01,1.0,1.0,0.9181301878549586
100,5,0.1,0.6,0.6,0.9377020532983835
100,5,0.1,0.6,0.8,0.9438182612494539
100,5,0.1,0.6,1.0,0.9482743556138051
100,5,0.1,0.8,0.6,0.943381389252949
100,5,0.1,0.8,0.8,0.9441677588466578
100,5,0.1,0.8,1.0,0.9432066404543469
100,5,0.1,1.0,0.6,0.9491480996068153
100,5,0.1,1.0,0.8,0.944517256443862
100,5,0.1,1.0,1.0,0.9490607252075142
100,5,0.2,0.6,0.6,0.9407601572739188
100,5,0.2,0.6,0.8,0.9477501092179991
100,5,0.2,0.6,1.0,0.9487112276103102
100,5,0.2,0.8,0.6,0.9425076452599388
100,5,0.2,0.8,0.8,0.943381389252949
100,5,0.2,0.8,1.0,0.942857142857143
100,5,0.2,1.0,0.6,0.9434687636522499
100,5,0.2,1.0,0.8,0.9494975972040192
100,5,0.2,1.0,1.0,0.94434250764526
100,7,0.01,0.6,0.6,0.9354303189165574
100,7,0.01,0.6,0.8,0.9317605941459152
100,7,0.01,0.6,1.0,0.9360419397116645
100,7,0.01,0.8,0.6,0.9344692005242463
100,7,0.01,0.8,0.8,0.9242463958060289
100,7,0.01,0.8,1.0,0.9211009174311927
100,7,0.01,1.0,0.6,0.9201397990388815
100,7,0.01,1.0,0.8,0.9198776758409785
100,7,0.01,1.0,1.0,0.8828309305373526
100,7,0.1,0.6,0.6,0.9376146788990826
100,7,0.1,0.6,0.8,0.9474879860200961
100,7,0.1,0.6,1.0,0.9420707732634338
100,7,0.1,0.8,0.6,0.9500218435998252
100,7,0.1,0.8,0.8,0.9411096548711226
100,7,0.1,0.8,1.0,0.9407601572739188
100,7,0.1,1.0,0.6,0.9428571428571428
100,7,0.1,1.0,0.8,0.9425076452599389
100,7,0.1,1.0,1.0,0.9420707732634338
100,7,0.2,0.6,0.6,0.9432940148536479
100,7,0.2,0.6,0.8,0.9500218435998252
100,7,0.2,0.6,1.0,0.9411970292704238
100,7,0.2,0.8,0.6,0.9401485364788117
100,7,0.2,0.8,0.8,0.9259065093927478
100,7,0.2,0.8,1.0,0.9360419397116645
100,7,0.2,1.0,0.6,0.9496723460026212
100,7,0.2,1.0,0.8,0.9505460899956313
100,7,0.2,1.0,1.0,0.9488859764089121
200,3,0.01,0.6,0.6,0.9297509829619921
200,3,0.01,0.6,0.8,0.9321974661424203
