n_estimators,max_depth,learning_rate,subsample,colsample_bytree,avg AUC score
100,3,0.01,0.6,0.6,0.8385964912280702
100,3,0.01,0.6,0.8,0.8334795321637426
100,3,0.01,0.6,1.0,0.8347953216374269
100,3,0.01,0.8,0.6,0.8254385964912281
100,3,0.01,0.8,0.8,0.8290935672514621
100,3,0.01,0.8,1.0,0.8298245614035088
100,3,0.01,1.0,0.6,0.8222222222222222
100,3,0.01,1.0,0.8,0.8116959064327485
100,3,0.01,1.0,1.0,0.8042397660818713
100,3,0.1,0.6,0.6,0.8255847953216375
100,3,0.1,0.6,0.8,0.8096491228070175
100,3,0.1,0.6,1.0,0.8216374269005848
100,3,0.1,0.8,0.6,0.8236842105263158
100,3,0.1,0.8,0.8,0.8222222222222222
100,3,0.1,0.8,1.0,0.818859649122807
100,3,0.1,1.0,0.6,0.7850877192982456
100,3,0.1,1.0,0.8,0.7764619883040936
100,3,0.1,1.0,1.0,0.7687134502923977
100,3,0.2,0.6,0.6,0.8171052631578948
100,3,0.2,0.6,0.8,0.8007309941520467
100,3,0.2,0.6,1.0,0.8023391812865497
100,3,0.2,0.8,0.6,0.8163742690058479
100,3,0.2,0.8,0.8,0.8165204678362573
100,3,0.2,0.8,1.0,0.8135964912280702
100,3,0.2,1.0,0.6,0.7767543859649123
100,3,0.2,1.0,0.8,0.7900584795321638
100,3,0.2,1.0,1.0,0.7852339181286551
100,5,0.01,0.6,0.6,0.8371345029239767
100,5,0.01,0.6,0.8,0.8337719298245615
100,5,0.01,0.6,1.0,0.8347953216374269
100,5,0.01,0.8,0.6,0.8239766081871345
100,5,0.01,0.8,0.8,0.825730994152047
100,5,0.01,0.8,1.0,0.8232456140350877
100,5,0.01,1.0,0.6,0.8083333333333333
100,5,0.01,1.0,0.8,0.791374269005848
100,5,0.01,1.0,1.0,0.7883040935672515
100,5,0.1,0.6,0.6,0.8207602339181287
100,5,0.1,0.6,0.8,0.8190058479532164
100,5,0.1,0.6,1.0,0.822953216374269
100,5,0.1,0.8,0.6,0.8176900584795321
100,5,0.1,0.8,0.8,0.8214912280701755
100,5,0.1,0.8,1.0,0.8178362573099416
100,5,0.1,1.0,0.6,0.789327485380117
100,5,0.1,1.0,0.8,0.7826023391812865
100,5,0.1,1.0,1.0,0.7650584795321638
100,5,0.2,0.6,0.6,0.8295321637426902
100,5,0.2,0.6,0.8,0.7923976608187133
100,5,0.2,0.6,1.0,0.8049707602339182
100,5,0.2,0.8,0.6,0.8055555555555556
100,5,0.2,0.8,0.8,0.8011695906432749
100,5,0.2,0.8,1.0,0.8108187134502923
100,5,0.2,1.0,0.6,0.768421052631579
100,5,0.2,1.0,0.8,0.7912280701754386
100,5,0.2,1.0,1.0,0.7730994152046783
100,7,0.01,0.6,0.6,0.8371345029239767
100,7,0.01,0.6,0.8,0.8337719298245615
100,7,0.01,0.6,1.0,0.8347953216374269
100,7,0.01,0.8,0.6,0.8235380116959063
100,7,0.01,0.8,0.8,0.8255847953216375
100,7,0.01,0.8,1.0,0.8230994152046783
100,7,0.01,1.0,0.6,0.8089181286549707
100,7,0.01,1.0,0.8,0.7903508771929825
100,7,0.01,1.0,1.0,0.7885964912280702
100,7,0.1,0.6,0.6,0.8207602339181287
100,7,0.1,0.6,0.8,0.8190058479532164
100,7,0.1,0.6,1.0,0.822953216374269
100,7,0.1,0.8,0.6,0.8166666666666665
100,7,0.1,0.8,0.8,0.8206140350877194
100,7,0.1,0.8,1.0,0.8194444444444444
100,7,0.1,1.0,0.6,0.7935672514619883
100,7,0.1,1.0,0.8,0.7859649122807016
100,7,0.1,1.0,1.0,0.7587719298245614
100,7,0.2,0.6,0.6,0.8295321637426902
100,7,0.2,0.6,0.8,0.7923976608187133
100,7,0.2,0.6,1.0,0.8049707602339182
100,7,0.2,0.8,0.6,0.8039473684210526
100,7,0.2,0.8,0.8,0.7989766081871345
100,7,0.2,0.8,1.0,0.8092105263157895
100,7,0.2,1.0,0.6,0.7697368421052633
100,7,0.2,1.0,0.8,0.7909356725146199
100,7,0.2,1.0,1.0,0.7694444444444446
200,3,0.01,0.6,0.6,0.8366959064327486
