n_estimators,max_depth,learning_rate,subsample,colsample_bytree,avg AUC score
100,3,0.01,0.6,0.6,0.8972727272727272
100,3,0.01,0.6,0.8,0.8954545454545455
100,3,0.01,0.6,1.0,0.8963636363636365
100,3,0.01,0.8,0.6,0.9290909090909092
100,3,0.01,0.8,0.8,0.9345454545454546
100,3,0.01,0.8,1.0,0.9309090909090909
100,3,0.01,1.0,0.6,0.9318181818181819
100,3,0.01,1.0,0.8,0.9245454545454546
100,3,0.01,1.0,1.0,0.92
100,3,0.1,0.6,0.6,0.9136363636363637
100,3,0.1,0.6,0.8,0.9118181818181819
100,3,0.1,0.6,1.0,0.911818181818182
100,3,0.1,0.8,0.6,0.9263636363636364
100,3,0.1,0.8,0.8,0.9309090909090909
100,3,0.1,0.8,1.0,0.9327272727272727
100,3,0.1,1.0,0.6,0.9363636363636364
100,3,0.1,1.0,0.8,0.9490909090909091
100,3,0.1,1.0,1.0,0.941818181818182
100,3,0.2,0.6,0.6,0.9418181818181818
100,3,0.2,0.6,0.8,0.940909090909091
100,3,0.2,0.6,1.0,0.9318181818181819
100,3,0.2,0.8,0.6,0.9072727272727273
100,3,0.2,0.8,0.8,0.9290909090909092
100,3,0.2,0.8,1.0,0.9309090909090909
100,3,0.2,1.0,0.6,0.9481818181818182
100,3,0.2,1.0,0.8,0.9518181818181819
100,3,0.2,1.0,1.0,0.9472727272727274
100,5,0.01,0.6,0.6,0.8972727272727272
100,5,0.01,0.6,0.8,0.8954545454545455
100,5,0.01,0.6,1.0,0.8963636363636365
100,5,0.01,0.8,0.6,0.9290909090909092
100,5,0.01,0.8,0.8,0.9345454545454546
100,5,0.01,0.8,1.0,0.9309090909090909
100,5,0.01,1.0,0.6,0.9318181818181819
100,5,0.01,1.0,0.8,0.9245454545454546
100,5,0.01,1.0,1.0,0.92
100,5,0.1,0.6,0.6,0.9136363636363637
100,5,0.1,0.6,0.8,0.9118181818181819
100,5,0.1,0.6,1.0,0.911818181818182
100,5,0.1,0.8,0.6,0.9263636363636364
100,5,0.1,0.8,0.8,0.9309090909090909
100,5,0.1,0.8,1.0,0.9327272727272727
100,5,0.1,1.0,0.6,0.9363636363636364
100,5,0.1,1.0,0.8,0.9490909090909091
100,5,0.1,1.0,1.0,0.941818181818182
100,5,0.2,0.6,0.6,0.9418181818181818
100,5,0.2,0.6,0.8,0.940909090909091
100,5,0.2,0.6,1.0,0.9318181818181819
100,5,0.2,0.8,0.6,0.9072727272727273
100,5,0.2,0.8,0.8,0.9290909090909092
100,5,0.2,0.8,1.0,0.9309090909090909
100,5,0.2,1.0,0.6,0.9481818181818182
100,5,0.2,1.0,0.8,0.9518181818181819
100,5,0.2,1.0,1.0,0.9472727272727274
100,7,0.01,0.6,0.6,0.8972727272727272
100,7,0.01,0.6,0.8,0.8954545454545455
100,7,0.01,0.6,1.0,0.8963636363636365
100,7,0.01,0.8,0.6,0.9290909090909092
100,7,0.01,0.8,0.8,0.9345454545454546
100,7,0.01,0.8,1.0,0.9309090909090909
100,7,0.01,1.0,0.6,0.9318181818181819
100,7,0.01,1.0,0.8,0.9245454545454546
100,7,0.01,1.0,1.0,0.92
100,7,0.1,0.6,0.6,0.9136363636363637
100,7,0.1,0.6,0.8,0.9118181818181819
100,7,0.1,0.6,1.0,0.911818181818182
100,7,0.1,0.8,0.6,0.9263636363636364
100,7,0.1,0.8,0.8,0.9309090909090909
100,7,0.1,0.8,1.0,0.9327272727272727
100,7,0.1,1.0,0.6,0.9363636363636364
