n_estimators,max_depth,learning_rate,subsample,colsample_bytree,avg AUC score
100,3,0.001,0.4,0.4,0.8313999006990012
100,3,0.001,0.4,0.6,0.8311744776962169
100,3,0.001,0.4,0.8,0.828210391557468
100,3,0.001,0.4,1.0,0.8273535797036548
100,3,0.001,0.6,0.4,0.8326941237173621
100,3,0.001,0.6,0.6,0.8297867949142311
100,3,0.001,0.6,0.8,0.8256104090811738
100,3,0.001,0.6,1.0,0.8212491724916763
100,3,0.001,0.8,0.4,0.8299413199244533
100,3,0.001,0.8,0.6,0.8222838742966181
100,3,0.001,0.8,0.8,0.8147887906696003
100,3,0.001,0.8,1.0,0.8098826641873869
100,3,0.001,1.0,0.4,0.8255803023812769
100,3,0.001,1.0,0.6,0.8101819301388268
100,3,0.001,1.0,0.8,0.8034298881403454
100,3,0.001,1.0,1.0,0.7821362614147471
100,3,0.005,0.4,0.4,0.834474240152651
100,3,0.005,0.4,0.6,0.8379820479370703
100,3,0.005,0.4,0.8,0.8364350454642808
100,3,0.005,0.4,1.0,0.8368742576763566
100,3,0.005,0.6,0.4,0.8385370626375124
100,3,0.005,0.6,0.6,0.8384514642029635
100,3,0.005,0.6,0.8,0.8375153819194299
100,3,0.005,0.6,1.0,0.833006605463502
100,3,0.005,0.8,0.4,0.8353029654004167
100,3,0.005,0.8,0.6,0.8332983264861078
100,3,0.005,0.8,0.8,0.827166368114644
100,3,0.005,0.8,1.0,0.8258731916509279
100,3,0.005,1.0,0.4,0.8311719708327654
100,3,0.005,1.0,0.6,0.8219752380303355
100,3,0.005,1.0,0.8,0.8184211141182656
100,3,0.005,1.0,1.0,0.8154812325979867
100,3,0.01,0.4,0.4,0.8394481249634923
100,3,0.01,0.4,0.6,0.843211048696431
100,3,0.01,0.4,0.8,0.8418419361747697
100,3,0.01,0.4,1.0,0.8400009005237641
100,3,0.01,0.6,0.4,0.8435296880780389
100,3,0.01,0.6,0.6,0.8432364580696664
100,3,0.01,0.6,0.8,0.8414075429817558
100,3,0.01,0.6,1.0,0.8381547781304153
100,3,0.01,0.8,0.4,0.8403830146615003
100,3,0.01,0.8,0.6,0.8409784312389261
100,3,0.01,0.8,0.8,0.8401968009501743
100,3,0.01,0.8,1.0,0.8408774995619073
100,3,0.01,1.0,0.4,0.8371424677271755
100,3,0.01,1.0,0.6,0.8352323351311357
100,3,0.01,1.0,0.8,0.8325563679199363
100,3,0.01,1.0,1.0,0.8320502005490761
100,3,0.1,0.4,0.4,0.8472406004789814
100,3,0.1,0.4,0.6,0.84118396970346
100,3,0.1,0.4,0.8,0.8434153702369596
100,3,0.1,0.4,1.0,0.8460808962401917
100,3,0.1,0.6,0.4,0.8470182928016511
100,3,0.1,0.6,0.6,0.8467836941918652
100,3,0.1,0.6,0.8,0.8484281479390174
100,3,0.1,0.6,1.0,0.8485293230008372
100,3,0.1,0.8,0.4,0.8529648162931522
100,3,0.1,0.8,0.6,0.848667687260266
100,3,0.1,0.8,0.8,0.8514731351856539
100,3,0.1,0.8,1.0,0.8521221694347633
100,3,0.1,1.0,0.4,0.849424979068907
100,3,0.1,1.0,0.6,0.8554473656029128
100,3,0.1,1.0,0.8,0.8498790134153701
100,3,0.1,1.0,1.0,0.8445228197589516
100,3,0.2,0.4,0.4,0.8308378521778073
100,3,0.2,0.4,0.6,0.8335128458498022
100,3,0.2,0.4,0.8,0.8197947779357074
100,3,0.2,0.4,1.0,0.832485056173212
100,3,0.2,0.6,0.4,0.8384340135127243
100,3,0.2,0.6,0.6,0.8337125430791099
100,3,0.2,0.6,0.8,0.836378969606106
100,3,0.2,0.6,1.0,0.8378833554002221
