n_estimators,max_depth,learning_rate,subsample,colsample_bytree,avg AUC score
100,3,0.001,0.4,0.4,0.8840400843881857
100,3,0.001,0.4,0.6,0.880970464135021
100,3,0.001,0.4,0.8,0.8769725738396625
100,3,0.001,0.4,1.0,0.8700949367088608
100,3,0.001,0.6,0.4,0.8829324894514767
100,3,0.001,0.6,0.6,0.8775210970464136
100,3,0.001,0.6,0.8,0.8721308016877638
100,3,0.001,0.6,1.0,0.8570886075949365
100,3,0.001,0.8,0.4,0.8817932489451475
100,3,0.001,0.8,0.6,0.875253164556962
100,3,0.001,0.8,0.8,0.8692721518987343
100,3,0.001,0.8,1.0,0.8388713080168776
100,3,0.001,1.0,0.4,0.8804113924050633
100,3,0.001,1.0,0.6,0.872795358649789
100,3,0.001,1.0,0.8,0.860295358649789
100,3,0.001,1.0,1.0,0.8207172995780591
100,3,0.005,0.4,0.4,0.8815400843881855
100,3,0.005,0.4,0.6,0.8812552742616034
100,3,0.005,0.4,0.8,0.8757067510548524
100,3,0.005,0.4,1.0,0.8731012658227849
100,3,0.005,0.6,0.4,0.881772151898734
100,3,0.005,0.6,0.6,0.8767299578059072
100,3,0.005,0.6,0.8,0.8761814345991562
100,3,0.005,0.6,1.0,0.8712869198312235
100,3,0.005,0.8,0.4,0.8795780590717299
100,3,0.005,0.8,0.6,0.8751054852320677
100,3,0.005,0.8,0.8,0.8725949367088608
100,3,0.005,0.8,1.0,0.8614240506329113
100,3,0.005,1.0,0.4,0.8791455696202531
100,3,0.005,1.0,0.6,0.872753164556962
100,3,0.005,1.0,0.8,0.8668459915611815
100,3,0.005,1.0,1.0,0.8546624472573839
100,3,0.01,0.4,0.4,0.881276371308017
100,3,0.01,0.4,0.6,0.8799789029535864
100,3,0.01,0.4,0.8,0.8797257383966246
100,3,0.01,0.4,1.0,0.8756962025316456
100,3,0.01,0.6,0.4,0.8804957805907172
100,3,0.01,0.6,0.6,0.878386075949367
100,3,0.01,0.6,0.8,0.8779746835443039
100,3,0.01,0.6,1.0,0.8767510548523207
100,3,0.01,0.8,0.4,0.8799578059071729
100,3,0.01,0.8,0.6,0.8748417721518986
100,3,0.01,0.8,0.8,0.8731434599156117
100,3,0.01,0.8,1.0,0.8704113924050633
100,3,0.01,1.0,0.4,0.8793776371308016
100,3,0.01,1.0,0.6,0.8723628691983121
100,3,0.01,1.0,0.8,0.8739978902953587
100,3,0.01,1.0,1.0,0.863059071729958
100,3,0.1,0.4,0.4,0.8729535864978903
100,3,0.1,0.4,0.6,0.8750210970464135
100,3,0.1,0.4,0.8,0.8738396624472575
100,3,0.1,0.4,1.0,0.8717088607594936
100,3,0.1,0.6,0.4,0.8744725738396625
100,3,0.1,0.6,0.6,0.8747679324894513
100,3,0.1,0.6,0.8,0.8771729957805906
100,3,0.1,0.6,1.0,0.8733755274261602
100,3,0.1,0.8,0.4,0.869957805907173
100,3,0.1,0.8,0.6,0.8718776371308017
100,3,0.1,0.8,0.8,0.8699367088607595
100,3,0.1,0.8,1.0,0.8665611814345991
100,3,0.1,1.0,0.4,0.8707383966244725
100,3,0.1,1.0,0.6,0.8743459915611815
100,3,0.1,1.0,0.8,0.8695147679324894
100,3,0.1,1.0,1.0,0.8635864978902953
100,3,0.2,0.4,0.4,0.8647679324894515
100,3,0.2,0.4,0.6,0.8675527426160337
100,3,0.2,0.4,0.8,0.8681856540084387
100,3,0.2,0.4,1.0,0.8683544303797468
100,3,0.2,0.6,0.4,0.8654008438818565
100,3,0.2,0.6,0.6,0.8716877637130802
100,3,0.2,0.6,0.8,0.8779113924050634
100,3,0.2,0.6,1.0,0.8758649789029536
100,3,0.2,0.8,0.4,0.8702320675105485
100,3,0.2,0.8,0.6,0.8701476793248946
100,3,0.2,0.8,0.8,0.8676582278481014
100,3,0.2,0.8,1.0,0.8757383966244726
100,3,0.2,1.0,0.4,0.8708860759493671
100,3,0.2,1.0,0.6,0.8670253164556962
100,3,0.2,1.0,0.8,0.8695358649789029
100,3,0.2,1.0,1.0,0.8643881856540083
100,4,0.001,0.4,0.4,0.8829113924050633
100,4,0.001,0.4,0.6,0.8797679324894515
100,4,0.001,0.4,0.8,0.8749156118143459
100,4,0.001,0.4,1.0,0.8697995780590718
100,4,0.001,0.6,0.4,0.884704641350211
100,4,0.001,0.6,0.6,0.8761708860759494
100,4,0.001,0.6,0.8,0.8702426160337554
100,4,0.001,0.6,1.0,0.8551371308016877
100,4,0.001,0.8,0.4,0.8834388185654009
100,4,0.001,0.8,0.6,0.8748206751054852
100,4,0.001,0.8,0.8,0.867879746835443
100,4,0.001,0.8,1.0,0.846561181434599
100,4,0.001,1.0,0.4,0.8797468354430379
100,4,0.001,1.0,0.6,0.8692510548523208
100,4,0.001,1.0,0.8,0.8559810126582278
100,4,0.001,1.0,1.0,0.8267932489451475
100,4,0.005,0.4,0.4,0.8817299578059071
100,4,0.005,0.4,0.6,0.8790928270042194
100,4,0.005,0.4,0.8,0.8763607594936709
100,4,0.005,0.4,1.0,0.8720991561181435
100,4,0.005,0.6,0.4,0.8831434599156118
100,4,0.005,0.6,0.6,0.876529535864979
100,4,0.005,0.6,0.8,0.8718565400843883
100,4,0.005,0.6,1.0,0.8647995780590716
100,4,0.005,0.8,0.4,0.8828059071729957
100,4,0.005,0.8,0.6,0.872668776371308
100,4,0.005,0.8,0.8,0.8693987341772154
100,4,0.005,0.8,1.0,0.8524050632911393
100,4,0.005,1.0,0.4,0.8778481012658228
100,4,0.005,1.0,0.6,0.8694831223628693
100,4,0.005,1.0,0.8,0.8642932489451478
100,4,0.005,1.0,1.0,0.8450527426160338
