Responses,Coding,Count,Pct
"('AD',)",standard,6995,12.66
"('CN',)",standard,5691,10.3
"('AD', 'AD')",standard,3629,6.57
"('CN', 'CN')",standard,3110,5.63
"('Unknown',)",standard,2445,4.42
"('AD', 'AD', 'AD')",standard,2433,4.4
"('MCI',)",standard,2202,3.98
"('CN', 'CN', 'CN')",standard,1939,3.51
"('AD', 'AD', 'AD', 'AD')",standard,1640,2.97
"('CN', 'CN', 'CN', 'CN')",standard,1441,2.61
"('CN', 'CN', 'CN', 'CN', 'CN')",standard,1137,2.06
"('AD', 'AD', 'AD', 'AD', 'AD')",standard,1056,1.91
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN')",standard,996,1.8
"('Unknown', 'Unknown')",standard,891,1.61
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",standard,872,1.58
"('AD', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,741,1.34
"('MCI', 'MCI')",standard,597,1.08
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",standard,578,1.05
"('AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,512,0.93
"('Unknown', 'Unknown', 'Unknown')",standard,502,0.91
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",standard,464,0.84
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",standard,373,0.67
"('MCI', 'AD')",standard,335,0.61
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",standard,314,0.57
"('AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,307,0.56
"('Unknown', 'Unknown', 'Unknown', 'Unknown')",standard,268,0.48
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",standard,258,0.47
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",standard,250,0.45
"('MCI', 'MCI', 'MCI')",standard,217,0.39
"('AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,202,0.37
"('MCI', 'AD', 'AD')",standard,196,0.35
"('CN', 'MCI')",standard,185,0.33
"('MCI', 'Unknown')",standard,168,0.3
"('CN', 'AD')",standard,161,0.29
"('Unknown', 'AD')",standard,146,0.26
"('MCI', 'CN')",standard,145,0.26
"('Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown')",standard,143,0.26
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",standard,136,0.25
"('MCI', 'AD', 'AD', 'AD')",standard,131,0.24
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",standard,123,0.22
"('AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,119,0.22
"('AD', 'Unknown')",standard,119,0.22
"('CN', 'CN', 'AD')",standard,117,0.21
"('MCI', 'MCI', 'AD')",standard,108,0.2
"('Unknown', 'CN')",standard,105,0.19
"('AD', 'MCI')",standard,101,0.18
"('CN', 'Unknown')",standard,97,0.18
"('MCI', 'MCI', 'MCI', 'MCI')",standard,93,0.17
"('Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown')",standard,91,0.16
"('AD', 'CN')",standard,90,0.16
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",standard,84,0.15
"('CN', 'AD', 'AD')",standard,84,0.15
"('MCI', 'MCI', 'AD', 'AD')",standard,84,0.15
"('Unknown', 'MCI')",standard,83,0.15
"('MCI', 'Unknown', 'Unknown')",standard,81,0.15
"('AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,78,0.14
"('CN', 'CN', 'CN', 'AD')",standard,77,0.14
"('MCI', 'CN', 'CN')",standard,76,0.14
"('MCI', 'AD', 'AD', 'AD', 'AD')",standard,75,0.14
"('MCI', 'MCI', 'Unknown')",standard,74,0.13
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",standard,74,0.13
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",standard,74,0.13
"('CN', 'CN', 'CN', 'CN', 'AD')",standard,68,0.12
"('CN', 'CN', 'MCI')",standard,67,0.12
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'AD')",standard,65,0.12
"('AD', 'Unknown', 'Unknown')",standard,65,0.12
"('MCI', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,62,0.11
"('Unknown', 'AD', 'AD')",standard,62,0.11
"('Unknown', 'CN', 'CN')",standard,59,0.11
"('Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown')",standard,57,0.1
"('CN', 'CN', 'Unknown')",standard,51,0.09
"('CN', 'CN', 'AD', 'AD')",standard,51,0.09
"('CN', 'AD', 'AD', 'AD')",standard,50,0.09
"('MCI', 'MCI', 'CN')",standard,49,0.09
"('AD', 'AD', 'Unknown')",standard,47,0.09
"('MCI', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,47,0.09
"('AD', 'CN', 'CN')",standard,45,0.08
"('CN', 'CN', 'CN', 'CN', 'AD', 'AD')",standard,43,0.08
"('CN', 'CN', 'AD', 'AD', 'AD')",standard,42,0.08
"('MCI', 'CN', 'CN', 'CN')",standard,42,0.08
"('MCI', 'Unknown', 'Unknown', 'Unknown')",standard,41,0.07
"('CN', 'AD', 'AD', 'AD', 'AD')",standard,41,0.07
"('CN', 'MCI', 'MCI')",standard,40,0.07
"('CN', 'CN', 'CN', 'MCI')",standard,39,0.07
"('CN', 'CN', 'CN', 'CN', 'Unknown')",standard,38,0.07
"('MCI', 'MCI', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,38,0.07
"('CN', 'CN', 'CN', 'CN', 'CN', 'AD')",standard,38,0.07
"('Unknown', 'Unknown', 'AD')",standard,37,0.07
"('MCI', 'MCI', 'AD', 'AD', 'AD')",standard,37,0.07
"('AD', 'Unknown', 'Unknown', 'Unknown')",standard,36,0.07
"('AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,36,0.07
"('MCI', 'MCI', 'MCI', 'MCI', 'MCI')",standard,35,0.06
"('MCI', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,35,0.06
"('AD', 'AD', 'MCI')",standard,35,0.06
"('Unknown', 'AD', 'AD', 'AD')",standard,35,0.06
"('CN', 'MCI', 'CN')",standard,34,0.06
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'AD')",standard,34,0.06
"('AD', 'MCI', 'MCI')",standard,33,0.06
"('CN', 'CN', 'CN', 'AD', 'AD', 'AD')",standard,32,0.06
"('AD', 'CN', 'CN', 'CN')",standard,32,0.06
"('CN', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,32,0.06
"('MCI', 'MCI', 'Unknown', 'Unknown')",standard,32,0.06
"('Unknown', 'CN', 'CN', 'CN')",standard,31,0.06
"('MCI', 'MCI', 'AD', 'AD', 'AD', 'AD')",standard,31,0.06
"('MCI', 'MCI', 'MCI', 'AD')",standard,30,0.05
"('Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown')",standard,30,0.05
"('CN', 'CN', 'CN', 'AD', 'AD')",standard,30,0.05
"('CN', 'CN', 'CN', 'Unknown')",standard,30,0.05
"('MCI', 'Unknown', 'Unknown', 'Unknown', 'Unknown')",standard,29,0.05
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'AD')",standard,29,0.05
"('AD', 'Unknown', 'AD')",standard,28,0.05
"('AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,28,0.05
"('AD', 'AD', 'CN')",standard,28,0.05
"('Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown')",standard,27,0.05
"('CN', 'AD', 'CN')",standard,25,0.05
"('MCI', 'MCI', 'MCI', 'AD', 'AD')",standard,25,0.05
"('CN', 'CN', 'AD', 'CN')",standard,25,0.05
"('AD', 'AD', 'AD', 'Unknown')",standard,25,0.05
"('CN', 'Unknown', 'Unknown')",standard,25,0.05
"('CN', 'CN', 'CN', 'CN', 'CN', 'AD', 'AD')",standard,24,0.04
"('MCI', 'MCI', 'MCI', 'Unknown')",standard,23,0.04
"('CN', 'Unknown', 'CN')",standard,23,0.04
"('MCI', 'Unknown', 'AD')",standard,23,0.04
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'AD', 'AD')",standard,23,0.04
"('Unknown', 'Unknown', 'CN')",standard,23,0.04
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",standard,23,0.04
"('Unknown', 'AD', 'AD', 'AD', 'AD')",standard,23,0.04
"('MCI', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,22,0.04
"('Unknown', 'Unknown', 'AD', 'AD')",standard,22,0.04
"('CN', 'CN', 'CN', 'AD', 'AD', 'AD', 'AD')",standard,21,0.04
"('CN', 'CN', 'CN', 'CN', 'MCI')",standard,21,0.04
"('Unknown', 'MCI', 'MCI')",standard,21,0.04
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'AD', 'AD')",standard,21,0.04
"('MCI', 'MCI', 'CN', 'CN')",standard,21,0.04
"('AD', 'Unknown', 'Unknown', 'Unknown', 'Unknown')",standard,20,0.04
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'AD')",standard,20,0.04
"('CN', 'MCI', 'AD')",standard,20,0.04
"('MCI', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,20,0.04
"('Unknown', 'CN', 'CN', 'CN', 'CN')",standard,19,0.03
"('Unknown', 'CN', 'CN', 'CN', 'CN', 'CN')",standard,19,0.03
"('CN', 'CN', 'CN', 'CN', 'CN', 'AD', 'AD', 'AD')",standard,19,0.03
"('CN', 'CN', 'AD', 'AD', 'AD', 'AD', 'AD', 'AD')",standard,19,0.03
"('CN', 'CN', 'AD', 'AD', 'AD', 'AD')",standard,19,0.03
"('CN', 'CN', 'CN', 'CN', 'AD', 'AD', 'AD')",standard,18,0.03
