Responses,Coding,Count,Pct
"('DEM',)",cn_mci_dementia,6832,12.36
"('CN',)",cn_mci_dementia,5691,10.3
"('MCI',)",cn_mci_dementia,3961,7.17
"('DEM', 'DEM')",cn_mci_dementia,3547,6.42
"('CN', 'CN')",cn_mci_dementia,3110,5.63
"('DEM', 'DEM', 'DEM')",cn_mci_dementia,2380,4.31
"('CN', 'CN', 'CN')",cn_mci_dementia,1939,3.51
"('DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,1544,2.79
"('MCI', 'MCI')",cn_mci_dementia,1460,2.64
"('CN', 'CN', 'CN', 'CN')",cn_mci_dementia,1441,2.61
"('CN', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,1137,2.06
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,996,1.8
"('DEM', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,950,1.72
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,872,1.58
"('Unknown',)",cn_mci_dementia,849,1.54
"('MCI', 'MCI', 'MCI')",cn_mci_dementia,694,1.26
"('DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,624,1.13
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,578,1.05
"('MCI', 'DEM')",cn_mci_dementia,577,1.04
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,464,0.84
"('DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,427,0.77
"('MCI', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,381,0.69
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,373,0.67
"('MCI', 'DEM', 'DEM')",cn_mci_dementia,368,0.67
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,314,0.57
"('CN', 'MCI')",cn_mci_dementia,305,0.55
"('MCI', 'MCI', 'DEM')",cn_mci_dementia,274,0.5
